"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,0.0263501008652251,-0.0683054432297261,-0.068305443229726,-0.89369045171445
3.1,-0.0703609106621714,-0.0616000515169578,-0.0616000515169582,-0.900099252104235
3.2,-0.165875710395177,-0.052240293158796,-0.0522402931587963,-0.879433617566976
3.3,-0.259175808384945,-0.0399756110999593,-0.0399756110999592,-0.830625082474481
3.4,-0.349256256555958,-0.0246452143171128,-0.0246452143171126,-0.753743133730707
3.5,-0.435142592799429,-0.00625660722813239,-0.00625660722813224,-0.650543167189071
3.6,-0.515919479808808,0.0149132415505634,0.0149132415505635,-0.525078625144015
3.7,-0.59076655506603,0.0382094975086116,0.0382094975086117,-0.384211337551472
3.8,-0.658991279723952,0.0625189687055924,0.0625189687055928,-0.237735642126201
3.9,-0.720046517420783,0.0862712222126336,0.0862712222126344,-0.0977725485781771
4,-0.773524718451272,0.107574588723104,0.107574588723105,0.0227872072483678
4.1,-0.819129487651027,0.124501458099838,0.124501458099839,0.1126310379965
4.2,-0.856634006047276,0.135462072795343,0.135462072795343,0.164487353439338
4.3,-0.885839565702018,0.139536949177155,0.139536949177155,0.176738916136285
4.4,-0.906545385584213,0.136635229373033,0.136635229373033,0.153489364055921
4.5,-0.91853549877984,0.127426584291485,0.127426584291485,0.103114641586607
