"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.948432426109414,-0.0615542308091054,-0.0615542308091054,0.213942281688836
3.1,0.944843724222591,-0.0744780705854349,-0.0744780705854354,0.0684130309535005
3.2,0.931343970571971,-0.0871320054347073,-0.0871320054347079,-0.0771132520287987
3.3,0.908142973419549,-0.0989720152666827,-0.098972015266683,-0.217117208649627
3.4,0.875560470974333,-0.10929232137292,-0.10929232137292,-0.345169706581118
3.5,0.834038841568147,-0.117219210081482,-0.117219210081481,-0.454094247492342
3.6,0.784149368704131,-0.121740462495305,-0.121740462495304,-0.536431420165068
3.7,0.726583782954763,-0.121792753280649,-0.121792753280649,-0.585317735511092
3.8,0.662126627098872,-0.116423527838365,-0.116423527838366,-0.595796294903962
3.9,0.591611768981847,-0.105020037141763,-0.105020037141764,-0.566363426206345
4,0.51587432622326,-0.0875553305337159,-0.0875553305337161,-0.500267946006922
4.1,0.435712450818513,-0.0647574771574955,-0.0647574771574954,-0.405897253226212
4.2,0.351869748779775,-0.0381023038142728,-0.0381023038142728,-0.295753856827371
4.3,0.265041070037936,-0.00959038834259376,-0.00959038834259416,-0.184115429816133
4.4,0.17589678397992,0.0186265564559027,0.018626556455902,-0.0841635700863023
4.5,0.085116769934515,0.0446287990999892,0.0446287990999892,-0.00564489905970633
