"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,0.131808982956359,-0.082504250937919,-0.180480727837685,-0.0240178847442333,-0.0825042509379269,-0.144481777470678,0.0243794898581783,-0.123192933937713,-0.180480727837685,0.0243794898581712,0.13236781193978,0.0824496776851835,-0.0240178847442426,-0.123192933937712,0.0824496776851917,-0.144051141318841
3.1,0.139703169992824,-0.0849919063552695,-0.0831121118278123,-0.0245304490394442,-0.0849919063552748,-0.136244259908194,0.0249874348052843,-0.227946720625828,-0.0831121118278189,0.0249874348052796,0.139904128407448,0.0849024674595776,-0.0245304490394504,-0.227946720625828,0.0849024674595833,-0.135747073514885
3.2,0.14709770135359,-0.085039755878158,0.0141371710232253,-0.0238654403993271,-0.0850397558781598,-0.125198375477103,0.0244244602602036,-0.327322076761451,0.0141371710232179,0.0244244602602016,0.146907686547756,0.0849102925000124,-0.0238654403993301,-0.327322076761451,0.0849102925000139,-0.124651761827844
3.3,0.154311694523845,-0.0821663298941968,0.109846617838321,-0.0215732379138153,-0.0821663298941968,-0.111538415405042,0.0222313724425824,-0.419360827144767,0.109846617838318,0.0222313724425823,0.153709332576614,0.0819868632922582,-0.0215732379138158,-0.419360827144765,0.0819868632922571,-0.110982509047763
3.4,0.161708588950982,-0.0758899795927341,0.202541858271044,-0.0172700743897994,-0.075889979592734,-0.0958906003703469,0.0180085020936577,-0.501938721906351,0.202541858271047,0.0180085020936583,0.160686758240913,0.0756515094345634,-0.0172700743897989,-0.501938721906349,0.0756515094345625,-0.0953989642369874
3.5,0.169520531694111,-0.0658434819280223,0.290840236901973,-0.0108301356194877,-0.0658434819280226,-0.0794863361308342,0.0116082336895956,-0.57313803870396,0.290840236901978,0.0116082336895959,0.168088107078335,0.0655517755915796,-0.0108301356194874,-0.573138038703958,0.0655517755915802,-0.0791724250989872
3.6,0.177626269225017,-0.0521329585406745,0.373693102782601,-0.00261345094110434,-0.0521329585406748,-0.0642495650419644,0.00336707073032881,-0.631840035979751,0.373693102782604,0.00336707073032865,0.175807725884566,0.0518148361589616,-0.00261345094110471,-0.631840035979751,0.0518148361589629,-0.064263174140062
3.7,0.18539422688056,-0.0356272301682704,0.450616143483509,0.00641412218532282,-0.0356272301682704,-0.05267876549442,-0.00576605994544806,-0.677969888788616,0.450616143483508,-0.00576605994544816,0.183225632091166,0.0353263224247483,0.00641412218532227,-0.677969888788615,0.0353263224247491,-0.0531873409001391
3.8,0.191724638431676,-0.0177908185026862,0.521709811366199,0.0148406337684663,-0.0177908185026862,-0.0474444861771235,-0.014380602620725,-0.712021508343563,0.521709811366196,-0.0143806026207247,0.189246280176835,0.0175604920914159,0.0148406337684661,-0.712021508343563,0.0175604920914158,-0.0486004035711322
3.9,0.195323099716181,-0.00013962147514418,0.587379065109762,0.0212546269904532,-0.000139621475144293,-0.0507702584200273,-0.0210477335929396,-0.734350020734879,0.58737906510976,-0.0210477335929392,0.192571795540513,3.43019843271455E-05,0.0212546269904534,-0.734350020734878,3.43019843267827E-05,-0.0526746800154821
4,0.195068190112383,0.016233870614108,0.647926995633357,0.0247262466093405,0.0162338706141078,-0.0638406688216611,-0.0248070596894244,-0.744900733693509,0.647926995633358,-0.0248070596894244,0.19207315054281,-0.0161697260212453,0.0247262466093408,-0.744900733693507,-0.0161697260212455,-0.0665195116571507
4.1,0.190269054951316,0.030798610943325,0.70329925444443,0.0250256350623586,0.0307986109433248,-0.0865135478674199,-0.0253954073927514,-0.743411905655403,0.703299254444432,-0.0253954073927517,0.187052642611292,-0.0305391723762341,0.0250256350623587,-0.743411905655402,-0.0305391723762341,-0.0899150387729736
4.2,0.180712977567418,0.0434637068142449,0.75307762459186,0.0225207811756931,0.0434637068142447,-0.117429102710252,-0.0231530971719344,-0.729763645912078,0.753077624591862,-0.0231530971719346,0.177294476586194,-0.0430040403392963,0.0225207811756931,-0.729763645912077,-0.0430040403392962,-0.121439734876818
4.3,0.166552369016746,0.0543841363227764,0.796621061561103,0.017924777784905,0.0543841363227762,-0.154360045463942,-0.0187745635148156,-0.704249963986484,0.796621061561103,-0.0187745635148156,0.162951970174596,-0.0537371431061505,0.0179247777849049,-0.704249963986484,-0.0537371431061505,-0.158827802136717
4.4,0.148141043651653,0.0638044153237954,0.833221372861913,0.0120743692394376,0.0638044153237952,-0.194547894777755,-0.0130865491609238,-0.6677175632274,0.833221372861911,-0.013086549160924,0.144382465467601,-0.0629957977635868,0.0120743692394374,-0.6677175632274,-0.0629957977635868,-0.199303463029961
4.5,0.125899457623089,0.0719642353240405,0.862210929931477,0.00580904330385593,0.0719642353240406,-0.234863688510487,-0.00692571750790795,-0.621581772723443,0.862210929931475,-0.00692571750790786,0.122011080572638,-0.0710279596492173,0.00580904330385583,-0.621581772723441,-0.0710279596492173,-0.239737260223968
