"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.0388773363736828,-0.0124447115227354,-0.956727521007447,-0.00567769609431092,-0.0124447115227309,0.00383043145090989,0.00544167065344855,0.918219328150593,-0.956727521007446,0.00544167065345231,-0.0354453931922953,0.0124298599915593,-0.00567769609430911,0.918219328150596,0.0124298599915581,0.00398000924824804
3.1,-0.0288080431447833,-0.0253495550335242,-0.965975785618696,-0.0104318905450233,-0.0253495550335242,-0.0093691723758515,0.0102342277028205,0.887972040069437,-0.965975785618696,0.0102342277028212,-0.0252013049215115,0.0253384570419387,-0.0104318905450242,0.887972040069439,0.0253384570419417,-0.00903265234707788
3.2,-0.0182063002992982,-0.039617118591584,-0.96462028643575,-0.0158860601495045,-0.0396171185915854,-0.0204020708804306,0.0157578597613393,0.844644128578698,-0.964620286435753,0.0157578597613388,-0.0144796459889067,0.0396002182856796,-0.0158860601495063,0.844644128578699,0.0396002182856837,-0.0198290702593025
3.3,-0.0070948976591193,-0.0547578372801623,-0.952755248331915,-0.0217270707885567,-0.0547578372801627,-0.0282305618449132,0.0217081733221183,0.788848873101176,-0.95275524833192,0.021708173322118,-0.00331059362906105,0.0547223945269074,-0.0217270707885579,0.788848873101176,0.0547223945269094,-0.0273603003722365
3.4,0.00476699215079496,-0.0701076876860432,-0.930797140725575,-0.0273606446327071,-0.0701076876860428,-0.0316572743708389,0.0274969476703893,0.721731264232185,-0.930797140725578,0.0274969476703897,0.00854238872955124,0.0700280901289958,-0.027360644632707,0.721731264232185,0.0700280901289954,-0.0304275148036234
3.5,0.0179352522249907,-0.0846526749205644,-0.899575159510667,-0.0318999873867065,-0.084652674920564,-0.0295104279012494,0.0322361792483086,0.645223328163473,-0.899575159510664,0.0322361792483094,0.0216355012935981,0.084491993058826,-0.0318999873867055,0.645223328163474,0.0844919930588251,-0.0278749248116448
3.6,0.0332033393070335,-0.0970307602538206,-0.860314969411494,-0.0343065089542299,-0.0970307602538205,-0.0209715304052751,0.034873922852684,0.561870033272232,-0.860314969411488,0.0348739228526844,0.0367685863013291,0.0967535283420994,-0.034306508954229,0.561870033272233,0.0967535283420995,-0.0189234880056587
3.7,0.0513585906627323,-0.105933506343839,-0.814418818019463,-0.0337225702946495,-0.105933506343839,-0.00599674534188782,0.0345254437871345,0.474127704816078,-0.814418818019457,0.0345254437871343,0.0547413343819631,0.105516948477639,-0.0337225702946493,0.474127704816078,0.10551694847764,-0.00359126239860748
3.8,0.072847701003693,-0.110660443187823,-0.763084269271506,-0.029876908950056,-0.110660443187823,0.0143256145526199,0.0308839290207593,0.383749437113847,-0.763084269271504,0.0308839290207589,0.0760156861697102,0.110100536906969,-0.0298769089500563,0.383749437113847,0.11010053690697,0.016961421543912
3.9,0.0975337894853388,-0.111342400270836,-0.706998629635164,-0.0232946348781694,-0.111342400270836,0.0376977229843378,0.0244416946249914,0.291854888392282,-0.706998629635166,0.0244416946249913,0.100467731847941,0.110657617323481,-0.0232946348781698,0.291854888392281,0.110657617323481,0.0403758476736719
4,0.124696350120014,-0.108708225567651,-0.646332173396648,-0.0151319480329703,-0.108708225567651,0.0609338854001016,0.0163353966513673,0.199451747340954,-0.646332173396651,0.0163353966513673,0.127383734487529,0.10793849197866,-0.0151319480329704,0.199451747340954,0.10793849197866,0.0634360947034083
4.1,0.153255549489284,-0.10367835727335,-0.58099327204716,-0.00675379193495337,-0.10367835727335,0.0805664088478032,0.00792715722147149,0.10785037852981,-0.580993272047161,0.00792715722147139,0.155684267930457,0.102877415534563,-0.00675379193495345,0.107850378529811,0.102877415534563,0.082681409825103
4.2,0.182063023679448,-0.0970670163683959,-0.510922511406706,0.000656692196405989,-0.0970670163683959,0.093444802473374,0.000410438384756456,0.0187655097267556,-0.510922511406706,0.000410438384756256,0.184217835310734,0.0962921587855737,0.000656692196405888,0.0187655097267558,0.0962921587855738,0.094997147188577
4.3,0.210111632380236,-0.0894631358342364,-0.436265927136826,0.00628248788808214,-0.0894631358342364,0.0970860180164521,-0.00538038658334689,-0.0658055586618132,-0.436265927136826,-0.00538038658334683,0.211973814486096,0.0887671261410555,0.00628248788808212,-0.0658055586618131,0.0887671261410557,0.0979503964642277
4.4,0.236617120991434,-0.0812307365328344,-0.357416210932476,0.00967449329187551,-0.0812307365328344,0.0897462299642209,-0.00897666836503614,-0.143801621830075,-0.357416210932476,-0.00897666836503578,0.238165979501596,0.0806575737857228,0.00967449329187552,-0.143801621830074,0.0806575737857231,0.0898502429094888
4.5,0.261003482571375,-0.0725573255239523,-0.274981585735427,0.0106798470317742,-0.0725573255239524,0.0703686910164165,-0.0102065620849761,-0.213334813250978,-0.274981585735426,-0.010206562084976,0.262218317751314,0.0721409826113433,0.010679847031774,-0.213334813250977,0.0721409826113436,0.0696902297807627
