"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
4.5,-0.0456257664265531,0.079256752691129,0.080236017383503,-0.140444652872553,0.0792567526911295,0.218518995889905,-0.144037664922565,0.0688084618051839,0.0802360173835037,-0.144037664922571,-0.0441887241281337,0.0761837668438396,-0.140444652872553,0.0688084618051893,0.0761837668438399,0.217660742926105
4.6,0.202265795203666,0.181776221917392,-0.121995968541545,0.0496812209441231,0.181776221917405,-0.346910363049186,0.0501303149762308,-0.0759543212322824,-0.121995968541541,0.050130314976229,0.201560198628298,0.183919335851602,0.0496812209441239,-0.0759543212322811,0.183919335851598,-0.349931696417547
4.7,0.297876759392877,0.401066400986068,-0.183551928738105,-0.0292993769245014,0.401066400986069,-0.578984617584941,-0.0288158599835634,-0.00224584383900363,-0.183551928738116,-0.0288158599835642,0.297714249971138,0.402298327274021,-0.0292993769245029,-0.00224584383900628,0.402298327274017,-0.578767826984067
4.8,0.307778607887538,0.510717300184957,-0.136177918598502,-0.095407746578978,0.51071730018495,-0.548073963480655,-0.0954263093946561,-0.022563983998805,-0.136177918598497,-0.0954263093946549,0.308026760360456,0.51139074028207,-0.0954077465789733,-0.0225639839988073,0.511390740282069,-0.547579057521752
4.9,0.304448896671115,0.530407684097228,-0.0660070757506047,-0.116956701753921,0.530407684097226,-0.466524872719575,-0.117253868289859,-0.0567273351556223,-0.0660070757506071,-0.117253868289856,0.304796419193811,0.530884567332774,-0.11695670175392,-0.0567273351556256,0.530884567332773,-0.466407397724329
5,0.270544691962358,0.498704074002746,0.0431642907839948,-0.108031735059035,0.498704074002746,-0.396868642029589,-0.108433072766296,-0.0798312855537203,0.0431642907839952,-0.108433072766296,0.270771666735253,0.499072571159643,-0.108031735059035,-0.0798312855537206,0.499072571159643,-0.39713374821763
5.1,0.197807838219768,0.429977911095292,0.19547971541339,-0.070696237126102,0.42997791109529,-0.349687664847448,-0.0710298431779674,-0.0841721692571853,0.195479715413393,-0.0710298431779668,0.197734808337491,0.430280631220858,-0.0706962371261001,-0.0841721692571847,0.430280631220859,-0.350200564666681
5.2,0.133870421504341,0.345864122031649,0.338079891865829,-0.0186663941781021,0.345864122031648,-0.321243821964318,-0.018785215047017,-0.0699139140828422,0.338079891865828,-0.0187852150470182,0.133523428269123,0.346174942279808,-0.0186663941781025,-0.0699139140828418,0.34617494227981,-0.321858762729389
5.3,0.139184211353786,0.275007051698295,0.405548243359123,0.0234994088689475,0.275007051698293,-0.297923008343226,0.0236217444728624,-0.0442504976225109,0.405548243359127,0.0236217444728658,0.138803295306767,0.275375908837072,0.0234994088689497,-0.0442504976225099,0.275375908837076,-0.298541748891793
5.4,0.209081753793799,0.22894450691669,0.399982140815874,0.0475093463080093,0.228944506916688,-0.271685764490871,0.0478112823976367,-0.0157045681188336,0.399982140815878,0.0478112823976386,0.208885093286816,0.229369133221428,0.0475093463080104,-0.0157045681188323,0.229369133221432,-0.272276424758418
