"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
4.5,-0.842853097489544,-0.0768778008328378,-0.0207037558902044,-0.118303174114221,-0.0768778008328353,0.463662906640488,-0.11923380475129,0.148855647318872,-0.020703755890204,-0.11923380475129,-0.841171742832111,-0.0801088923031916,-0.118303174114222,0.148855647318878,-0.0801088923031925,0.470251791642032
4.6,-0.805163391303522,-0.29753759184106,0.0543182455348026,-0.0374696768919832,-0.29753759184106,0.61548752360273,-0.0389283724603387,0.0119911937518601,0.0543182455347905,-0.0389283724603391,-0.80348436421265,-0.29882936082634,-0.0374696768919843,0.0119911937518579,-0.298829360826345,0.61399501835238
4.7,-0.630388482520277,-0.284977851852244,-0.108911956438317,0.0588248047926952,-0.284977851852248,0.295166141177802,0.0588304511340425,0.0157129903774244,-0.108911956438319,0.0588304511340455,-0.629423083307586,-0.284710154958581,0.0588248047926956,0.0157129903774195,-0.284710154958579,0.293789021747621
4.8,-0.525332982547555,-0.142257781437449,-0.212929542651146,0.0270976630818276,-0.142257781437452,0.0539682603315196,0.0273296340252685,0.0501360146250087,-0.212929542651138,0.0273296340252669,-0.524195066917164,-0.141924572349672,0.0270976630818287,0.0501360146250109,-0.14192457234967,0.0537987322454341
4.9,-0.442904011501103,-2.59626767993951E-07,-0.291918829692542,-0.0247830204434802,-2.59626773079583E-07,-0.0671501619378453,-0.0246847872892783,0.0464690184241337,-0.291918829692533,-0.0246847872892771,-0.441466555055942,0.00027563877957334,-0.0247830204434767,0.0464690184241343,0.000275638779574785,-0.0668556497330753
5,-0.370360811064922,0.121475714270204,-0.353250080017773,-0.0781074087779709,0.121475714270205,-0.125451087400306,-0.0782464854466962,0.0207562429346455,-0.353250080017773,-0.0782464854466958,-0.36864367227712,0.121708533905014,-0.0781074087779716,0.0207562429346457,0.121708533905014,-0.125095776330728
5.1,-0.341123682748512,0.2111307272979,-0.358356564467341,-0.119163901387742,0.211130727297901,-0.156009778592893,-0.119558815559459,-0.0141665910782979,-0.358356564467339,-0.119558815559458,-0.339291550080975,0.211293779133672,-0.119163901387741,-0.0141665910782968,0.211293779133672,-0.155792944190122
5.2,-0.389208850993115,0.256166381414484,-0.272062082886464,-0.130945805381174,0.256166381414485,-0.182307485711906,-0.131497942350992,-0.0455282664097232,-0.272062082886465,-0.131497942350993,-0.387537233334647,0.256257010256383,-0.130945805381174,-0.045528266409723,0.256257010256383,-0.182277948783144
5.3,-0.478474510287061,0.262931730910227,-0.131577622651578,-0.115302821346001,0.262931730910228,-0.213730766107343,-0.115857238272424,-0.0649813412925162,-0.131577622651578,-0.115857238272425,-0.477092918579715,0.263002907331483,-0.115302821346001,-0.0649813412925168,0.263002907331483,-0.213861358560005
5.4,-0.547527723851498,0.254345114040234,-0.00313200493445847,-0.0902126672668847,0.254345114040235,-0.247516058167586,-0.0906684630016029,-0.0711180259384073,-0.00313200493445143,-0.090668463001598,-0.54634883338271,0.254459505029532,-0.0902126672668808,-0.0711180259384069,0.254459505029535,-0.247758577021445
