"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
4.5,-0.599898237870941,-0.0338310213200057,0.00735170919767204,0.0244941482809349,-0.033831021320005,-0.152590950782846,-0.0246308505658542,-0.677274115707173,0.00735170919767157,-0.0246308505658537,-0.599903201045425,0.0339280337818724,0.0244941482809339,-0.677274115707171,0.0339280337818724,-0.151085663070831
4.6,-0.587505287535834,-0.0288325783360481,0.0865415377977534,0.0256684499697891,-0.028832578336048,-0.148550920027932,-0.0258358819875196,-0.69262782394141,0.0865415377977521,-0.0258358819875184,-0.587229790884481,0.0289380596605357,0.0256684499697888,-0.69262782394141,0.0289380596605362,-0.147008967476046
4.7,-0.568453025202344,-0.0212116178330456,0.166591011045543,0.0273169648408481,-0.0212116178330453,-0.123524758442811,-0.0275039199018184,-0.667659774238249,0.166591011045542,-0.0275039199018176,-0.567803597246111,0.0213303314664713,0.0273169648408479,-0.667659774238249,0.0213303314664717,-0.122063824989553
4.8,-0.542947002982468,-0.0103234994235549,0.246889802969431,0.029889507947977,-0.0103234994235545,-0.0634659770165923,-0.0300764087979135,-0.590971120648572,0.246889802969431,-0.0300764087979133,-0.541828974830756,0.0104665597003263,0.029889507947976,-0.590971120648572,0.010466559700326,-0.0622359128956803
4.9,-0.51138316936544,0.00386743796675367,0.326730906675713,0.0332704436126185,0.00386743796675348,0.0403983950957772,-0.0334297486921559,-0.457424038167688,0.326730906675714,-0.0334297486921558,-0.50970327636793,-0.00368397233523572,0.0332704436126175,-0.457424038167687,-0.00368397233523654,0.0412406949761175
5,-0.474410233853307,0.0198032247304077,0.405372158762776,0.0358554869844517,0.0198032247304072,0.169828608114292,-0.0359607806832685,-0.28772872328729,0.405372158762775,-0.0359607806832684,-0.472078413470579,-0.0195715679565988,0.0358554869844517,-0.28772872328729,-0.0195715679565992,0.170144795091721
5.1,-0.43285476070852,0.0342565836206597,0.482164913816148,0.0344664676123127,0.0342565836206606,0.271296142252579,-0.0345106488958235,-0.138551804757974,0.48216491381615,-0.0345106488958246,-0.429785168321838,-0.0340009934248838,0.0344664676123128,-0.138551804757974,-0.0340009934248839,0.271097819885213
5.2,-0.387571690627279,0.0447656369620401,0.556259641426225,0.0267750462744067,0.0447656369620425,0.297623159132464,-0.0267770240966421,-0.0648086278165458,0.556259641426228,-0.0267770240966446,-0.383686453259205,-0.0445478345641329,0.0267750462744055,-0.0648086278165456,-0.0445478345641339,0.297176116254388
5.3,-0.339399191334609,0.0518404093036452,0.626472815665994,0.0136214023478841,0.0518404093036472,0.245834271326121,-0.013607080725948,-0.071370947182712,0.626472815665995,-0.0136070807259501,-0.334635414139147,-0.0517310087648138,0.0136214023478828,-0.0713709471827124,-0.0517310087648152,0.245336514345414
5.4,-0.289240747921386,0.0575746977055733,0.691549158520744,-0.00231236257992876,0.0575746977055738,0.153034368412754,0.00233021097930969,-0.125986178844664,0.691549158520745,0.00233021097930919,-0.283556893651634,-0.0576254757538373,-0.00231236257992875,-0.125986178844665,-0.0576254757538375,0.152800519291743
5.5,-0.238149467054515,0.06339716184104,0.750214592084242,-0.0187242048427598,0.0633971618410396,0.0589173750593046,0.0187488481146858,-0.197435626253428,0.750214592084243,0.0187488481146863,-0.231529378910988,-0.063635676159066,-0.0187242048427589,-0.197435626253428,-0.0636356761590649,0.0589574473286285
5.6,-0.187337151955231,0.0695030336008752,0.801175397076323,-0.0341648928882798,0.0695030336008749,-0.0230075719622317,0.0342093655765036,-0.269183703857517,0.801175397076324,0.0342093655765041,-0.17979288827819,-0.0699371828801477,-0.0341648928882793,-0.269183703857515,-0.0699371828801467,-0.0225406105874097
5.7,-0.138114499828714,0.0752275684408339,0.843157069728649,-0.0475989149078767,0.0752275684408339,-0.0834906270207764,0.0476792542370847,-0.335490387173331,0.843157069728647,0.0476792542370848,-0.129688868048908,-0.0758489364366876,-0.0475989149078772,-0.335490387173329,-0.0758489364366877,-0.0825830318840746
5.8,-0.0917944379585181,0.0794614971654368,0.874967550246797,-0.0580395635501178,0.0794614971654369,-0.120046392837418,0.058169385627119,-0.395201586496618,0.874967550246794,0.0581693856271186,-0.0825628840014113,-0.0802459191837675,-0.0580395635501188,-0.395201586496616,-0.0802459191837688,-0.118685423503378
5.9,-0.0495866280452338,0.0809416888017815,0.895569819327355,-0.0644590512841036,0.0809416888017816,-0.136219437580437,0.0646451120660112,-0.447615168690618,0.895569819327351,0.0646451120660108,-0.0396576126955372,-0.0818487879744787,-0.0644590512841045,-0.447615168690618,-0.0818487879744803,-0.134396189839566
6,-0.0125046155292633,0.0784951237842237,0.904152769293345,-0.0659102121618886,0.0784951237842237,-0.13858699802185,0.0661489971426042,-0.490568236197518,0.90415276929334,0.0661489971426039,-0.00201780537489049,-0.0794688044708818,-0.065910212161889,-0.490568236197519,-0.0794688044708825,-0.136340357493063
6.1,0.018698564727736,0.071295709249492,0.900189549811015,-0.0617693542072367,0.0712957092494921,-0.134172458480571,0.0620453762421349,-0.52042469519185,0.900189549811011,0.0620453762421349,0.0295764139836789,-0.0722673015308884,-0.0617693542072367,-0.520424695191851,-0.0722673015308881,-0.131596389035699
6.2,0.0435574620282343,0.0591229294493928,0.883473121552849,-0.051997350220621,0.0591229294493929,-0.129159131394096,0.0522839236329741,-0.53320892533289,0.883473121552847,0.0522839236329743,0.0546384471089374,-0.0600180189278529,-0.0519973502206209,-0.53320892533289,-0.0600180189278524,-0.12638263258562
6.3,0.0618832334319546,0.042544711680329,0.854121040043708,-0.0373036971074164,0.042544711680329,-0.128656256802122,0.0375664278859418,-0.525787202641673,0.854121040043709,0.0375664278859421,0.0729651436883036,-0.0432932506154248,-0.0373036971074162,-0.525787202641673,-0.0432932506154248,-0.125821614772411
6.4,0.0737211836008175,0.0229180152481376,0.812545596227912,-0.0191233139644714,0.0229180152481375,-0.136787784178963,0.0193257353771847,-0.496506607035619,0.812545596227916,0.0193257353771849,0.084594159037419,-0.023465288556384,-0.019123313964471,-0.49650660703562,-0.0234652885563845,-0.134036616378294
6.5,0.0792878733110227,0.00214725124733811,0.759390579573967,0.000610922060709673,0.00214725124733893,-0.156348382340512,-0.000500786615890929,-0.445435109241754,0.75939057957397,-0.000500786615890946,0.089739953782161,-0.0024619255866013,0.000610922060709792,-0.445435109241756,-0.0024619255866014,-0.153809194499942
