"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
4.5,0.187830788595917,0.00792512532318781,0.00792512532318781,0.266187532856026
4.6,0.261324042779497,0.00021365013298029,0.000213650132979998,0.158461011889319
4.7,0.333443695313552,-0.00742458968066545,-0.00742458968066575,0.057080990178631
4.8,0.403773687203649,-0.0147736197541137,-0.0147736197541139,-0.0333787182955079
4.9,0.471902190630389,-0.0216528916130969,-0.0216528916130969,-0.109339045569036
5,0.537423728721734,-0.0279239298744602,-0.0279239298744601,-0.168334318778738
5.1,0.599941389892096,-0.0334921389918194,-0.0334921389918192,-0.209058147418174
5.2,0.659069113531574,-0.038304883855476,-0.0383048838554758,-0.231328321397375
5.3,0.714434019144137,-0.0423470919143785,-0.0423470919143785,-0.235972867510366
5.4,0.765678747848962,-0.045635493258532,-0.045635493258532,-0.224652990459236
5.5,0.812463783734602,-0.0482123700985967,-0.0482123700985966,-0.199649613360484
5.6,0.854469723082903,-0.0501394344597886,-0.0501394344597885,-0.163644576480112
5.7,0.891399462065713,-0.0514922453991269,-0.0514922453991268,-0.119524335047812
5.8,0.922980278169941,-0.0523554281272947,-0.0523554281272946,-0.070225108619846
5.9,0.948965787223528,-0.052818860931326,-0.052818860931326,-0.018627072934354
6,0.969137766258087,-0.0529749415915593,-0.0529749415915595,0.032505758660365
6.1,0.983307842217176,-0.0529170280648078,-0.0529170280648083,0.0805521670087326
6.2,0.991319057249292,-0.0527391734302808,-0.0527391734302817,0.123045356944946
6.3,0.993047332446751,-0.0525373612748462,-0.0525373612748473,0.157691829920504
6.4,0.988402862733942,-0.0524126362503916,-0.0524126362503925,0.182420608533529
6.5,0.977331485398404,-0.0524769013258222,-0.0524769013258223,0.195482335282484
