"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
4.5,-0.977566193120504,0.0629968368201516,0.0629968368201514,0.456732180533482
4.6,-0.960372657792126,0.063755513190382,0.0637555131903816,0.463378764661708
4.7,-0.937621541117384,0.0633490291178069,0.0633490291178064,0.447345822415466
4.8,-0.909405970376397,0.0618540554087641,0.0618540554087636,0.411587656345767
4.9,-0.875849309263109,0.0593898190365718,0.0593898190365715,0.359882013901739
5,-0.837105328502166,0.0561042002746909,0.0561042002746907,0.296544566028247
5.1,-0.793358211196983,0.0521602269909133,0.0521602269909132,0.226127680371558
5.2,-0.74482237105388,0.0477243012922981,0.0477243012922982,0.153123848378057
5.3,-0.691742067386064,0.0429568098601813,0.0429568098601815,0.0817009114929932
5.4,-0.634390807624351,0.038005249473959,0.0380052494739591,0.0154949958067987
5.5,-0.573070535604948,0.0329996791677386,0.0329996791677387,-0.0425221435168896
5.6,-0.508110611758318,0.0280501556554724,0.0280501556554726,-0.090098424619404
5.7,-0.43986659902343,0.0232457610330619,0.0232457610330621,-0.125690048398779
5.8,-0.368718875357431,0.0186548394229696,0.0186548394229699,-0.148403749278072
5.9,-0.295071099583006,0.0143260874941322,0.0143260874941327,-0.157917125971801
6,-0.219348561500175,0.0102901739189932,0.0102901739189938,-0.154400407391926
6.1,-0.141996449197503,0.00656158529570425,0.00656158529570495,-0.138458164491853
6.2,-0.0634780658908978,0.00314040280065104,0.00314040280065175,-0.111102242708715
6.3,0.0157269749736336,1.36903712164944E-05,1.36903712170886E-05,-0.0737581966360495
6.4,0.0951245544733058,-0.0028439099663292,-0.00284390996632878,-0.0282966728331628
6.5,0.174207841229589,-0.00547099724327734,-0.00547099724327697,0.0229315168604778
