"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
4.5,-0.952236246201594,0.149994758883917,0.149994758883917,-0.0928277151273623
4.6,-0.963341562453157,0.146661792779219,0.146661792779219,-0.110636939097765
4.7,-0.967847859672212,0.136739898816833,0.136739898816833,-0.15676741450769
4.8,-0.965484782626276,0.122428373655492,0.122428373655492,-0.21843976669039
4.9,-0.956053710470831,0.105788434012679,0.105788434012679,-0.284010371751545
5,-0.939481606638359,0.0884283312570951,0.0884283312570949,-0.344710599655049
5.1,-0.915830887244457,0.0714434611910929,0.0714434611910926,-0.394905399518617
5.2,-0.885284769773728,0.0554942695599142,0.0554942695599142,-0.431575676598956
5.3,-0.848124676886289,0.0409253723497033,0.0409253723497033,-0.453586398483736
5.4,-0.804708671856015,0.0278749434746441,0.0278749434746441,-0.461028423843701
5.5,-0.755454072033981,0.0163572962686037,0.0163572962686038,-0.454724864298299
5.6,-0.700824377324431,0.00631853995966564,0.00631853995966574,-0.435896744390709
5.7,-0.641319550457165,-0.00232898084580292,-0.00232898084580296,-0.405951424305376
5.8,-0.57746850922305,-0.00968716580558818,-0.00968716580558821,-0.3663557262391
5.9,-0.509822848021117,-0.0158624430492775,-0.0158624430492775,-0.318563907991394
6,-0.43895103445157,-0.0209621539340739,-0.0209621539340739,-0.263979819731913
6.1,-0.365432543818163,-0.0250944532139008,-0.0250944532139009,-0.203939920762741
6.2,-0.28985159620616,-0.0283698912188248,-0.0283698912188247,-0.139708922998545
6.3,-0.212790366475358,-0.0309033114678497,-0.0309033114678497,-0.0724830485565413
6.4,-0.134821761524746,-0.032815001738191,-0.032815001738191,-0.00339775183736646
6.5,-0.0565020950052223,-0.0342302971895916,-0.0342302971895917,0.0664622890905592
