"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
4.5,-0.359921614587105,0.0338309010369868,0.515867289149011,0.0342833537294968,0.0338309010369865,-0.226539724995585,-0.0352474525361298,-0.620444965161151,0.515867289149012,-0.0352474525361302,-0.362611001995014,-0.0331583268378063,0.0342833537294968,-0.620444965161154,-0.0331583268378063,-0.225953665497929
4.6,-0.335662744225935,0.0374050608661027,0.564800077048291,0.0328054860778865,0.037405060866104,-0.283938985905642,-0.0338494834850391,-0.584142906499609,0.564800077048288,-0.0338494834850397,-0.33857860908994,-0.0366671225915843,0.0328054860778862,-0.584142906499615,-0.0366671225915852,-0.283609383560314
4.7,-0.309195660740034,0.0397855709247492,0.610285804281745,0.0301572691985506,0.0397855709247509,-0.339725000986405,-0.0312130387454065,-0.544482378473234,0.610285804281742,-0.0312130387454066,-0.312307487378635,-0.0390372012444082,0.0301572691985502,-0.54448237847324,-0.0390372012444087,-0.33956106699087
4.8,-0.280386238004642,0.0412784903554658,0.651843538269992,0.0268465326870315,0.0412784903554671,-0.390034966427758,-0.0278567852494118,-0.504224501969256,0.651843538269988,-0.0278567852494116,-0.283658976382734,-0.0405681246465307,0.0268465326870313,-0.50422450196926,-0.0405681246465307,-0.389951543660376
4.9,-0.249217844173499,0.0421054840037479,0.689075979415213,0.0232828121617543,0.0421054840037486,-0.431531485532908,-0.0242044257718287,-0.465779697559235,0.689075979415209,-0.0242044257718284,-0.252613095924989,-0.0414708709712828,0.0232828121617541,-0.465779697559237,-0.0414708709712828,-0.431457636232345
5,-0.215760567772186,0.0424243743324718,0.721664375048447,0.019769703847946,0.042424374332472,-0.461707695931393,-0.0205737259666402,-0.430999030835894,0.721664375048444,-0.02057372596664,-0.21923769963721,-0.0418915450525716,0.0197697038479459,-0.430999030835895,-0.0418915450525717,-0.461589140448828
5.1,-0.180152823026494,0.0423514419600925,0.74936231858512,0.0165178798167635,0.0423514419600924,-0.479002619394959,-0.0171878952885542,-0.401038782276664,0.749362318585118,-0.0171878952885541,-0.183670073236526,-0.041935540036546,0.0165178798167635,-0.401038782276664,-0.0419355400365462,-0.478800579529544
5.2,-0.142588368441978,0.0419795358369171,0.771988811058402,0.0136649829040835,0.041979535836917,-0.482757457309001,-0.0141949207288646,-0.376320430061864,0.771988811058401,-0.0141949207288647,-0.146103947325459,-0.0416865128154087,0.0136649829040836,-0.376320430061864,-0.0416865128154089,-0.48244650026974
5.3,-0.103305585804257,0.0413919225504366,0.789420852465087,0.0112966183888277,0.0413919225504365,-0.473066282084346,-0.0116885529551141,-0.356580571900914,0.789420852465086,-0.0116885529551142,-0.106778740639204,-0.0412204915257439,0.0112966183888279,-0.356580571900914,-0.041220491525744,-0.472632768831549
5.4,-0.0625775580214244,0.0406737253257325,0.801585744384263,0.00946698762090705,0.0406737253257326,-0.450570411452563,-0.0097291964693706,-0.340979873044167,0.801585744384264,-0.00972919646937062,-0.0659695606284528,-0.040617236638889,0.00946698762090718,-0.340979873044167,-0.040617236638889,-0.45001215917585
