"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
4.5,-0.34496276210842,-0.041395820276291,-0.642126497887389,-0.00740563357473894,-0.0413958202762912,0.229348876379634,0.00789242892547529,0.0316707248288533,-0.642126497887391,0.00789242892547509,-0.341410926835947,0.0410582122589228,-0.0074056335747393,0.0316707248288534,0.041058212258923,0.230839224503209
4.6,-0.373685999315446,-0.0351242666159147,-0.598890471934407,-0.00091770111519807,-0.0351242666159163,0.21363361301,0.00116776502400495,-0.0236655309119429,-0.598890471934409,0.00116776502400405,-0.370385445301262,0.0349665385458079,-0.000917701115198521,-0.0236655309119417,0.0349665385458066,0.214951419537975
4.7,-0.401237757967709,-0.0291422677379686,-0.551413742039959,0.00438352972032032,-0.0291422677379695,0.183777563899869,-0.00436972292521822,-0.0679775125579138,-0.55141374203996,-0.00436972292521927,-0.398217937619369,0.0291675453867626,0.00438352972031987,-0.0679775125579133,0.0291675453867612,0.184885008149922
4.8,-0.427253711109257,-0.0235400285004088,-0.50011824085988,0.0084246486169502,-0.023540028500409,0.140504840334406,-0.00862719981875142,-0.10174698414857,-0.500118240859879,-0.00862719981875216,-0.424537056372174,0.0237345794194111,0.00842464861694982,-0.10174698414857,0.0237345794194103,0.141396972097806
4.9,-0.45138986548793,-0.0183318643755466,-0.4454503547444,0.0112785670554436,-0.0183318643755465,0.0856662998548527,-0.0116658687596531,-0.126168570874325,-0.445450354744399,-0.0116658687596534,-0.448992532095544,0.0186706627154117,0.0112785670554433,-0.126168570874326,0.0186706627154115,0.0863613760034918
5,-0.473320653175029,-0.0135032705011448,-0.387873927662566,0.0130960337010538,-0.0135032705011446,0.0218986302756385,-0.0136311116050586,-0.142995119559097,-0.387873927662565,-0.0136311116050586,-0.471252605568676,0.0139553620422699,0.0130960337010536,-0.142995119559097,0.01395536204227,0.0224287286617584
5.1,-0.492742119548328,-0.00903262166646363,-0.327862655377814,0.0140595360770933,-0.00903262166646348,-0.0477608426853041,-0.0147045490529232,-0.154314352820897,-0.327862655377813,-0.014704549052923,-0.491007071550386,0.00956529633976313,0.0140595360770931,-0.154314352820897,0.00956529633976326,-0.0473564893604347
5.2,-0.509376682760825,-0.00489915238058671,-0.265892919257143,0.0143554283671304,-0.00489915238058665,-0.120218671888403,-0.0150745798662145,-0.162299258934725,-0.265892919257143,-0.0150745798662145,-0.507972102065805,0.0054808041334443,0.0143554283671303,-0.162299258934724,0.00548080413344436,-0.119897362710421
5.3,-0.522977811938348,-0.00108398793781499,-0.202437732748437,0.014158838229082,-0.00108398793781499,-0.192583986767806,-0.014920116729916,-0.168979323275053,-0.202437732748437,-0.0149201167299161,-0.521895069043704,0.00168585332196826,0.014158838229082,-0.168979323275052,0.00168585332196829,-0.192301184294571
5.4,-0.533333674936613,0.0024326014930889,-0.137962240764958,0.0136275577044489,0.00243260149308891,-0.2623301080702,-0.0144036779253063,-0.176067588469761,-0.137962240764958,-0.0144036779253064,-0.532558353538316,-0.00183557628507851,0.013627557704449,-0.176067588469761,-0.00183557628507844,-0.262040102333884
5.5,-0.540269033035014,0.00567710741602011,-0.0729211577652232,0.0129032842695482,0.00567710741602015,-0.327366199732834,-0.0136721300575646,-0.184855430872371,-0.0729211577652235,-0.0136721300575648,-0.539781379407513,-0.00510605257476506,0.0129032842695485,-0.184855430872371,-0.00510605257476495,-0.327022537061719
5.6,-0.54364449409967,0.00869403007936781,-0.00775879353334423,0.012121357670797,0.0086940300793679,-0.386027295591997,-0.012866209099474,-0.1961594791952,-0.00775879353334417,-0.0128662090994742,-0.543419949720123,-0.00816643380050519,0.0121213576707974,-0.196159479195201,-0.00816643380050497,-0.38558334496685
5.7,-0.543351246918119,0.0115705744879536,0.057086606780149,0.0114361017416044,0.0115705744879538,-0.436969137421114,-0.0121460262482152,-0.21026945821527,0.0570866067801499,-0.0121460262482153,-0.543360963575816,-0.0111009863958387,0.0114361017416047,-0.210269458215271,-0.0111009863958385,-0.436379200807453
5.8,-0.539295731594907,0.0145017051837615,0.121168716009893,0.0110876653241748,0.0145017051837617,-0.47886926231208,-0.0117588650224695,-0.226759874143108,0.121168716009895,-0.0117588650224696,-0.539506867705005,-0.0141029183183668,0.011087665324175,-0.226759874143108,-0.0141029183183666,-0.478091814507608
5.9,-0.531354253010502,0.017997517431713,0.183989100189323,0.0116108924035255,0.0179975174317132,-0.509474385276761,-0.0122513879097793,-0.243676397940841,0.183989100189325,-0.0122513879097795,-0.531729544428743,-0.0176824934377107,0.0116108924035256,-0.243676397940841,-0.0176824934377107,-0.508485006149366
