"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.0978824561104126,-0.0449339152143857,-0.746361883921327,-0.0432520365524579,-0.0449339152143859,-0.151315142009291,0.0433305400598255,0.715655898858051,-0.746361883921326,0.0433305400598258,-0.096100409447212,0.0450051831206331,-0.0432520365524583,0.715655898858052,0.0450051831206331,-0.151657507331333
3.1,-0.15865871862274,-0.0482495807658307,-0.730916080103205,-0.042503342534088,-0.0482495807658313,-0.167513268360695,0.0426033816608011,0.642276724248323,-0.730916080103208,0.0426033816608015,-0.157020565750444,0.0483087930840399,-0.0425033425340882,0.642276724248325,0.0483087930840401,-0.167851038581244
3.2,-0.21724718059211,-0.0492045512484516,-0.710303816928376,-0.0389067945844121,-0.0492045512484525,-0.174419887112036,0.039023980486178,0.562514877603087,-0.71030381692838,0.0390239804861779,-0.215782556905585,0.0492472963808119,-0.0389067945844128,0.562514877603089,0.0492472963808124,-0.174726647566261
3.3,-0.273148972435071,-0.0480688779503637,-0.684528708004002,-0.0328197364281846,-0.0480688779503644,-0.172755674173303,0.0329473627122938,0.476665099997723,-0.684528708004004,0.0329473627122926,-0.271881860707915,0.0480940602349429,-0.032819736428186,0.476665099997725,0.0480940602349436,-0.17301127336535
3.4,-0.32598821067214,-0.045603403491979,-0.653462831122573,-0.0250944698857613,-0.0456034034919795,-0.164576480429166,0.0252245520869224,0.384604796877517,-0.653462831122572,0.0252245520869213,-0.324936623868007,0.0456137075605873,-0.0250944698857624,0.384604796877519,0.0456137075605879,-0.164764508178639
3.5,-0.375467913367189,-0.0427549532837078,-0.616948045422602,-0.0167606209780916,-0.0427549532837084,-0.152610326941181,0.0168855309839284,0.286108469995484,-0.6169480454226,0.0168855309839292,-0.374643791592824,0.042755824412273,-0.016760620978091,0.286108469995486,0.0427558244122735,-0.152713857934867
3.6,-0.421325482915496,-0.0403068518528832,-0.574896906819392,-0.00870138707440794,-0.0403068518528839,-0.139570658872251,0.00881629905888777,0.181217364454199,-0.574896906819392,0.00881629905888911,-0.42073431243004,0.0403048437194383,-0.00870138707440791,0.1812173644542,0.0403048437194387,-0.13956963246277
3.7,-0.463272368137075,-0.0386818706476553,-0.5273600894652,-0.00145234667027057,-0.0386818706476558,-0.127708187751077,0.00155316485875723,0.0706267854081796,-0.527360089465203,0.00155316485875619,-0.462911101029979,0.0386832752597723,-0.00145234667027323,0.0706267854081803,0.0386832752597727,-0.127579510767451
3.8,-0.500875817044581,-0.0379413017974527,-0.474545914163921,0.00476792691792266,-0.0379413017974526,-0.118646211175403,-0.00468689299244876,-0.0439966067885639,-0.474545914163924,-0.00468689299244937,-0.500727490352872,0.0379513416809125,0.00476792691792058,-0.0439966067885638,0.0379513416809129,-0.118365763732351
3.9,-0.533411889718667,-0.037897157954083,-0.4167992036032,0.00991487417720361,-0.0378971579540824,-0.113403552909775,-0.00985812717016732,-0.159897088183526,-0.416799203603197,-0.00985812717016598,-0.533445026969639,0.0379195867461461,0.0099148741772034,-0.159897088183526,0.0379195867461465,-0.112948884895787
4,-0.560103234855123,-0.038238829861848,-0.354558903987588,0.0140450883909875,-0.0382388298618475,-0.112482050166603,-0.0140156510672484,-0.273420316979627,-0.354558903987572,-0.014015651067245,-0.560287414960688,0.0382757668125636,0.0140450883909898,-0.273420316979626,0.0382757668125643,-0.111835077473339
4.1,-0.580723484180859,-0.038621293040406,-0.288314037221033,0.0172717847577262,-0.0386212930404067,-0.115924787553198,-0.0172720222537972,-0.380496790037422,-0.288314037220999,-0.0172720222537935,-0.581020466653865,0.0386732327011361,0.0172717847577303,-0.380496790037418,0.0386732327011374,-0.115074411600858
4.2,-0.595300251998215,-0.0387048837477738,-0.21857067650537,0.0197341405674151,-0.0387048837477762,-0.123281305810334,-0.0197661334011898,-0.47721376734014,-0.218570676505315,-0.0197661334011859,-0.595644907043596,0.038770889441298,0.0197341405674193,-0.477213767340133,0.0387708894413005,-0.12222624604195
4.3,-0.60359198409577,-0.0381558055458528,-0.14583521367779,0.0215869516192568,-0.0381558055458569,-0.133422722907899,-0.0216524698023811,-0.560134685791876,-0.145835213677715,-0.0216524698023782,-0.603906170574772,0.0382339150593904,0.0215869516192601,-0.560134685791866,0.0382339150593938,-0.132174972967313
4.4,-0.605229590650755,-0.0366186467873623,-0.0706154495431865,0.0230083231790242,-0.0366186467873671,-0.144131519318813,-0.0231084552254027,-0.626037993076048,-0.0706154495431087,-0.0231084552254013,-0.605432198578719,0.0367065423795567,0.0230083231790259,-0.626037993076037,0.0367065423795606,-0.142720779979031
4.5,-0.599944200157378,-0.0336691748443672,0.00655523129524747,0.024221505660276,-0.0336691748443713,-0.151366284241304,-0.0243558048302463,-0.670884690650816,0.00655523129526512,-0.0243558048302465,-0.599951255274243,0.0337652200215188,0.0242215056602757,-0.670884690650808,0.0337652200215223,-0.149845452354683
4.6,-0.587661036192297,-0.0287595611509527,0.0850930558411946,0.0255235685451971,-0.0287595611509546,-0.148154789086402,-0.0256884152094444,-0.688042619762592,0.0850930558406999,-0.0256884152094454,-0.587384932755075,0.0288643526822646,0.0255235685451954,-0.688042619762587,0.0288643526822666,-0.146605858415748
4.7,-0.568523770755881,-0.0211999762442862,0.166539682447606,0.0272928042704292,-0.021199976244286,-0.123512134873317,-0.0274786546350933,-0.666417637264008,0.166539682447939,-0.0274786546350938,-0.567873653941332,0.0213184394797335,0.0272928042704275,-0.666417637264007,0.0213184394797339,-0.122050257336661
4.8,-0.542885087077648,-0.0103177400691579,0.246644596850238,0.0298801268391585,-0.0103177400691582,-0.0634487430439928,-0.0300680555322326,-0.59134199361354,0.246644596850166,-0.0300680555322299,-0.541767954670382,0.0104609743228623,0.029880126839159,-0.591341993613539,0.0104609743228627,-0.0622194621713397
