"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.593560187003874,-0.0133888190418823,-0.0133888190418823,-0.904436833580182
3.1,-0.651374303910913,-0.00965508144419937,-0.00965508144419937,-0.864541178228358
3.2,-0.705629422202908,-0.00532151758016125,-0.00532151758016126,-0.806858563269712
3.3,-0.756015367405765,-0.000406907905803801,-0.00040690790580382,-0.731903772607052
3.4,-0.802241746553009,0.00504726987114165,0.00504726987114161,-0.640826166286075
3.5,-0.844039799804012,0.0109729539268249,0.0109729539268248,-0.535494907258187
3.6,-0.88116410176534,0.0172724388780046,0.0172724388780045,-0.418554324371181
3.7,-0.913394072965718,0.0238168862630106,0.0238168862630105,-0.293430667837164
3.8,-0.940535268134339,0.0304472336825104,0.0304472336825104,-0.16427098384926
3.9,-0.962420419443153,0.0369782688508081,0.0369782688508082,-0.0357983177776125
4,-0.97891022922601,0.0432063557361617,0.0432063557361618,0.0869237899096479
4.1,-0.989893926222642,0.0489207764376766,0.0489207764376767,0.198810393176365
4.2,-0.995289619264215,0.0539179351351991,0.0539179351351993,0.295132894831759
4.3,-0.995044498847746,0.0580169092888843,0.0580169092888845,0.371913031002547
4.4,-0.98913494649893,0.0610742552694643,0.0610742552694645,0.426278802731592
4.5,-0.97756661138571,0.0629958101115447,0.0629958101115449,0.456726930534297
4.6,-0.960374502381442,0.0637436057374995,0.0637436057374997,0.463248370406451
4.7,-0.937623123161561,0.0633368734554515,0.0633368734554516,0.447296620753706
4.8,-0.909406651700798,0.0618472297906465,0.0618472297906466,0.411606980594284
4.9,-0.875849138896842,0.0593891731843123,0.0593891731843124,0.359900644720924
5,-0.837104679276542,0.056107702050089,0.0561077020500891,0.296523775658537
5.1,-0.793357493916764,0.0521650556747247,0.0521650556747248,0.226075364772848
5.2,-0.744821863762435,0.0477283239986736,0.0477283239986737,0.153069961233741
5.3,-0.691741859980992,0.0429591363620584,0.0429591363620585,0.0816664348234175
5.4,-0.634390834407614,0.0380060224113825,0.0380060224113826,0.0154769882007214
5.5,-0.573070653927961,0.0329994991735825,0.0329994991735827,-0.042544171335069
5.6,-0.508110684046787,0.0280495604983068,0.0280495604983069,-0.0901434542194193
5.7,-0.439866545707478,0.023245041607592,0.0232450416075921,-0.12575823163828
5.8,-0.368718683465947,0.0186542693502691,0.0186542693502692,-0.14847270212047
5.9,-0.295070791275755,0.0143264360263495,0.0143264360263496,-0.157955680541865
6,-0.21934814422811,0.0102931994910365,0.0102931994910366,-0.154393807799157
6.1,-0.141995881070407,0.00657007111945793,0.006570071119458,-0.138430235281474
6.2,-0.0634772740069425,0.0031571700793656,0.00315717007936575,-0.11111538367291
6.3,0.0157279899169995,3.88615995820437E-05,3.88615995823079E-05,-0.0738730603584282
6.4,0.0951255067513159,-0.00281838862633765,-0.00281838862633731,-0.0284819027284208
6.5,0.174207841229589,-0.00547099724327734,-0.00547099724327697,0.0229315168604778
