"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.024793028976487,-0.0811120246462864,-0.081112024646286,-0.558246955711021
3.1,-0.120675905179044,-0.0804338239844282,-0.0804338239844281,-0.651955011932877
3.2,-0.214642929226557,-0.0778902160111131,-0.0778902160111129,-0.731933514343517
3.3,-0.305790887992993,-0.0731144167361338,-0.0731144167361336,-0.795094110501239
3.4,-0.393255715283183,-0.0656853951618248,-0.0656853951618251,-0.838118943116821
3.5,-0.476219712389211,-0.0551420388025543,-0.0551420388025543,-0.857563566034368
3.6,-0.553922461278913,-0.04102465345772,-0.0410246534577198,-0.850121172749648
3.7,-0.625678792280968,-0.0229627758016304,-0.0229627758016307,-0.813156229206529
3.8,-0.690907617842438,-0.000830098250408674,-0.000830098250408748,-0.745621831543306
3.9,-0.749173379221934,0.0250259291117588,0.0250259291117586,-0.649391348433201
4,-0.800234274102843,0.0535175110426768,0.0535175110426769,-0.530765465167943
4.1,-0.84407687837433,0.0826348090165392,0.0826348090165395,-0.401429841758533
4.2,-0.880902308189626,0.109550645292572,0.109550645292573,-0.277702563971464
4.3,-0.911035205230375,0.131168824788604,0.131168824788603,-0.177217931197015
4.4,-0.934771117303692,0.145009785464861,0.14500978546486,-0.11375743117794
4.5,-0.952236246201594,0.149994758883917,0.149994758883917,-0.0928277151273623
4.6,-0.963341562453157,0.146661792779219,0.146661792779219,-0.110636939097765
4.7,-0.967847859672212,0.136739898816833,0.136739898816833,-0.15676741450769
4.8,-0.965484782626276,0.122428373655492,0.122428373655492,-0.21843976669039
4.9,-0.956053710470831,0.105788434012679,0.105788434012679,-0.284010371751545
5,-0.939481606638359,0.0884283312570951,0.0884283312570949,-0.344710599655049
5.1,-0.915830887244457,0.0714434611910929,0.0714434611910926,-0.394905399518617
5.2,-0.885284769773728,0.0554942695599142,0.0554942695599142,-0.431575676598956
5.3,-0.848124676886289,0.0409253723497033,0.0409253723497033,-0.453586398483736
5.4,-0.804708671856015,0.0278749434746441,0.0278749434746441,-0.461028423843701
5.5,-0.755454072033981,0.0163572962686037,0.0163572962686038,-0.454724864298299
5.6,-0.700824377324431,0.00631853995966564,0.00631853995966574,-0.435896744390709
5.7,-0.641319550457165,-0.00232898084580292,-0.00232898084580296,-0.405951424305376
5.8,-0.57746850922305,-0.00968716580558818,-0.00968716580558821,-0.3663557262391
5.9,-0.509822848021117,-0.0158624430492775,-0.0158624430492775,-0.318563907991394
6,-0.43895103445157,-0.0209621539340739,-0.0209621539340739,-0.263979819731913
6.1,-0.365432543818163,-0.0250944532139008,-0.0250944532139009,-0.203939920762741
6.2,-0.28985159620616,-0.0283698912188248,-0.0283698912188247,-0.139708922998545
6.3,-0.212790366475358,-0.0309033114678497,-0.0309033114678497,-0.0724830485565413
6.4,-0.134821761524746,-0.032815001738191,-0.032815001738191,-0.00339775183736646
6.5,-0.0565020950052223,-0.0342302971895916,-0.0342302971895917,0.0664622890905592
