"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.362959908119759,-0.0363127990684212,-0.4522213343622,-0.0215764377360125,-0.0363127990684213,-0.0516674167461492,0.0217437602422996,0.147527577523058,-0.452221334362201,0.0217437602422999,-0.3609006828739,0.0362678814118263,-0.0215764377360125,0.147527577523055,0.0362678814118262,-0.0515978167723158
3.1,-0.388289219210078,-0.0387104109776719,-0.382083767899073,-0.0223562560988662,-0.0387104109776702,-0.0455443404471834,0.0225699632213899,0.0438609165524449,-0.382083767899076,0.0225699632213903,-0.386487451873159,0.0386396873235974,-0.022356256098867,0.0438609165524428,0.0386396873235969,-0.0452175376144428
3.2,-0.411070367537869,-0.0406463989974964,-0.310297720310408,-0.0227217759820957,-0.040646398997494,-0.0385143316699047,0.0229889334946007,-0.0604423905702273,-0.310297720310412,0.0229889334946012,-0.409561608756078,0.0405411508780972,-0.0227217759820965,-0.0604423905702272,0.0405411508780961,-0.0379662670859532
3.3,-0.430865892139717,-0.0418902480221785,-0.237555978825602,-0.022508789338966,-0.0418902480221767,-0.0313119102295909,0.0228355837835954,-0.163674420265976,-0.237555978825604,0.0228355837835958,-0.429680253027003,0.0417418551943148,-0.0225087893389664,-0.163674420265974,0.0417418551943136,-0.0304979733016675
3.4,-0.447221718211777,-0.0421553472167364,-0.164589773867625,-0.0215025410338338,-0.0421553472167358,-0.02431953562078,0.021891352168758,-0.263648383306285,-0.164589773867625,0.0218913521687584,-0.446382689990279,0.0419570767415593,-0.0215025410338339,-0.263648383306282,0.0419570767415587,-0.0231774151266279
3.5,-0.459673976804067,-0.0411058263872151,-0.0921610180295157,-0.0194432218183013,-0.0411058263872154,-0.0179579970626244,0.0198888870216543,-0.357867613844772,-0.0921610180295137,0.0198888870216545,-0.459197338811422,0.0408553626440255,-0.0194432218183011,-0.35786761384477,0.0408553626440259,-0.0164490370937837
3.6,-0.467775861406187,-0.0383845029573406,-0.0210344778154004,-0.0160554579486784,-0.038384502957341,-0.0128814687479147,0.0165409755408493,-0.443745776264197,-0.0210344778153981,0.0165409755408494,-0.467668863723294,0.0380872789956698,-0.0160554579486784,-0.443745776264195,0.038087278995671,-0.0110083398069081
3.7,-0.471158740888518,-0.0336773075472396,0.0480846605820249,-0.0111180547281068,-0.0336773075472392,-0.0100660751607825,0.0116106085764709,-0.518847840939762,0.0480846605820259,0.011610608576471,-0.471419892646807,0.033350403640569,-0.0111180547281071,-0.518847840939761,0.0333504036405702,-0.00787946047200324
3.8,-0.469634554918318,-0.0268266446219912,0.114655371442557,-0.00458221594818197,-0.0268266446219906,-0.0108325887615175,0.00503137994800523,-0.581117300293289,0.114655371442557,0.00503137994800528,-0.470254453748655,0.0265021819299851,-0.00458221594818235,-0.581117300293288,0.0265021819299855,-0.00843098426509592
3.9,-0.463317195245658,-0.0179807137132833,0.178425483076029,0.00328648318898905,-0.0179807137132839,-0.0167925623944398,-0.00294568051382127,-0.629059655080884,0.178425483076031,-0.00294568051382131,-0.464280700628333,0.0177062394249999,0.00328648318898915,-0.629059655080883,0.017706239425,-0.0143141241043335
4,-0.45269232047881,-0.0077086983837471,0.239505149421508,0.0118225759640467,-0.0077086983837496,-0.0296873316956808,-0.011659584880907,-0.661863909348255,0.239505149421515,-0.0116595848809072,-0.453981799232225,0.00754121804017705,0.0118225759640477,-0.661863909348253,0.00754121804017812,-0.0272920097138588
4.1,-0.438544548567861,0.00303833572004701,0.298296253120242,0.0200394124056472,0.00303833572004372,-0.0510996249490438,-0.0201120455214088,-0.679457954505825,0.298296253120257,-0.0201120455214092,-0.44014305509794,-0.00304574267635834,0.0200394124056487,-0.679457954505822,-0.00304574267635538,-0.0489425162994693
4.2,-0.421724145696098,0.0131854305783912,0.355259065259624,0.0269023362855189,0.0131854305783894,-0.0820597007431711,-0.027240266682313,-0.682504832041929,0.355259065259643,-0.0272402666823133,-0.423616994275742,-0.0129996820373134,0.0269023362855203,-0.682504832041925,-0.0129996820373091,-0.0802612664103319
4.3,-0.402873181674145,0.0218914072715664,0.410637986118649,0.0316652526967305,0.021891407271567,-0.122632669921481,-0.0322610163657924,-0.672351393036499,0.410637986118668,-0.0322610163657926,-0.405047128569681,-0.0215096232889561,0.0316652526967311,-0.672351393036494,-0.0215096232889522,-0.121255373865562
4.4,-0.382280197440879,0.0287689306601182,0.464317749604554,0.0340660203559413,0.0287689306601205,-0.171627332158864,-0.03487778316712,-0.650938666444818,0.464317749604568,-0.03487778316712,-0.384720919907958,-0.0282178473109809,0.0340660203559409,-0.650938666444813,-0.0282178473109787,-0.17066776703662
4.5,-0.359921205016343,0.0338534428612405,0.51586766349227,0.0342934811784607,0.0338534428612427,-0.226562291482956,-0.0352569838071053,-0.620677384363614,0.515867663492278,-0.0352569838071052,-0.362610612337337,-0.0331804244826728,0.0342934811784599,-0.62067738436361,-0.0331804244826722,-0.225961618594897
4.6,-0.335606993206596,0.0374194099676138,0.564691958520094,0.0328093200058551,0.0374194099676149,-0.283941024082163,-0.0338524748444406,-0.584287474123936,0.564691958520097,-0.0338524748444405,-0.338521558079573,-0.0366808585061048,0.0328093200058545,-0.584287474123933,-0.0366808585061049,-0.28360795380691
4.7,-0.309127542436845,0.0398009257157267,0.610176134507343,0.0301591156240011,0.0398009257157269,-0.339762043548699,-0.0312138623277014,-0.544601456625923,0.610176134507344,-0.0312138623277014,-0.312237956505937,-0.0390524095931462,0.0301591156240009,-0.544601456625921,-0.0390524095931465,-0.339597630221609
4.8,-0.280339745026718,0.0412912494890119,0.651775942071293,0.0268475331281155,0.0412912494890116,-0.390100635554383,-0.0278569334766173,-0.504340412035469,0.651775942071294,-0.0278569334766174,-0.283611583915479,-0.0405809652174472,0.0268475331281158,-0.504340412035467,-0.0405809652174472,-0.390015968458566
