"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.199502574337533,0.00249766075390302,-0.779820186275689,-0.00382981173167145,0.00249766075390304,0.0390438143215963,0.00370914037982941,0.942213910968666,-0.779820186275689,0.00370914037982955,0.203064228987133,-0.0024264469594029,-0.00382981173167146,0.942213910968666,-0.00242644695940302,0.0377402500709536
3.1,0.171298946176442,-0.00202459885717729,-0.809863567821989,-0.00705031971905837,-0.00202459885717804,0.0363861974800372,0.00694193829001007,0.945513047776602,-0.809863567821987,0.00694193829000998,0.17513187862352,0.00210285639951943,-0.00705031971905852,0.945513047776601,0.00210285639952081,0.0350181530696015
3.2,0.139931185200607,-0.00733482211734666,-0.833325966566935,-0.0107226381402112,-0.00733482211734696,0.0367528927398036,0.0106363938594512,0.936653794805375,-0.833325966566933,0.0106363938594511,0.144001989272396,0.00741489570176992,-0.0107226381402116,0.936653794805374,0.00741489570177148,0.0353237546284253
3.3,0.105615677364132,-0.0134597521215479,-0.850120482584114,-0.0148558468768414,-0.0134597521215476,0.0399365217711311,0.0148074431894406,0.91473049670233,-0.850120482584112,0.0148074431894405,0.109885455188546,0.0135318963670051,-0.0148558468768419,0.914730496702329,0.013531896367006,0.0384498638622319
3.4,0.0686391229872145,-0.0203667101898374,-0.860248834419708,-0.019411014196229,-0.020366710189837,0.0459398715744761,0.0194226736096128,0.879258023761681,-0.860248834419705,0.0194226736096128,0.0730644350932811,0.0204158591810409,-0.0194110141962292,0.879258023761681,0.020415859181041,0.0444507199769092
3.5,0.0293874679599986,-0.0279262538147889,-0.863831812882973,-0.0242631395281172,-0.0279262538147894,0.0550054423890372,0.024363151439676,0.83034613431092,-0.863831812882969,0.024363151439676,0.0339216850800174,0.0279317248515994,-0.0242631395281169,0.830346134310921,0.0279317248515992,0.053610640521346
3.6,-0.0116164158502691,-0.0358651400127836,-0.861148741356179,-0.0291530841284346,-0.0358651400127851,0.0674821017838041,0.0293735003043039,0.768801486065847,-0.861148741356174,0.0293735003043039,-0.00702126089416074,0.0358013559744939,-0.0291530841284338,0.768801486065848,0.0358013559744941,0.0663003271523008
3.7,-0.0536786316127895,-0.0437199626888593,-0.852673736864137,-0.033643799117359,-0.0437199626888611,0.0836632166179705,0.0340153998976513,0.696143242176355,-0.852673736864132,0.0340153998976512,-0.0490694864591045,0.0435590460736298,-0.0336437991173581,0.696143242176356,0.0435590460736306,0.0828150665731869
3.8,-0.095933750700297,-0.0508202949397848,-0.83907853954087,-0.0371152884728065,-0.0508202949397857,0.103603356860845,0.0376593476905163,0.614532787450691,-0.839078539540868,0.0376593476905162,-0.091353934320415,0.0505376174168623,-0.0371152884728061,0.61453278745069,0.050537617416863,0.103191028036355
3.9,-0.137421534840582,-0.0563518499366842,-0.821157432935177,-0.0388488241016153,-0.0563518499366841,0.12691124907051,0.0395666555729713,0.526633107038629,-0.82115743293518,0.0395666555729713,-0.132908548744335,0.0559349468039104,-0.0388488241016153,0.526633107038627,0.0559349468039099,0.126998051206379
