"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.400246470288764,0.527638585979737,0.527638585979737,0.726842483012701
3.1,-0.185252620418167,0.500387259164714,0.500387259164755,0.744803990464199
3.2,0.0835339965985796,0.362656314501736,0.362656314501728,0.703001184056409
3.3,0.294567667860841,0.255207784399759,0.255207784399826,0.601519705752754
3.4,0.217203823677685,0.213276350664895,0.21327635066485,0.424522556493163
3.5,-0.0512500598134049,0.259495758935206,0.259495758935157,0.182511732136003
3.6,-0.258665854985693,0.230610194459287,0.230610194459275,-0.0402066204972162
3.7,-0.394438763716306,0.176806101803671,0.176806101803673,-0.241458936776945
3.8,-0.504856982802839,0.104098085940286,0.104098085940286,-0.421370530886367
3.9,-0.571726671456059,0.0130846718292545,0.0130846718292562,-0.568718745966318
4,-0.598951704559347,-0.0908374794435995,-0.0908374794435951,-0.670964892129494
4.1,-0.609998709433491,-0.198132940009033,-0.19813294000903,-0.715397978129065
4.2,-0.615860491027935,-0.295879850485438,-0.295879850485441,-0.688002493893246
4.3,-0.617990083848102,-0.368143670288382,-0.36814367028839,-0.573086880751664
4.4,-0.611690257783583,-0.395738584258796,-0.3957385842588,-0.357578823247641
4.5,-0.585584109672099,-0.3575994553578,-0.357599455357797,-0.0472750321214457
4.6,-0.521174904136115,-0.241418873379424,-0.241418873379417,0.301835825067924
4.7,-0.400881378979534,-0.0702285477714422,-0.0702285477714406,0.571160906616008
4.8,-0.229804210836682,0.083379874166178,0.0833798741661776,0.654682984426292
4.9,-0.0452366670616736,0.148670694563607,0.148670694563608,0.562637681701264
5,0.114346539421878,0.118459205953,0.118459205952998,0.387895815913113
5.1,0.237272083004166,0.029931276857853,0.0299312768578515,0.201220716836268
5.2,0.330017744950763,-0.0807229457606595,-0.0807229457606592,0.0228671532068187
5.3,0.40048963188769,-0.191802185304091,-0.19180218530409,-0.148183052450327
5.4,0.451278307373694,-0.290215680422992,-0.290215680422992,-0.311562713418577
5.5,0.478797859337741,-0.364646405553103,-0.364646405553103,-0.464191678129467
5.6,0.473452926546863,-0.403640092860804,-0.403640092860805,-0.60349280926706
5.7,0.421776589023049,-0.400453472197336,-0.400453472197339,-0.722731024714728
5.8,0.318883889660929,-0.366052540314142,-0.366052540314142,-0.80002317832657
5.9,0.194313755145346,-0.340007288872196,-0.340007288872192,-0.800828182986754
6,0.106640292870869,-0.362631686750935,-0.362631686750935,-0.713405655206846
6.1,0.0812348559839769,-0.426462713453523,-0.426462713453524,-0.56745820884225
6.2,0.0950667866688475,-0.494305471652334,-0.494305471652333,-0.397993270433646
6.3,0.118938419357267,-0.539470180125767,-0.539470180125768,-0.219802748186198
6.4,0.137356212313056,-0.548069412433009,-0.548069412433009,-0.0353168265466176
6.5,0.145794102993424,-0.509767912821185,-0.509767912821185,0.150618541909086
