"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.600331482032692,0.42150484313801,-0.171816681713435,-0.182782021547875,0.421504843138008,0.032961987824593,-0.183362367239201,-0.621129630626873,-0.171816681713434,-0.1833623672392,-0.599597312608698,0.42209399277651,-0.182782021547875,-0.621129630626873,0.42209399277651,0.0339982272930775
3.1,-0.546028481135748,0.348391693665651,-0.277904802278803,-0.238468172970444,0.348391693665652,-0.0469549316089864,-0.2389552615326,-0.714022105046915,-0.277904802278804,-0.238955261532599,-0.544768793959093,0.349383333177804,-0.238468172970446,-0.714022105046914,0.349383333177805,-0.0451727073367772
3.2,-0.473063327373998,0.241222178554177,-0.395765212119409,-0.258406785201195,0.241222178554178,-0.112568010485791,-0.258645790541784,-0.737865124377247,-0.39576521211941,-0.258645790541785,-0.470959789156807,0.24272503738407,-0.258406785201195,-0.737865124377248,0.242725037384064,-0.110115535313752
3.3,-0.369138847903188,0.104951987003634,-0.534833928678919,-0.221750407192655,0.104951987003639,-0.125070417093164,-0.221478774133298,-0.690009584324028,-0.534833928678919,-0.2214787741333,-0.365692732541808,0.106974770192541,-0.221750407192648,-0.690009584324018,0.106974770192541,-0.122404712576333
3.4,-0.233932048252614,-0.0533022753549474,-0.683929111571384,-0.103872296354328,-0.0533022753549497,-0.0443553069070993,-0.102720688379406,-0.579917627349784,-0.683929111571378,-0.102720688379399,-0.228558509532607,-0.051052565838495,-0.103872296354322,-0.579917627349778,-0.0510525658384936,-0.0424350422576271
3.5,-0.190443097281138,-0.165941368099388,-0.701520820694306,0.0523056410934091,-0.165941368099363,0.12242352427484,0.0540091789322836,-0.414997888918414,-0.701520820694316,0.0540091789322737,-0.183877905860276,-0.164403743423829,0.0523056410934236,-0.414997888918397,-0.164403743423814,0.122720996328154
3.6,-0.438310356480307,-0.0491192877641768,-0.373137257736723,0.0594585875274849,-0.049119287764183,0.218271387401202,0.0594841005192293,-0.120736552051835,-0.373137257736717,0.0594841005192512,-0.434526006694923,-0.0490469451309999,0.0594585875275045,-0.120736552051816,-0.0490469451310049,0.217509323920205
3.7,-0.630675130003094,0.147323772281575,-0.0506118031326609,0.0199760841579954,0.14732377228159,0.198339747570167,0.0181172216062825,0.23184050249746,-0.0506118031326687,0.0181172216062771,-0.630486729242664,0.146269599522369,0.0199760841580049,0.231840502497474,0.146269599522378,0.196180908900631
3.8,-0.626969328653808,0.242390298604399,0.102934001713409,0.0613433038107399,0.242390298604403,0.146961861775174,0.0590376031987891,0.481588657664829,0.102934001713407,0.0590376031987993,-0.628624597901398,0.24029711323756,0.0613433038107611,0.481588657664847,0.240297113237557,0.142482383063498
3.9,-0.54708597955035,0.251044532741187,0.185871249820601,0.129494569122008,0.251044532741189,0.0653166914881613,0.127578313582523,0.61663288231517,0.185871249820596,0.127578313582515,-0.54975341761611,0.247607278190501,0.129494569122004,0.616632882315165,0.2476072781905,0.0584128853732341
4,-0.452260888621775,0.200615320082265,0.243861417219256,0.184526592545986,0.200615320082282,-0.0376667425984299,0.183389010785063,0.662374598418877,0.243861417219229,0.18338901078504,-0.455751279946141,0.19561533116483,0.184526592545994,0.662374598418889,0.19561533116484,-0.0460737588143389
4.1,-0.361580288910992,0.110371473817786,0.29096363140157,0.213429701464598,0.110371473817801,-0.140842101455409,0.213318510542622,0.641430560802589,0.290963631401534,0.213318510542626,-0.366047458175111,0.103755260582844,0.213429701464649,0.641430560802628,0.103755260582851,-0.149487764110748
4.2,-0.279613701016896,-0.00796903855414127,0.334054134365325,0.21251825172732,-0.00796903855413661,-0.220879428049367,0.213718422855229,0.569767864469596,0.334054134365306,0.213718422855264,-0.285508053902087,-0.0162007856374839,0.21251825172738,0.569767864469625,-0.0162007856374836,-0.228301862470376
4.3,-0.208476395328018,-0.146441724910296,0.376659394292908,0.177949612409726,-0.146441724910297,-0.249726625321753,0.180844698798329,0.457993781086814,0.376659394292904,0.180844698798333,-0.216570341718617,-0.156057959910017,0.177949612409727,0.457993781086809,-0.156057959910015,-0.253597600435453
4.4,-0.156205418018732,-0.289422608758826,0.411543522554867,0.103124986668498,-0.289422608758821,-0.193114679083209,0.107926864000537,0.313084536051418,0.411543522554835,0.107926864000483,-0.167485179256452,-0.299085075317418,0.103124986668495,0.313084536051417,-0.299085075317409,-0.189841414411499
4.5,-0.146507292873677,-0.390277411432152,0.40095048807774,-0.00692392038261024,-0.390277411432145,-0.0397334345582337,-0.00133435798237552,0.136829822786222,0.400950488077663,-0.00133435798225753,-0.161092585524266,-0.396015056227273,-0.00692392038239873,0.136829822786288,-0.396015056227273,-0.0281392848703438
4.6,-0.206956363894736,-0.366777154796878,0.289537335392,-0.0909292531759586,-0.366777154796872,0.123282638727701,-0.088556740737481,-0.0797130324638309,0.289537335391975,-0.088556740737318,-0.220763127900145,-0.36385857202209,-0.0909292531758666,-0.0797130324637593,-0.363858572022105,0.135658008368359
4.7,-0.275993613942438,-0.215030386340808,0.119672176083977,-0.114731280164949,-0.215030386340812,0.151662337876033,-0.118290703919288,-0.332479938774726,0.119672176083988,-0.118290703919309,-0.282396064471798,-0.205966477502885,-0.114731280164989,-0.332479938774731,-0.20596647750289,0.158511696889453
4.8,-0.244811684829398,-0.0737416134497081,-0.0125548421990041,-0.143478614491309,-0.0737416134497057,0.0418038445122936,-0.148974175470393,-0.529436088963361,-0.0125548421990177,-0.148974175470375,-0.244698976646499,-0.0644850974826486,-0.143478614491289,-0.529436088963343,-0.0644850974826442,0.0463113033183616
4.9,-0.145859112922818,-0.025387788747597,-0.0959919910646316,-0.178143670922503,-0.0253877887475959,-0.109743693683828,-0.182351414680006,-0.601255592632445,-0.0959919910646419,-0.182351414679996,-0.142862849317441,-0.0174729552540058,-0.178143670922497,-0.601255592632437,-0.0174729552540055,-0.104893781904691
5,-0.0425594625829653,-0.0516915832753169,-0.154709406749097,-0.193983788302011,-0.0516915832753165,-0.240218307735199,-0.196411069334606,-0.588459400371161,-0.154709406749092,-0.196411069334604,-0.0382905377533606,-0.044768048853462,-0.19398378830201,-0.588459400371164,-0.0447680488534636,-0.235430215033465
5.1,0.0387748644990816,-0.118834487782602,-0.204524886040759,-0.184427676555607,-0.118834487782601,-0.329328219373237,-0.185460509935455,-0.528304742601186,-0.204524886040786,-0.18546050993545,0.0439419972470729,-0.112751267768616,-0.184427676555607,-0.528304742601185,-0.112751267768617,-0.325695691047011
5.2,0.0918142438061128,-0.204861724485222,-0.249760905062478,-0.155683702214542,-0.204861724485219,-0.373497280716266,-0.155676913153051,-0.433872272627131,-0.249760905062511,-0.155676913153048,0.0978238572787255,-0.199789072096152,-0.155683702214544,-0.433872272627128,-0.199789072096154,-0.371679786827244
5.3,0.119727047312952,-0.295510808941848,-0.294793669557406,-0.115542390660321,-0.295510808941849,-0.372876872241508,-0.114749564555592,-0.308595707175684,-0.294793669557409,-0.114749564555594,0.126351800724481,-0.291739110629162,-0.11554239066032,-0.308595707175682,-0.291739110629162,-0.373058252954982
5.4,0.131229423218874,-0.37759868202439,-0.330872808137107,-0.0679058114069686,-0.377598682024392,-0.327752742094015,-0.0666338277885193,-0.15244345415667,-0.330872808137109,-0.0666338277885185,0.137904793702393,-0.375366351335555,-0.0679058114069666,-0.152443454156668,-0.375366351335553,-0.3298162829269
5.5,0.13761032270033,-0.435064952018981,-0.349539333708947,-0.0111988548777087,-0.435064952018982,-0.23979051209618,-0.00991668209471488,0.0344691248906916,-0.349539333708954,-0.00991668209471227,0.143523017768959,-0.434407813503679,-0.0111988548777132,0.0344691248906939,-0.434407813503671,-0.243281539070242
5.6,0.150603119017084,-0.449352782306995,-0.338195435055882,0.0613148782715535,-0.449352782306994,-0.119078861175826,0.0620921369288533,0.244873570340205,-0.338195435055884,0.0620921369288535,0.154940560449446,-0.449968656652442,0.0613148782715508,0.244873570340206,-0.449968656652438,-0.123062842111545
5.7,0.18027506658331,-0.407747022742441,-0.283432845349835,0.153420534918706,-0.407747022742443,0.000391243901527506,0.153526411750871,0.450435294811312,-0.283432845349833,0.153526411750874,0.18260371623028,-0.408860843601605,0.153420534918704,0.450435294811316,-0.408860843601613,-0.00311335943785282
5.8,0.2286414563666,-0.319975067939907,-0.176457443044866,0.2440001202161,-0.319975067939908,0.0498628083192385,0.243873474731643,0.590615893350934,-0.176457443044865,0.243873474731642,0.229375865363662,-0.320264289360488,0.244000120216089,0.590615893350937,-0.320264289360487,0.0472139793198433
5.9,0.276608547735234,-0.224738792297152,-0.0206453989579881,0.283583727724635,-0.224738792297161,-0.0349906967221546,0.284246580648035,0.608133932539059,-0.0206453989579847,0.284246580648039,0.277241827746739,-0.223044892239818,0.28358372772464,0.60813393253906,-0.223044892239841,-0.0371269597749603
6,0.289817067183823,-0.158364359997865,0.159975409161997,0.232617506783649,-0.158364359997868,-0.232750674743381,0.234586804603689,0.522300684705692,0.159975409162006,0.234586804603687,0.292304780290451,-0.154812963608986,0.232617506783628,0.522300684705702,-0.154812963608988,-0.23566048005606
6.1,0.273513787560066,-0.141046913825845,0.317311782156884,0.125033855737741,-0.141046913825852,-0.432718771565183,0.127443484057094,0.387769449680955,0.317311782156879,0.1274434840571,0.278696011268112,-0.137018431746838,0.125033855737755,0.387769449680953,-0.137018431746857,-0.435424764885167
6.2,0.280448977309174,-0.19041333592834,0.399446073358779,0.0414903581850663,-0.190413335928349,-0.532032075524801,0.0427078436065076,0.224767508475742,0.399446073358782,0.0427078436065101,0.287357804267228,-0.187127935686806,0.0414903581850603,0.22476750847574,-0.187127935686824,-0.534289326560668
6.3,0.330325478761564,-0.286512474520484,0.397571081287115,0.00384953686357915,-0.286512474520483,-0.516969054391553,0.00329741058032929,0.0512358956170548,0.397571081287106,0.00329741058033162,0.337612678184999,-0.283920425321069,0.00384953686358785,0.051235895617053,-0.283920425321067,-0.519683589186933
6.4,0.392780724686363,-0.385730749272921,0.355379178533283,-0.00918535884202022,-0.385730749272933,-0.428688809121007,-0.0109879613961487,-0.109722904842639,0.355379178533219,-0.0109879613961147,0.399905845309343,-0.383715989151366,-0.00918535884195757,-0.109722904842648,-0.383715989151392,-0.431960856505891
6.5,0.439934786175915,-0.452716063418118,0.309397416358903,-0.0278149430649943,-0.452716063418128,-0.299577175373607,-0.0302665052101872,-0.245532635567744,0.309397416358901,-0.0302665052101868,0.446977912111107,-0.45150372595104,-0.0278149430650031,-0.245532635567742,-0.45150372595104,-0.306942412506885
