"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.432499433364536,0.301262708988491,-0.418520678799957,-0.264352559769352,0.301262708988491,-0.0602652458290396,-0.265603816482869,-0.68565652352993,-0.418520678799958,-0.265603816482869,-0.430904188106449,0.303623493225443,-0.264352559769352,-0.68565652352993,0.303623493225442,-0.0607753144579118
3.1,-0.397459407229017,0.242832159040511,-0.47930252722032,-0.250190493689056,0.242832159040528,-0.091096634397811,-0.251222562744641,-0.69914565844541,-0.479302527220319,-0.251222562744623,-0.39538022510922,0.245590685567341,-0.250190493689065,-0.699145658445401,0.245590685567352,-0.0916400133433846
3.2,-0.359669245022927,0.177357828891392,-0.536119160840846,-0.224447918250051,0.177357828891406,-0.119370870991345,-0.225097917375132,-0.700747646749824,-0.536119160840843,-0.225097917375107,-0.356978168772173,0.180512224671234,-0.22444791825006,-0.700747646749816,0.18051222467124,-0.120051029642136
3.3,-0.320966416525587,0.105098437077115,-0.586438800980535,-0.186864911247494,0.10509843707712,-0.141591198406671,-0.186959396684592,-0.691302752697582,-0.586438800980532,-0.186959396684574,-0.317537086500399,0.108630243177447,-0.186864911247497,-0.69130275269758,0.108630243177446,-0.142540184270846
3.4,-0.284493377048918,0.0268197265559877,-0.626509898531747,-0.137751769086828,0.0268197265559866,-0.153872964193576,-0.137118205786063,-0.6721548174821,-0.626509898531745,-0.137118205786058,-0.280223295577048,0.0306743251382661,-0.137751769086828,-0.672154817482103,0.030674325138264,-0.155261333572175
3.5,-0.255228146949894,-0.0556063131473911,-0.650847731834275,-0.0785053381005655,-0.0556063131473897,-0.152446483774726,-0.0769934014665386,-0.645035747657545,-0.650847731834275,-0.0769934014665412,-0.250078148449465,-0.0515451480117006,-0.0785053381005674,-0.645035747657548,-0.0515451480116957,-0.154486640168278
3.6,-0.240255036856788,-0.138209815380924,-0.651989406406211,-0.0124885898710888,-0.138209815380914,-0.134356857825985,-0.0100116153089231,-0.611605362846321,-0.651989406406213,-0.0100116153089224,-0.234310608708927,-0.134145228539003,-0.0124885898710957,-0.611605362846318,-0.134145228538989,-0.137276884389273
3.7,-0.247905229800225,-0.213754593915614,-0.621378452970374,0.0538905905280983,-0.213754593915599,-0.0984774271994448,0.0572863370087372,-0.572385837384397,-0.621378452970377,0.0572863370087461,-0.241452221294234,-0.209986046142913,0.0538905905280891,-0.572385837384389,-0.209986046142898,-0.102439207603731
3.8,-0.284391907319207,-0.271465103076866,-0.552720903607827,0.110842187870259,-0.271465103076857,-0.0469714587840716,0.11489751382472,-0.525097515674739,-0.552720903607831,0.114897513824728,-0.277966898570613,-0.268354881541395,0.110842187870253,-0.525097515674735,-0.268354881541391,-0.0519351383394041
3.9,-0.347649978388931,-0.299697341561801,-0.448081824909632,0.147538219093261,-0.299697341561801,0.0133419025437689,0.151761428841263,-0.463454685348633,-0.448081824909635,0.151761428841258,-0.341984178087815,-0.297571618727405,0.14753821909326,-0.463454685348638,-0.297571618727412,0.00773294007403622
4,-0.422533144384416,-0.292285548465275,-0.322656633004866,0.158074699282246,-0.292285548465275,0.0718534724643292,0.161874954807413,-0.378755905475241,-0.322656633004868,0.1618749548074,-0.41832864119596,-0.291292575859923,0.158074699282243,-0.378755905475247,-0.29129257585993,0.0662431884105662
4.1,-0.48492031746328,-0.254057814608787,-0.20078044493557,0.146956867793031,-0.25405781460878,0.119051066370529,0.149898247118916,-0.265174620772945,-0.200780444935571,0.149898247118908,-0.482549249532036,-0.254075366842755,0.146956867793026,-0.265174620772944,-0.254075366842755,0.114169082260409
4.2,-0.5145360331081,-0.198817775039841,-0.103216131946345,0.127251670840049,-0.198817775039835,0.151741474409904,0.129224204435142,-0.124774879821371,-0.103216131946345,0.129224204435141,-0.513893782458457,-0.199501516672059,0.127251670840046,-0.124774879821366,-0.199501516672058,0.148160364615491
