Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
3,-0.248715541469255+0.0951962584852327i,-0.257165020580297-0.164078164433545i,-0.435068096659404+0.0691164715798066i,-0.159680811723629+0.0355851449556042i,-0.257165020580292-0.164078164433551i,-0.244356954272271+0.0945065476967929i,-0.157424819645244+0.0355851874164202i,-0.435461563821332+0.0677827338451525i,-0.435068096659415+0.0691164715798137i,-0.157424819645234+0.0355851874164137i,-0.0456236503303457+0.00525723408864671i,0.138782307597189+0.126580475189765i,-0.15968081172362+0.0355851449556061i,-0.435461563821344+0.067782733845146i,0.138782307597183+0.126580475189763i,-0.0490510980340712+0.00573734837397765i
3.1,-0.170252615494098+0.0336913687215058i,-0.0188880590125204-0.0178279379711581i,-0.37192042898618-0.0111602234562725i,-0.249423211530713+0.0157455803894225i,-0.01888805901272-0.0178279379713408i,-0.168373215977585+0.03361508713918i,-0.249915133686835+0.0165718661290303i,-0.370832890291833-0.0118757866590592i,-0.371920428986173-0.0111602234562705i,-0.24991513368672+0.0165718661289867i,-0.176830602699676+0.000348724441954308i,0.355912622301873+0.295351508547997i,-0.249423211530757+0.0157455803894235i,-0.370832890291839-0.0118757866590664i,0.355912622302001+0.295351508548163i,-0.178029430196417-3.73745157017526E-05i
3.2,0.105939785948952-0.0254080123172616i,0.33483546436665+0.279164421190976i,-0.127248734753758-0.00976056750256338i,-0.149930490785106-0.00845499663488013i,0.334835464366629+0.279164421190996i,0.108203518911578-0.0257049813895781i,-0.151389159432698-0.00833825461546857i,-0.126728056838232-0.00975822044708144i,-0.127248734753759-0.00976056750256274i,-0.151389159432675-0.00833825461546428i,-0.108967537013778-0.0183185695913845i,0.651440798926384+0.321160537425041i,-0.149930490785103-0.00845499663488047i,-0.12672805683823-0.0097582204470816i,0.651440798926406+0.321160537425076i,-0.107909122625485-0.0182641480577808i
3.3,0.104300508560803-0.0631360397051252i,0.603922598162454+0.179156669810756i,-0.000882546684127745+0.000107151821813399i,-0.0964909018994146-0.00117537336420123i,0.603922598162369+0.179156669810754i,0.109923724344371-0.0661329259946459i,-0.0967732043026771-0.00109800524920284i,-0.00172182124747114+0.000209105853707289i,-0.000882546684121762+0.00010715182181267i,-0.0967732043026285-0.00109800524920686i,0.0130200201536919+0.00281215215123241i,0.838723981390996+0.0690612093491857i,-0.0964909018994246-0.00117537336420169i,-0.00172182124747743+0.000209105853708048i,0.838723981390939+0.0690612093491313i,0.0154532594846031+0.00334451880169813i
3.4,-0.0654710099069516+0.0508399404546596i,0.553374758735488+0.0154862956015645i,-0.0771315126724711+0.0227209958711634i,-0.142385095986114-0.00258273492437145i,0.55337475873549+0.0154862956015724i,-0.05914148315663+0.0458975077794237i,-0.14294635915975-0.00231338170274061i,-0.0790672199417431+0.0232554147561104i,-0.0771315126724683+0.0227209958711629i,-0.142946359159735-0.00231338170273949i,0.116461496085343+0.0235169643798894i,0.729536387930372-0.204581139973486i,-0.142385095986113-0.00258273492437114i,-0.0790672199417425+0.0232554147561101i,0.729536387930351-0.204581139973492i,0.120399234461345+0.0241325421127848i
3.5,-0.199147101146065+0.145799973274513i,0.459737593135454-0.0509281410670715i,-0.205777522772883+0.0735090311834193i,-0.155841656884724-0.0138188189611447i,0.459737593135446-0.050928141067072i,-0.192360269041326+0.141289854083863i,-0.157808833850243-0.0136692107657023i,-0.208632429651668+0.0741807051761212i,-0.205777522772885+0.0735090311834198i,-0.157808833850244-0.0136692107657043i,0.204429239802763+0.0301664366809836i,0.483272627239807-0.271113992992506i,-0.155841656884726-0.0138188189611443i,-0.208632429651669+0.0741807051761225i,0.483272627239822-0.27111399299251i,0.208843623317847+0.0298601625217829i
3.6,-0.295683333435187+0.185184955284581i,0.375964477576151-0.0776227035258417i,-0.334320690190475+0.111851714270957i,-0.117607774316336-0.0190226910535971i,0.375964477576146-0.0776227035258401i,-0.288335242862603+0.181779694114159i,-0.120730743913965-0.0193848293230932i,-0.337862245865797+0.111868723652093i,-0.334320690190477+0.111851714270955i,-0.120730743913962-0.0193848293230937i,0.263572521563307+0.0146311258786279i,0.254453272360513-0.187100441305538i,-0.117607774316335-0.0190226910535969i,-0.337862245865799+0.111868723652094i,0.254453272360519-0.187100441305543i,0.266367005639945+0.0126703555175479i
3.7,-0.3620712572388+0.187659399019519i,0.299117157934536-0.0860628900585872i,-0.449434392097865+0.113723653320268i,-0.0474586017106214-0.0100529912952545i,0.299117157934533-0.0860628900585863i,-0.354252529112099+0.185597623109222i,-0.0512423902946905-0.0108709455811187i,-0.453015323133794+0.112104907253242i,-0.449434392097866+0.113723653320266i,-0.0512423902946964-0.0108709455811201i,0.266284665826164-0.0157350974880734i,0.0622880233395576-0.0495623299191282i,-0.0474586017106154-0.0100529912952531i,-0.45301532313379+0.112104907253241i,0.0622880233395499-0.0495623299191219i,0.264998003881785-0.0184322884456067i
3.8,-0.403810672445692+0.169358205790967i,0.22025221236388-0.0812139633948189i,-0.533660850112453+0.0700099512789776i,0.0415287006900827+0.0094968922671662i,0.220252212363874-0.0812139633948157i,-0.395737521667121+0.168856923546055i,0.0376110371672724+0.0086901792156595i,-0.535812698492025+0.0661142340544087i,-0.533660850112455+0.070009951278974i,0.0376110371672629+0.00869017921565769i,0.199453234507566-0.0324581479231806i,-0.115670602693378+0.0867759420242439i,0.0415287006900912+0.00949689226716776i,-0.535812698492018+0.0661142340544124i,-0.115670602693389+0.0867759420242506i,0.192728297485513-0.0334837852454947i
3.9,-0.420860478451481+0.137061786150113i,0.125934755273097-0.0577370673594039i,-0.561793117390574-0.00938572663415423i,0.141145333114438+0.0282718593260749i,0.125934755273097-0.0577370673594018i,-0.413123247056111+0.138514338937209i,0.137925961643658+0.0282974958056388i,-0.560202922486062-0.0148937153906539i,-0.561793117390571-0.00938572663416033i,0.137925961643657+0.0282974958056404i,0.0785085529591052-0.0167341941210209i,-0.296337789562689+0.182852084910128i,0.141145333114442+0.0282718593260733i,-0.560202922486064-0.0148937153906483i,-0.296337789562696+0.182852084910131i,0.066542328797274-0.0147207219579781i
4,-0.39549618275123+0.0937552104682065i,-0.00707866583779409+0.00390881037857422i,-0.507533625781131-0.091707241549801i,0.230763514412441+0.0255663696368272i,-0.00707866583778292+0.00390881037856798i,-0.390010933650634+0.0974241186319191i,0.230187917456495+0.0271888386650431i,-0.499812283669301-0.0957893389225901i,-0.507533625781123-0.0917072415498009i,0.230187917456501+0.0271888386650448i,-0.0653059452176427+0.0106638123599883i,-0.473147637701501+0.203346809553473i,0.230763514412434+0.0255663696368238i,-0.499812283669306-0.0957893389225884i,-0.473147637701509+0.203346809553477i,-0.080792718451487+0.0132462110722521i
