"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.0376748628791157,-0.0155326990822458,0.542773766415663,0.164572349510361,-0.0155326990822468,0.0431334869378799,-0.163958934519067,-0.818673601241168,0.542773766415662,-0.163958934519066,0.0435234000947198,0.0189082564400759,0.164572349510362,-0.818673601241165,0.0189082564400767,0.0469368438791056
3.1,-0.096533830688766,-0.11996285129037,0.495727795580713,0.186021606520029,-0.119962851290373,0.106043759546954,-0.18676433272817,-0.718543860434898,0.495727795580715,-0.186764332728174,-0.0914667194270117,0.123415594720946,0.186021606520033,-0.718543860434902,0.12341559472095,0.110416167654461
3.2,-0.198324984406629,-0.235546905661372,0.447681420974673,0.171880649810968,-0.235546905661374,0.167653149805487,-0.173541156262732,-0.56349326731702,0.447681420974673,-0.173541156262735,-0.19367539220022,0.239101862685971,0.171880649810971,-0.563493267317023,0.239101862685971,0.171673331757895
3.3,-0.272903002364021,-0.346446824519409,0.399059159285056,0.12664921966018,-0.34644682451941,0.209908780844035,-0.128921320459729,-0.377135657651304,0.399059159285057,-0.128921320459731,-0.268347629688412,0.349969596433323,0.126649219660182,-0.377135657651306,0.349969596433324,0.212571893558622
3.4,-0.326784525520491,-0.44236293645501,0.347132658804563,0.058633189859477,-0.44236293645501,0.215958142101294,-0.0613260543735322,-0.175664448107217,0.347132658804564,-0.0613260543735323,-0.322127842419445,0.445489961672604,0.058633189859479,-0.175664448107217,0.445489961672605,0.216277707092308
3.5,-0.363146296708684,-0.514534223857405,0.28636696446961,-0.0264996608437907,-0.514534223857404,0.176575105937829,0.0235618179215036,0.02872457660766,0.28636696446961,0.023561817921506,-0.358339139910684,0.516584900105766,-0.0264996608437919,0.0287245766076634,0.516584900105764,0.173490037904743
3.6,-0.379530129891514,-0.552832615729376,0.206051633369246,-0.122922997048261,-0.552832615729373,0.0929004866834272,0.120055522130838,0.223799150595407,0.206051633369246,0.120055522130841,-0.374824024066431,0.55270138777147,-0.122922997048262,0.223799150595414,0.552701387771471,0.0854077851298735
3.7,-0.362608223940613,-0.543771033542421,0.0844320398638872,-0.216165196349962,-0.543771033542419,-0.0198016818273926,0.214205712306286,0.395639955605966,0.0844320398638932,0.214205712306285,-0.359078842069564,0.539722570570379,-0.216165196349954,0.395639955605969,0.539722570570386,-0.0318774671479376
3.8,-0.281312071732908,-0.462707898188941,-0.11663579445641,-0.267308923900543,-0.462707898188937,-0.118019666630646,0.268392784662851,0.535615795569827,-0.116635794456403,0.268392784662849,-0.282066844971658,0.452514080896417,-0.267308923900532,0.535615795569821,0.452514080896414,-0.132587918795847
3.9,-0.12920469049291,-0.27383139966931,-0.401711262778276,-0.211901519199683,-0.273831399669308,-0.115199784083145,0.219083234544911,0.66086046447823,-0.401711262778278,0.219083234544913,-0.139911602305472,0.257597831325049,-0.211901519199683,0.660860464478233,0.257597831325055,-0.126929390415301
4,-0.0894166652939608,-0.0729873890261079,-0.576241409244788,-0.101909605782989,-0.0729873890261084,0.0306297686787706,0.112470340813505,0.76548801639109,-0.576241409244776,0.112470340813504,-0.110362827473606,0.0570437923536057,-0.101909605782981,0.765488016391088,0.0570437923535988,0.0229217529802519
