"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.362385126179468,-0.0635311116035469,-0.36791135291927,0.0379609383667229,-0.0635311116035457,0.0704973417856909,-0.0371106209557054,-0.00668244113499216,-0.367911352919275,-0.0371106209557051,-0.361554475499461,0.0641622670575223,0.0379609383667291,-0.00668244113499301,0.0641622670575165,0.0702397605924989
3.1,0.117988537892692,0.00510178836969023,0.235649737488274,-0.163156292120957,0.00510178836969626,0.364447356857947,0.163612280767775,-0.0565853202945609,0.235649737488275,0.163612280767774,0.119231959663959,-0.00482139078867321,-0.163156292120956,-0.0565853202945596,-0.00482139078866416,0.364487746484253
3.2,0.0437461880341794,-0.175166536904767,0.269186885987842,-0.10842676073771,-0.17516653690476,0.520021936722791,0.108304559117704,-0.0129827925759053,0.269186885987842,0.108304559117705,0.0449453026806339,0.175134174766517,-0.108426760737711,-0.0129827925759056,0.175134174766518,0.52002232000874
3.3,-0.128024269141584,-0.333448958151916,0.203545696117442,-0.0583515932045487,-0.333448958151919,0.644444903538224,0.0580528490510047,0.0118651131960591,0.203545696117439,0.0580528490510046,-0.127205500820887,0.333575529504138,-0.0583515932045492,0.0118651131960591,0.333575529504133,0.644183605364894
3.4,-0.276123603011446,-0.445581386088453,0.187069408297629,-0.0257203358158821,-0.445581386088452,0.728836608283339,0.0252363283639454,0.0292884313494675,0.187069408297627,0.0252363283639448,-0.275939453187677,0.445932128978169,-0.0257203358158826,0.0292884313494674,0.445932128978169,0.728472350027666
3.5,-0.44682929921069,-0.482271611368895,0.23409028958163,0.0422801785096115,-0.482271611368901,0.773420322975901,-0.0432590500216844,0.0523508626686815,0.234090289581629,-0.0432590500216841,-0.447946890071894,0.482526950734756,0.0422801785096138,0.0523508626686808,0.482526950734759,0.773538707452083
3.6,-0.187566761366685,-0.511556858938755,-0.143046621936505,0.0862325511270681,-0.511556858938757,0.632048724001994,-0.0859538874394733,-0.0645089377893864,-0.143046621936506,-0.0859538874394736,-0.183175463585407,0.510116012832473,0.0862325511270675,-0.0645089377893866,0.510116012832475,0.631210894954933
3.7,-0.341852443245739,-0.667026066261532,-0.0413508853569857,-0.00401607546224959,-0.66702606626153,0.582982745245933,0.00455367487162854,-0.0188287303385412,-0.0413508853569864,0.00455367487162873,-0.341194635748014,0.667261814052198,-0.00401607546224924,-0.018828730338541,0.667261814052195,0.583024514057709
3.8,-0.512403065392187,-0.673471357709332,-0.00989403842175868,-0.0077189789347237,-0.67347135770934,0.49271066157329,0.00797822690771826,-0.00628433300580166,-0.00989403842174279,0.00797822690772147,-0.511655830198072,0.674211187915236,-0.00771897893472188,-0.00628433300580159,0.674211187915235,0.49256908782073
3.9,-0.605619117688789,-0.559701113739254,-0.0014671765657377,-0.0239955234145822,-0.559701113739252,0.339480517540452,0.0242956669268119,0.00782269286338468,-0.0014671765657422,0.0242956669268152,-0.604067928987219,0.559210403758575,-0.0239955234146027,0.00782269286339786,0.559210403758574,0.340364199372555
4,-0.472920464111406,-0.421858179052812,-0.0588688717686142,0.0334491083983835,-0.421858179052811,0.114246717127594,-0.0331152581757074,-0.0267931170879439,-0.0588688717686143,-0.0331152581757077,-0.470629503137345,0.421951858131682,0.0334491083983888,-0.0267931170879449,0.421951858131683,0.115156370643398
4.1,-0.358054165450181,-0.348585927012913,0.101279214588769,0.000270265389367481,-0.348585927012917,-0.168274684998821,-0.0010838120132757,0.0503120496541908,0.101279214588768,-0.00108381201327454,-0.354641160500414,0.347691667297351,0.000270265389366178,0.0503120496541902,0.347691667297351,-0.168593205614248
4.2,-0.134463578238898,-0.303062798208295,-0.0536059011248043,0.0567717894599633,-0.303062798208292,-0.498355984121043,-0.0573869122052574,-0.0112716627368555,-0.0536059011248045,-0.0573869122052569,-0.130930428769278,0.29907312304606,0.0567717894599634,-0.0112716627368558,0.299073123046059,-0.496120483263706
4.3,-0.303000182751505,-0.200934488599424,0.111070172385817,-0.0881587753770009,-0.200934488599422,-0.671140476621178,0.0926742225229503,0.0257908236466516,0.111070172385818,0.0926742225229468,-0.307354880647712,0.205479592711444,-0.0881587753770007,0.0257908236466489,0.20547959271144,-0.673398676816171
4.4,-0.36205032699533,-0.0480379100992821,0.0845667951456008,0.0649375271591769,-0.0480379100992816,-0.818785131962807,-0.0662596527188965,0.0219016427502176,0.0845667951456004,-0.0662596527188973,-0.359730794698775,0.0455535270233988,0.0649375271591763,0.0219016427502175,0.0455535270233909,-0.818226109370627
4.5,-0.529063340267859,0.0725563017947857,-0.0706371616461396,0.0343111213083956,0.0725563017947843,-0.713190408006778,-0.0340237482968063,0.0218566338507872,-0.0706371616461401,-0.0340237482968068,-0.531947780984007,-0.072268838864272,0.0343111213083972,0.0218566338507881,-0.0722688388642773,-0.713842187325278
4.6,-0.618391969801776,0.111896698315897,0.195746946438829,-0.0479716577689906,0.111896698315897,-0.344317493849378,0.0484018236193969,0.0631046223766546,0.195746946438829,0.0484018236193957,-0.613819482106056,-0.112149962691837,-0.0479716577689884,0.0631046223766553,-0.112149962691838,-0.342936782098129
4.7,-0.565941929803541,0.00180869471921448,0.105866443432205,-0.111035033482351,0.00180869471921314,0.0729746054411558,0.111244583929837,0.0234733172534512,0.105866443432206,0.111244583929837,-0.562541994959369,-0.00112628674866142,-0.111035033482352,0.0234733172534509,-0.00112628674866491,0.0744164250233963
4.8,-0.533084171442382,-0.135723702560132,-0.0708440122761466,-0.106052410425608,-0.135723702560128,0.421350681002709,0.106293458653079,-0.0386471787604982,-0.0708440122761526,0.10629345865308,-0.530531799446543,0.13679884021713,-0.106052410425615,-0.0386471787605104,0.136798840217089,0.422526501373961
4.9,-0.511267983764831,-0.225276268003266,-0.161350524260172,-0.0490878369246229,-0.225276268003264,0.639807246480505,0.0491034249442911,-0.0758416651856079,-0.161350524260171,0.0491034249442885,-0.508885185204185,0.226342682781998,-0.0490878369246177,-0.0758416651856129,0.226342682781971,0.640587333171637
5,-0.51398683045303,-0.278363515069359,-0.183127128653869,0.0233658808105498,-0.278363515069357,0.740456853976165,-0.0236244675366729,-0.0599541821497937,-0.183127128653869,-0.0236244675366703,-0.512075290766918,0.279549284628842,0.0233658808105464,-0.0599541821497901,0.279549284628846,0.740735736649147
5.1,-0.553689401212513,-0.323731159900088,-0.153676535610305,0.0735088738069903,-0.32373115990009,0.743717686510481,-0.0738385281037294,-0.0146606736769019,-0.153676535610308,-0.073838528103726,-0.55246196283216,0.325011273802282,0.0735088738069871,-0.0146606736768966,0.325011273802278,0.743668961409823
5.2,-0.612837166254713,-0.372248211143922,-0.0921777548357482,0.0825552510505263,-0.372248211143925,0.667732086202278,-0.0827448826845916,0.0205515779827228,-0.0921777548357476,-0.0827448826845929,-0.612057862716735,0.373454723881039,0.0825552510505244,0.0205515779827234,0.373454723881039,0.667716121800645
5.3,-0.660605595462171,-0.410390140706526,-0.0265892741701759,0.0639541292198166,-0.410390140706529,0.540426094313313,-0.0639638486481817,0.0323938509890587,-0.0265892741701753,-0.0639638486481811,-0.659984913339594,0.411428839122335,0.0639541292198137,0.0323938509890542,0.411428839122334,0.540659525629054
5.4,-0.680730212721139,-0.420862673350262,0.0268909054303732,0.0376999672597124,-0.420862673350264,0.392618028142108,-0.0376040178301181,0.0285748914470606,0.0268909054303724,-0.0376040178301162,-0.680084215513976,0.421719882949221,0.0376999672597133,0.0285748914470585,0.42171988294922,0.393143820149069
5.5,-0.671283715704353,-0.397793202223561,0.0683744267117108,0.0130790376784326,-0.397793202223559,0.243473401794472,-0.0129588703152252,0.0179887143586752,0.0683744267117105,-0.0129588703152247,-0.670455516700788,0.398468285867586,0.0130790376784359,0.0179887143586771,0.398468285867588,0.244312604152015
5.6,-0.634890874762466,-0.343092445382992,0.104327816353402,-0.00829234331070936,-0.343092445382993,0.0990901446912715,0.00837948808379403,0.00563677095766742,0.104327816353402,0.00837948808379496,-0.633767805689061,0.343567275303326,-0.00829234331070835,0.00563677095766762,0.343567275303326,0.100280715648542
5.7,-0.574857561383659,-0.262324870806664,0.140255621367627,-0.0264598687468325,-0.262324870806671,-0.0414808301867463,0.026469557108788,-0.00549588155896524,0.140255621367622,0.0264695571087865,-0.57342206603266,0.262558865755134,-0.0264598687468302,-0.00549588155897064,0.262558865755136,-0.0399213782002099
5.8,-0.496976317569902,-0.164367926116416,0.17556326276714,-0.0384502064853919,-0.164367926116414,-0.181279208090134,0.0383407381410497,-0.0122097647218705,0.175563262767133,0.0383407381410303,-0.495293493896455,0.164316389148678,-0.0384502064853749,-0.0122097647218729,0.164316389148697,-0.179390925137709
5.9,-0.414365616732243,-0.060754333996265,0.196357095255287,-0.0357127368166022,-0.0607543339962326,-0.322460037029713,0.0354737112383711,-0.0110195916150362,0.196357095255295,0.0354737112383431,-0.41250215252921,0.0603933577882182,-0.0357127368165786,-0.011019591615022,0.0603933577882524,-0.320367729026699
6,-0.347159065606505,0.0372418740777222,0.17474722039976,-0.0113920983640866,0.0372418740777683,-0.463293806748241,0.0111035261943851,-0.00337895637319953,0.174747220399772,0.0111035261943828,-0.34514237554323,-0.0379136013149881,-0.0113920983640821,-0.00337895637318657,-0.0379136013149733,-0.46122944295026
6.1,-0.299041288300648,0.123160531660216,0.0899321530689716,0.0236892457845518,0.123160531660153,-0.592793540353734,-0.0238376069153611,0.000752794386453827,0.0899321530689686,-0.0238376069153697,-0.296769208905572,-0.124144921678795,0.0236892457845553,0.000752794386451548,-0.124144921678774,-0.591094396663882
6.2,-0.23373271031147,0.200099389830153,-0.0566863051075853,0.0327462719092687,0.20009938983029,-0.681794802906173,-0.0325149091335867,-0.0028985224382333,-0.0566863051075777,-0.0325149091335998,-0.230758273510681,-0.201086189061499,0.0327462719092785,-0.00289852243822823,-0.201086189061146,-0.680807618035564
6.3,-0.150786489216782,0.22576760590467,-0.225579287194037,-0.0299932011303261,0.225767605904668,-0.677976134240669,0.0305825636570529,0.0132498212244627,-0.225579287194038,0.0305825636570539,-0.147189104197052,-0.226361943480418,-0.029993201130325,0.0132498212244614,-0.226361943480313,-0.677835005783862
6.4,-0.158386172876597,0.248745952058645,-0.300097461101856,-0.114954727293047,0.248745952058589,-0.523699605479578,0.115398165824866,0.067685133498783,-0.300097461101859,0.115398165824869,-0.155198873021659,-0.248485964646978,-0.11495472729305,0.0676851334987787,-0.248485964646972,-0.524320459304102
6.5,-0.272664187208256,0.324322403533169,-0.273495835004697,-0.122340236701268,0.324322403533167,-0.270469511979097,0.122418782364723,0.0647251104247592,-0.2734958350047,0.122418782364721,-0.270575415812374,-0.323562988785783,-0.122340236701268,0.0647251104247563,-0.323562988785781,-0.269869796223913
