"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.0792018928778584,0.0949500359056983,-0.511591541056995,0.194693171230013,0.0949500359057002,0.0376900838005603,-0.197033308570797,0.709090786759602,-0.511591541056995,-0.197033308570799,0.0786068292871096,-0.090936743366062,0.194693171230014,0.709090786759602,-0.0909367433660631,0.0358729252063172
3.1,-0.112314457690366,0.304106708283498,-0.467352467593504,0.183153807491377,0.3041067082835,0.146715194257361,-0.183707653113102,0.299760388760417,-0.467352467593507,-0.183707653113102,-0.111675595349933,-0.302381072374536,0.183153807491375,0.299760388760415,-0.302381072374532,0.145308486026132
3.2,-0.262717240576802,0.404212666779838,-0.409691647494286,0.0115239973478685,0.40421266677983,0.0756395674105531,-0.011607291298915,-0.209592538162778,-0.409691647494286,-0.0116072912989157,-0.261508415466816,-0.404222058950168,0.0115239973478695,-0.209592538162781,-0.404222058950174,0.0751316688410332
3.3,-0.361146191897592,0.314281960701693,-0.213032027621985,-0.194452481372262,0.314281960701691,-0.0790981106641843,0.194955108239683,-0.691170187775297,-0.213032027621988,0.194955108239688,-0.359889414013884,-0.314330848415595,-0.194452481372265,-0.691170187775303,-0.314330848415593,-0.0806824335289576
3.4,0.0332326372856755,0.0685126641125451,0.506457864905923,-0.132670419574074,0.0685126641125371,0.0330423177884853,0.135219735994343,-0.802599169425804,0.506457864905924,0.135219735994363,0.0341707203983776,-0.0652299934967881,-0.132670419574069,-0.802599169425812,-0.0652299934967763,0.0307465580900577
3.5,-0.177551122190992,0.289918352436708,0.472569760664187,-0.200885029067013,0.289918352436713,0.169260162798499,0.20203522381623,-0.364075972424963,0.472569760664188,0.20203522381623,-0.17764331611586,-0.287489393780281,-0.200885029067014,-0.364075972424958,-0.287489393780277,0.166664722792117
3.6,-0.319709515967636,0.452251146768707,0.387159137335327,-0.0899798197920802,0.452251146768707,0.19221970794361,0.0896851377621538,0.123574950194655,0.387159137335329,0.0896851377621522,-0.320131235087984,-0.451743489821496,-0.0899798197920802,0.123574950194655,-0.451743489821495,0.192064797291932
3.7,-0.422079795504326,0.450469897874532,0.273324661337491,0.118449300276354,0.450469897874533,0.0212070170569886,-0.119841109635197,0.569033468445957,0.273324661337493,-0.119841109635195,-0.422363622867311,-0.451513729745303,0.118449300276354,0.56903346844596,-0.451513729745307,0.0220083929220371
3.8,-0.313199869453688,0.216012500225591,-0.150064460184307,0.202414054938558,0.216012500225597,-0.0147957824353231,-0.203256897400142,0.810464401530908,-0.150064460184309,-0.203256897400146,-0.310487208602996,-0.215534082743699,0.202414054938563,0.810464401530912,-0.215534082743694,-0.0171776932846552
3.9,-0.226651828729418,0.203122242263541,-0.492420762156435,0.186709470867381,0.203122242263527,0.17095562617618,-0.188164146898898,0.471107285949587,-0.492420762156435,-0.188164146898902,-0.224393697872676,-0.199536937345022,0.186709470867378,0.471107285949588,-0.199536937345019,0.167530909320635
