"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.104904494034027,0.338086321691391,-0.189101296455662,-0.205882369869565,0.338086321691391,-0.112785756345727,-0.205284699168216,-0.268319577799339,-0.189101296455663,-0.205284699168216,0.108575330453118,0.345775671079363,-0.205882369869567,-0.26831957779934,0.345775671079364,-0.105728962630406
3.1,0.194044647741659,0.232484187005491,-0.387738043972397,-0.158301107574455,0.232484187005492,-0.113879758105038,-0.153419914238876,-0.426013865828455,-0.387738043972398,-0.153419914238877,0.204686366542025,0.243338680652291,-0.158301107574464,-0.426013865828453,0.243338680652297,-0.108328542028184
3.2,0.231670799464543,0.124438619121295,-0.534918894511431,-0.105744517178047,0.1244386191213,-0.0918688546374323,-0.0965262130589264,-0.587201864517904,-0.534918894511433,-0.0965262130589222,0.249146636275227,0.137567778151183,-0.105744517178057,-0.587201864517904,0.137567778151188,-0.0885903048605605
3.3,0.195817027991192,0.0434810432620165,-0.605436504797282,-0.0725980876894005,0.043481043262021,-0.0598173491676794,-0.0605015938145926,-0.730082318713576,-0.605436504797281,-0.0605015938145905,0.218163246102439,0.0575472652084478,-0.0725980876894042,-0.730082318713575,0.0575472652084487,-0.0583716937138743
3.4,0.0986816510292145,0.00358204154690644,-0.608290011354329,-0.0679589374423395,0.00358204154690714,-0.0285295545404664,-0.0552216189093928,-0.834386163310383,-0.608290011354327,-0.0552216189093939,0.123174965584088,0.0174052574931335,-0.0679589374423399,-0.83438616331038,0.0174052574931327,-0.0275525492667118
3.5,-0.029960978517609,0.00185715744029687,-0.570453282540573,-0.0842912004530495,0.00185715744029716,0.000627730474528246,-0.0729300328361467,-0.889723243320252,-0.570453282540573,-0.0729300328361455,-0.00564176062067045,0.0147502868055485,-0.0842912004530504,-0.88972324332025,0.0147502868055505,0.00257144179876845
3.6,-0.163532881832073,0.0281716155430882,-0.515991234667588,-0.107887225734462,0.0281716155430897,0.0320915548533508,-0.0992256457096696,-0.894815549772819,-0.515991234667589,-0.0992256457096654,-0.140849676827206,0.0398974230379303,-0.107887225734463,-0.89481554977282,0.0398974230379342,0.0359114816561476
3.7,-0.285807109497916,0.073092791388984,-0.458818418963351,-0.12702573626033,0.0730927913889854,0.0710709590420353,-0.121693187202552,-0.85337904158251,-0.458818418963352,-0.121693187202549,-0.265443411998385,0.0836552842542324,-0.12702573626033,-0.85337904158251,0.0836552842542338,0.0769718066478804
3.8,-0.389013717764826,0.130112637552921,-0.404856603066198,-0.134466082286429,0.130112637552921,0.120302147105974,-0.132559299383217,-0.771721391844596,-0.404856603066197,-0.132559299383219,-0.371109351635613,0.13959413269036,-0.13446608228643,-0.771721391844594,0.139594132690359,0.12784050195657
3.9,-0.470328416345952,0.194457401844217,-0.355887252378259,-0.127087244780648,0.194457401844216,0.178550453092171,-0.128341462815477,-0.658101577225002,-0.355887252378259,-0.12834146281548,-0.454685039817365,0.202917175240547,-0.127087244780648,-0.658101577225,0.202917175240546,0.186785679185662
4,-0.529463326671048,0.261860292887204,-0.312143658293538,-0.104884943580703,0.261860292887203,0.24085825419223,-0.108826006519857,-0.522493848086416,-0.312143658293539,-0.108826006519858,-0.515692399097489,0.26925245294761,-0.104884943580702,-0.522493848086415,0.269252452947609,0.248533494554023
4.1,-0.567458129574393,0.328198412012106,-0.273545661268501,-0.0700689193094422,0.328198412012107,0.299987155456421,-0.0761435347357554,-0.376061434968619,-0.273545661268501,-0.0761435347357518,-0.555092671261088,0.334335961015822,-0.0700689193094402,-0.376061434968618,0.334335961015821,0.305724041979446
4.2,-0.58623228260024,0.389260025137753,-0.240118976615035,-0.0263694018934368,0.389260025137755,0.347834296928501,-0.0340451353255079,-0.230307912094718,-0.240118976615034,-0.0340451353255028,-0.574824589526223,0.393810365898119,-0.0263694018934336,-0.230307912094718,0.393810365898117,0.350331364186755
4.3,-0.588560574914742,0.440487470284936,-0.212010976555894,0.0214819166762849,0.440487470284937,0.376219089594754,0.01265619223846,-0.096047419634863,-0.212010976555892,0.0126561922384621,-0.57777295945878,0.442979081209466,0.0214819166762872,-0.0960474196348627,0.442979081209464,0.37443430694176
