"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.653116319375629,0.379792037590959,0.379792037590957,0.305256043791856
3.1,-0.197256817295439,0.246675729532837,0.246675729532842,0.537373976078068
3.2,0.429561042672272,0.0447930389177037,0.044793038917703,0.753181190048949
3.3,0.65920828107752,0.03436348229915,0.0343634822991545,0.841034182377447
3.4,0.541550753790474,0.169046762611618,0.169046762611619,0.827908087477042
3.5,0.358640034988686,0.316295261832433,0.316295261832432,0.775837971307522
3.6,0.201813038512922,0.435699938550984,0.435699938550983,0.70230966003757
3.7,0.0775055747684526,0.523237687698565,0.523237687698565,0.608222885950262
3.8,-0.0233196179162348,0.581271411054741,0.581271411054741,0.49264706305804
3.9,-0.108937409981091,0.612098555986565,0.612098555986562,0.355678551269598
4,-0.18476868392577,0.617189457445969,0.617189457445966,0.198774609474274
4.1,-0.253981534562704,0.597409054846858,0.597409054846854,0.0250051181797992
4.2,-0.318383864344375,0.553316903217353,0.553316903217352,-0.160303752699553
4.3,-0.379246668621895,0.485442170946931,0.485442170946931,-0.348469609060942
4.4,-0.438113372970793,0.394631421271695,0.394631421271692,-0.526032166274617
4.5,-0.497664123520066,0.282774204807765,0.282774204807757,-0.67346170594493
4.6,-0.562435310190642,0.154653446272437,0.154653446272431,-0.764775043074966
4.7,-0.638414339039961,0.0220072206059026,0.0220072206059022,-0.768847840783332
4.8,-0.729422627824952,-0.0914151991535578,-0.0914151991535595,-0.656275531611722
4.9,-0.829569334207855,-0.153007252026492,-0.153007252026504,-0.425320602922712
5,-0.919093490898659,-0.141854156198136,-0.141854156198144,-0.125245095290933
5.1,-0.974683415050831,-0.0677836974682575,-0.0677836974682568,0.176602212022635
5.2,-0.985826429520537,0.0373118743987224,0.0373118743987221,0.430326664488997
5.3,-0.957283720365496,0.14124010104369,0.141240101043685,0.609403074594616
5.4,-0.899959057752903,0.222864451552631,0.222864451552626,0.707582370894292
5.5,-0.823441457778937,0.272464578182246,0.272464578182244,0.732359379573294
5.6,-0.733606600475161,0.288223249302483,0.288223249302482,0.697834284045568
5.7,-0.632657806000583,0.272720782589235,0.272720782589233,0.619567917302531
5.8,-0.519700548315855,0.230620883406281,0.230620883406279,0.511719753182827
5.9,-0.391630880067678,0.167753090081036,0.167753090081035,0.385523270069902
6,-0.245359113707673,0.0916887318251567,0.091688731825157,0.248130840407567
6.1,-0.0837670468727108,0.0141124833905399,0.014112483390539,0.101554456977002
6.2,0.0716607900974586,-0.0455104667455299,-0.0455104667455319,-0.0568097618684523
6.3,0.167771362863036,-0.0613161192944627,-0.0613161192944622,-0.228009569681473
6.4,0.142920272762244,-0.0231357481441683,-0.0231357481441674,-0.399552164241912
6.5,0.00529866218306752,0.0339063041320047,0.0339063041320043,-0.544561650715862
