"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.659400362674105,0.157780029868523,0.157780029868523,-0.197022388618309
3.1,-0.687846193736226,0.31037318004358,0.310373180043617,0.0294881253804893
3.2,-0.603202856212187,0.404239770670619,0.404239770670636,0.254077422765477
3.3,-0.311663745627546,0.381986422030643,0.38198642203067,0.466105127816597
3.4,0.0663869026394096,0.341968543502706,0.341968543502779,0.6512746739933
3.5,0.225801634255919,0.345920913751069,0.34592091375114,0.74124164510442
3.6,0.209261236644279,0.417670398136752,0.417670398136743,0.741535253494584
3.7,0.154886558906129,0.470097774397518,0.470097774397521,0.691836055311687
3.8,0.0753324383325878,0.512230293904306,0.51223029390431,0.593040623187264
3.9,-0.0310359874239613,0.536754686747815,0.536754686747817,0.447135472653613
4,-0.131144409542391,0.534965198652345,0.534965198652348,0.260561836549924
4.1,-0.218769463909444,0.499896402218895,0.499896402218902,0.0427232593659662
4.2,-0.302266517319026,0.427783351180672,0.427783351180679,-0.193093366084675
4.3,-0.390773682244999,0.319173778465386,0.319173778465387,-0.42561035653099
4.4,-0.492166097849419,0.181198286107172,0.181198286107164,-0.617986771946346
4.5,-0.61140239432385,0.0334129252820859,0.0334129252820775,-0.711165470574956
4.6,-0.744565399328031,-0.0837505911581994,-0.0837505911581998,-0.63743619533116
4.7,-0.869297555124191,-0.114518635440279,-0.114518635440278,-0.380383388939774
4.8,-0.947353028705528,-0.0323467680977192,-0.0323467680977201,-0.0335944445112427
4.9,-0.955290149499818,0.11827550587377,0.118275505873769,0.264689460134685
5,-0.906421313152408,0.26327834959806,0.26327834959806,0.453335084704459
5.1,-0.828796014085239,0.361332173110462,0.36133217311046,0.552090202343646
5.2,-0.739871710501461,0.406652310586504,0.406652310586501,0.594941763705325
5.3,-0.644325037028214,0.406397672331225,0.406397672331223,0.597526607440715
5.4,-0.5408579204232,0.368454194157409,0.368454194157408,0.56334475637264
5.5,-0.427601177398971,0.300691376703666,0.300691376703665,0.494036091935372
5.6,-0.306502206435869,0.215432740219545,0.215432740219546,0.388966775774814
5.7,-0.190161259315108,0.134471695244592,0.134471695244592,0.241572930376775
5.8,-0.109677318510125,0.0874624375377242,0.0874624375377199,0.0458166165641672
5.9,-0.102114598689653,0.0894883050857232,0.0894883050857222,-0.180704554535714
6,-0.163139612721852,0.110032190719625,0.110032190719628,-0.389367051797408
6.1,-0.241500753861675,0.0993827232121603,0.0993827232121596,-0.541847689939579
6.2,-0.29944598319768,0.0406445112551087,0.0406445112551084,-0.635503265982651
6.3,-0.333496375818583,-0.0563883382289282,-0.0563883382289287,-0.6808634088019
6.4,-0.355522660240487,-0.177683150226773,-0.177683150226777,-0.680572118085269
6.5,-0.380990716166882,-0.307859589980424,-0.307859589980424,-0.626046313412979
