"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.228952322837611,-0.394161336513978,-0.415055517002511,-0.0190223868272609,-0.394161336513975,0.0977156372754957,0.0168775509953408,0.062463012270525,-0.415055517002512,0.0168775509953451,-0.232437405450702,0.393167141794739,-0.0190223868272566,0.0624630122705242,0.393167141794733,0.0986290719619327
3.1,-0.301230621582744,-0.428415734999905,-0.315155370511335,0.143561309773361,-0.428415734999896,-0.0382194625505194,-0.146297314919013,-0.270663168593185,-0.315155370511339,-0.146297314919001,-0.304651188715518,0.428190268508435,0.143561309773372,-0.270663168593191,0.428190268508432,-0.0360160002873862
3.2,-0.203628030639661,-0.322772626947704,-0.00274718429855124,0.235546539482266,-0.322772626947696,-0.145888213657211,-0.236018408365319,-0.587030231236054,-0.00274718429855178,-0.236018408365325,-0.204159386894402,0.325046448364311,0.23554653948226,-0.587030231236052,0.325046448364305,-0.144324761018305
3.3,0.118403414268951,-0.045660634304503,0.545924082723986,0.112787567517025,-0.0456606343045035,-0.0357712809274423,-0.108624217937356,-0.849618251066434,0.545924082723987,-0.10862421793736,0.124386238007554,0.0502595132108623,0.112787567517027,-0.849618251066431,0.0502595132108585,-0.0374246055057078
3.4,-0.0229723637672243,-0.0727211076502386,0.578022891831473,0.141240493841485,-0.0727211076502432,0.0886374002300648,-0.139411188478106,-0.781121514839445,0.578022891831473,-0.139411188478107,-0.0176115264719463,0.076184889372989,0.141240493841488,-0.781121514839442,0.0761848893729868,0.0885211913532485
3.5,-0.221942513088354,-0.235462269095252,0.473149208020903,0.165093211904035,-0.235462269095267,0.19620476364284,-0.165836503412336,-0.510801841550922,0.473149208020898,-0.165836503412329,-0.218241864491872,0.238333846291742,0.16509321190404,-0.510801841550925,0.238333846291758,0.196868379485463
3.6,-0.337261179815392,-0.386641568511925,0.387165066747259,0.113238984016397,-0.386641568511942,0.25361669954695,-0.115427344676186,-0.20342293090049,0.387165066747259,-0.115427344676182,-0.334111791716471,0.38924269463336,0.113238984016402,-0.20342293090049,0.389242694633364,0.253165647854518
3.7,-0.402233592814139,-0.490563969739948,0.306549848964617,0.0139699044325286,-0.490563969739945,0.21619676183023,-0.0170464000606907,0.0915729952931585,0.306549848964615,-0.0170464000606867,-0.398946101916857,0.492556347886691,0.0139699044325284,0.0915729952931567,0.492556347886708,0.213390712971814
3.8,-0.436875785494833,-0.529961317653223,0.20702649271471,-0.113197116282776,-0.529961317653276,0.0845035487688502,0.109866251788108,0.361036727846273,0.207026492714706,0.109866251788116,-0.433242080690139,0.530261031050209,-0.113197116282769,0.361036727846269,0.530261031050276,0.0787678410554253
3.9,-0.419305885036507,-0.475368735466169,0.0351827089382353,-0.232495551214788,-0.475368735466122,-0.0818032560309994,0.231182911094787,0.584128610683118,0.0351827089382325,0.23118291109479,-0.416509510170056,0.471302971016054,-0.232495551214799,0.584128610683127,0.471302971016077,-0.0886038693050089
4,-0.257137846831292,-0.267309918197513,-0.312237512464389,-0.216223022734036,-0.267309918197513,-0.105530885998514,0.222917406834373,0.742104830184576,-0.312237512464391,0.222917406834375,-0.260865753226673,0.255889752511869,-0.216223022734038,0.742104830184577,0.255889752511868,-0.105018146477118
4.1,-0.197534584022036,-0.0721167372448453,-0.550341384204964,-0.106280767824052,-0.072116737244863,0.116585724596828,0.11494417994382,0.739398761341734,-0.550341384204961,0.114944179943822,-0.208123161617141,0.0625729120870861,-0.106280767824054,0.73939876134173,0.0625729120871156,0.121828187061959
4.2,-0.409807614039022,-0.190364850575905,-0.442579988868374,-0.123853514453612,-0.190364850576009,0.286149730042262,0.124652357029725,0.409996087829926,-0.442579988868369,0.124652357029727,-0.416956398302201,0.186730850518865,-0.123853514453652,0.409996087829955,0.186730850518846,0.286371858210745
4.3,-0.535589461568534,-0.353736088065649,-0.329213322495481,-0.0839311278855412,-0.353736088065646,0.344089073057768,0.081121501295481,0.0489584122624229,-0.329213322495482,0.0811215012954799,-0.539738567916604,0.352357288670791,-0.0839311278855415,0.0489584122624234,0.352357288670771,0.344638660045253
4.4,-0.577668236474403,-0.454340576226434,-0.238634038017246,-0.000190944906239137,-0.454340576226493,0.277046561088844,-0.00348976012542519,-0.217139202538419,-0.238634038017241,-0.00348976012543571,-0.580445818028507,0.454423000169011,-0.000190944906242163,-0.217139202538419,0.454423000169056,0.28027431238523
4.5,-0.580618930370509,-0.480181790625319,-0.151695859203395,0.0930011531782611,-0.480181790625328,0.119240003529238,-0.0965098941836137,-0.405562006946428,-0.151695859203398,-0.0965098941836025,-0.58260215177931,0.481873066513201,0.0930011531782528,-0.405562006946417,0.481873066513202,0.124469352048412
4.6,-0.561273486712,-0.415858586153348,-0.0453431600557603,0.17889480366193,-0.41585858615335,-0.0540999488831432,-0.181395904248888,-0.548464381927753,-0.0453431600557616,-0.181395904248887,-0.56226014464769,0.419584191651601,0.178894803661936,-0.548464381927751,0.419584191651625,-0.0489877571291295
4.7,-0.525366242036208,-0.258745002019188,0.109381734304445,0.22719809003055,-0.258745002019092,-0.121225987971168,-0.227455109734504,-0.644704070305196,0.109381734304447,-0.227455109734503,-0.524096305173249,0.264295911798371,0.227198090030549,-0.644704070305203,0.264295911798296,-0.119225049657501
4.8,-0.501778568894287,-0.0683480037606395,0.297836227561269,0.200582494732948,-0.0683480037606362,0.0334062686569455,-0.19872119138221,-0.602690067805504,0.297836227561269,-0.198721191382215,-0.497220256508025,0.073527979483517,0.200582494732951,-0.602690067805528,0.0735279794835201,0.0321699707954342
4.9,-0.540593649213924,-0.044631774714704,0.396637544290517,0.126690173935884,-0.0446317747147065,0.267543092236247,-0.125544771141458,-0.333908871204584,0.396637544290517,-0.12554477114146,-0.534989690257472,0.0479263500804581,0.126690173935888,-0.333908871204587,0.0479263500804614,0.266248440789656
5,-0.586826069415158,-0.174647700847006,0.370683351565383,0.0382243193370814,-0.174647700847002,0.335564157053285,-0.0378740805963219,0.0147338947438769,0.370683351565385,-0.0378740805963258,-0.581890318911321,0.177072510105344,0.0382243193370878,0.0147338947438727,0.177072510105349,0.332906608224759
