"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.221095280707808,0.44411339119828,0.390642923932389,-0.0616140066137886,0.44411339119828,0.13975181116266,-0.0630281590243561,0.188759364164104,0.39064292393239,-0.0630281590243559,-0.221027295582047,0.442847187891431,-0.0616140066137889,0.188759364164104,0.442847187891431,0.140371177804295
3.1,-0.241751884511625,0.478364168786365,0.338531211059804,-0.114436245771565,0.478364168786381,0.126194903683403,-0.116302148927353,0.0949696944927174,0.338531211059802,-0.116302148927361,-0.241804351352491,0.477358829159022,-0.114436245771573,0.0949696944927218,0.477358829159042,0.127016416160307
3.2,-0.254479205782018,0.505009654071529,0.274384645328658,-0.164915049788258,0.505009654071552,0.103038725942793,-0.167215196836444,0.00175778712386867,0.274384645328656,-0.167215196836445,-0.254557965340042,0.504357014362826,-0.164915049788271,0.00175778712387787,0.504357014362853,0.104096332260148
3.3,-0.257283440279408,0.521964328318985,0.196912128718295,-0.210286415248377,0.521964328319004,0.070260497985288,-0.212951010640227,-0.089276686746847,0.196912128718294,-0.212951010640222,-0.257235693783259,0.52178209949893,-0.210286415248388,-0.0892766867468381,0.52178209949895,0.071568580821734
3.4,-0.248219097116912,0.526470823021871,0.104983467745997,-0.24716181566975,0.526470823021877,0.0291850456193078,-0.250056363695584,-0.176948757163855,0.104983467745998,-0.25005636369558,-0.247817037501469,0.526903251574197,-0.247161815669753,-0.176948757163853,0.526903251574204,0.0307225379739734
3.5,-0.226094375820308,0.514992463664141,-0.00167157647839203,-0.271432826360862,0.514992463664133,-0.0171987116544452,-0.274342030706315,-0.260881098610227,-0.00167157647839056,-0.274342030706321,-0.225023738688245,0.516199385118863,-0.271432826360858,-0.260881098610233,0.516199385118859,-0.0155235219385524
3.6,-0.191915627784535,0.483508278463992,-0.121031430983054,-0.278515152517938,0.483508278463979,-0.0640388704114859,-0.281129568852257,-0.341986706121571,-0.121031430983053,-0.281129568852272,-0.189783869344201,0.485634461441834,-0.278515152517932,-0.341986706121581,0.485634461441831,-0.0624420324047522
3.7,-0.151179672920788,0.428804802221745,-0.246524565314905,-0.264475546280543,0.428804802221737,-0.104627667963416,-0.266402587950943,-0.422744167868547,-0.246524565314905,-0.266402587950955,-0.147570302243997,0.431923475969694,-0.264475546280539,-0.422744167868551,0.431923475969698,-0.103495008981482
3.8,-0.11604058777499,0.351319283950405,-0.364916928812171,-0.228604134492151,0.351319283950403,-0.131046602638173,-0.229442100577382,-0.506506881093453,-0.364916928812172,-0.229442100577382,-0.11064165313947,0.35535792749404,-0.22860413449215,-0.50650688109345,0.35535792749405,-0.130910815083196
3.9,-0.104252259480298,0.25869524708139,-0.457385440211575,-0.176786642439903,0.258695247081386,-0.136361654591119,-0.176282929930479,-0.594927782327326,-0.457385440211577,-0.176282929930474,-0.0970442832295979,0.263383005065926,-0.1767866424399,-0.594927782327325,0.26338300506593,-0.137755229763393
