Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
3,0.203839820881329-0.176468086554511i,-0.515320460199474+0.125746536528788i,0.0105578572546438-1.45671579400459E-06i,-0.00102467717810778-2.12351905341301E-06i,-0.515320460199473+0.125746536528788i,0.345726177908734-0.258150860301808i,-0.00102455825540937-2.15517381493006E-06i,-0.000962379815616616-1.48635463972949E-06i,0.0105578572546439-1.45671579400447E-06i,-0.00102455825540937-2.15517381493003E-06i,0.203966007902498-0.17651915764864i,-0.515542660416984+0.1259563852934i,-0.0010246771781078-2.12351905341303E-06i,-0.000962379815616599-1.48635463972945E-06i,-0.515542660416983+0.1259563852934i,0.345774910735797-0.258055486111989i
3.1,0.126362035466196-0.124435075657432i,-0.529389131485413+0.0503653480284169i,0.0081329386475989-4.36586066229049E-05i,0.000212066386463067+3.63186802096978E-07i,-0.52938913148541+0.0503653480284162i,0.13745069126764-0.134084359583837i,0.000262585805485538+4.57578649610443E-07i,-0.000292397563540718-5.64738925551673E-07i,0.00813293864759895-4.36586066229055E-05i,0.000262585805485494+4.57578649610358E-07i,0.126888756726306-0.124749702156848i,-0.530276775380309+0.0509372930674432i,0.000212066386463055+3.63186802096959E-07i,-0.000292397563540722-5.64738925551679E-07i,-0.530276775380305+0.0509372930674418i,0.138276236940839-0.134652789407693i
3.2,0.049579371533143-0.0549573381429385i,-0.477818318263044-0.0200229666194346i,0.00390113280776325-2.95133854385972E-05i,0.000697942133499867+1.00247727909197E-07i,-0.477818318263041-0.0200229666194345i,-0.0739616613101625+0.0788452410630083i,0.000761377350676485+1.05646829598532E-07i,0.000612323556813236+1.16189917578172E-06i,0.00390113280776326-2.95133854385972E-05i,0.000761377350676471+1.05646829598533E-07i,0.0506757620760449-0.0560073410854887i,-0.48023420609049-0.0194981756916089i,0.000697942133499878+1.00247727909201E-07i,0.00061232355681323+1.16189917578171E-06i,-0.480234206090488-0.0194981756916089i,-0.0719292764573849+0.076576516131913i
3.3,-0.0316354941502883+0.0387665846376299i,-0.366559948881907-0.0536489425096788i,-0.000189754734521629+1.36571180152283E-06i,-0.000461450886093465+4.83022787972161E-07i,-0.366559948881907-0.0536489425096785i,-0.323706474969925+0.292335788315182i,-0.000395556106380151+4.35946722870537E-07i,0.00126029834351051+1.5310244826373E-06i,-0.000189754734521609+1.36571180152268E-06i,-0.00039555610638015+4.35946722870548E-07i,-0.0296888908856495+0.0362448125367703i,-0.371231030472031-0.0540772333972855i,-0.000461450886093451+4.83022787972148E-07i,0.0012602983435105+1.5310244826373E-06i,-0.371231030472031-0.0540772333972858i,-0.319151963175069+0.289153860637042i
3.4,-0.122207018453932+0.158155884983487i,-0.22075253092323-0.0415101139532855i,-0.00281542735098205+1.36417343160127E-05i,-0.00209191683220458+1.72013648433222E-06i,-0.22075253092323-0.0415101139532853i,-0.638231365890241+0.34732468885618i,-0.00210115960150824+1.95801989397406E-06i,0.000900594495636965+4.69967287347091E-07i,-0.00281542735098207+1.36417343160128E-05i,-0.00210115960150826+1.95801989397413E-06i,-0.118959712215246+0.153562885205814i,-0.227606049559713-0.0432612264267969i,-0.00209191683220458+1.72013648433222E-06i,0.000900594495636965+4.69967287347081E-07i,-0.227606049559712-0.0432612264267971i,-0.630373866544152+0.348472499945679i
3.5,-0.230095383828008+0.288895919822933i,-0.0780754438316785-0.0112315919187025i,-0.00320333432965989+7.34058190072911E-06i,-0.00313367151791301-2.33255312043533E-06i,-0.0780754438316797-0.0112315919187026i,-0.881925774410628+0.113951519357975i,-0.00324490162891506-2.21424768341898E-06i,0.000234216654904659+3.12812333422781E-07i,-0.00320333432965989+7.34058190072903E-06i,-0.00324490162891506-2.21424768341894E-06i,-0.224735122106933+0.282825884603816i,-0.0855797941055989-0.0129089923186377i,-0.003133671517913-2.33255312043533E-06i,0.00023421665490464+3.12812333422747E-07i,-0.0855797941055967-0.0129089923186373i,-0.877716074299024+0.12476803628173i
3.6,-0.363470818383838+0.396868429613359i,0.0151313513089472+0.000379787343788476i,-0.00253443049077045+2.1177308897399E-06i,-0.00252148510465672-6.9226996763259E-06i,0.0151313513089468+0.000379787343788462i,-0.81785213007721-0.242730752432613i,-0.00265995626796824-7.42174971767115E-06i,0.00175559197321292+5.66166230594042E-06i,-0.00253443049077045+2.11773088973986E-06i,-0.00265995626796824-7.42174971767111E-06i,-0.355220368059103+0.391966844399301i,0.0104938702176871+0.000391956673043446i,-0.00252148510465671-6.92269967632589E-06i,0.00175559197321287+5.66166230594023E-06i,0.0104938702176879+0.000391956673043475i,-0.82711830716415-0.23164805203781i
3.7,-0.515996010508266+0.443050477169233i,0.0209991135714238-0.00259336688943739i,-0.00181808415846874+2.85951348110899E-07i,-0.000896898619211217-3.18066605010024E-06i,0.0209991135714236-0.00259336688943738i,-0.50317248063666-0.366724557305227i,-0.000975333892207516-3.60302579394842E-06i,0.00613978612216647+1.69359421039793E-05i,-0.00181808415846873+2.85951348110905E-07i,-0.000975333892207511-3.60302579394839E-06i,-0.505695357880146+0.442926907230121i,0.0228120800146333-0.00246726630332978i,-0.000896898619211211-3.18066605010023E-06i,0.00613978612216647+1.69359421039793E-05i,0.0228120800146341-0.00246726630332988i,-0.519636069023106-0.369825281454198i
3.8,-0.660402011594475+0.4113429022759i,-0.056300016222341+0.0140546322467297i,-0.00116466904565852-2.68851770366811E-07i,0.000331358224424724+1.13608580169412E-06i,-0.0563000162223409+0.0140546322467297i,-0.194624620648736-0.204142194154356i,0.000377215196652553+1.357652395577E-06i,0.00974705087656918-2.78277477975698E-05i,-0.00116466904565854-2.68851770366818E-07i,0.000377215196652564+1.35765239557704E-06i,-0.651112796366708+0.417754426556204i,-0.0477585630630166+0.0112213321926126i,0.000331358224424741+1.13608580169418E-06i,0.00974705087656917-2.78277477975703E-05i,-0.0477585630630164+0.0112213321926126i,-0.208638344240395-0.218081599928705i
3.9,-0.767335112551585+0.316925599465661i,-0.180242797867657+0.05643290135452i,-0.000342851010895924-1.7215310175301E-07i,0.00100692253221109+3.22847241131133E-06i,-0.180242797867658+0.0564329013545201i,0.0428926161867541+0.04579758743319i,0.00115760477788462+3.82586921535584E-06i,0.00753126689280569-8.647125329915E-05i,-0.000342851010895937-1.7215310175302E-07i,0.00115760477788462+3.82586921535584E-06i,-0.762443781901962+0.328586524036536i,-0.167049067411658+0.0506128096840583i,0.00100692253221108+3.2284724113113E-06i,0.00753126689280567-8.64712532991496E-05i,-0.167049067411658+0.050612809684058i,0.0305599317624188+0.0331745551516278i
4,-0.821768391413774+0.186397994403371i,-0.318433072804133+0.0948763516416037i,0.0010371698084736+5.41521326823373E-07i,0.00121796704466623+4.0884547336647E-06i,-0.318433072804134+0.0948763516416037i,0.258599664636443+0.219544040441842i,0.00140661900101124+4.67805311207061E-06i,-0.001937635294862+3.40897353272962E-05i,0.00103716980847362+5.41521326823376E-07i,0.00140661900101123+4.67805311207061E-06i,-0.823356882734745+0.200387103588401i,-0.302499329791209+0.0891338186739347i,0.00121796704466616+4.08845473366452E-06i,-0.00193763529486185+3.40897353272936E-05i,-0.302499329791208+0.0891338186739333i,0.247275362499242+0.216304455657823i
4.1,-0.815260128108227+0.0409500430538635i,-0.447001229247075+0.0943993493812678i,0.00358096158213265-1.51125791234531E-06i,0.00115665399719812+5.98779464939821E-06i,-0.447001229247075+0.0943993493812673i,0.449657997465795+0.26359667758946i,0.00130293398162818+6.50043519707136E-06i,-0.0164074471774811+0.000255379869169221i,0.00358096158213268-1.51125791234539E-06i,0.00130293398162817+6.50043519707144E-06i,-0.824428581957202+0.053911372890831i,-0.430199964982146+0.0924738724586901i,0.00115665399719816+5.98779464939856E-06i,-0.0164074471774812+0.00025537986916923i,-0.430199964982142+0.0924738724586884i,0.443673241026095+0.269946832457684i
