"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.235012736235369,-0.422291297967126,-0.402919854548283,0.462215239045232,-0.422291297967133,-0.336889984423219,0.462844278603864,-0.267443650266539,-0.402919854548283,0.462844278603859,-0.234880198300545,-0.42176121087907,0.46221523904523,-0.267443650266531,-0.421761210879068,-0.33747196137172
3.1,-0.262155206663756,-0.391858089892984,-0.467256339410409,0.396670892146624,-0.39185808989299,-0.284909940021575,0.39732011619627,-0.14694708313918,-0.467256339410406,0.397320116196263,-0.262488082587586,-0.390999250272214,0.396670892146611,-0.146947083139175,-0.390999250272204,-0.285345025861522
3.2,-0.296150049602775,-0.35648356438419,-0.496255481053455,0.284161934283283,-0.356483564384196,-0.198017257420891,0.284745596728976,-0.0151119431361418,-0.496255481053455,0.284745596728973,-0.297107063339314,-0.355430651572754,0.284161934283273,-0.0151119431361364,-0.355430651572745,-0.197982635966206
3.3,-0.338332891173067,-0.327839577778984,-0.474155031126875,0.131942807343947,-0.327839577778984,-0.0763507730254127,0.132310228762675,0.109447679425596,-0.474155031126876,0.132310228762679,-0.33998979663151,-0.326974193264253,0.131942807343947,0.109447679425597,-0.326974193264252,-0.0754446904862256
3.4,-0.386291573980659,-0.317248222679632,-0.384320271487109,-0.0469817997276333,-0.317248222679625,0.0641664309957221,-0.0470620451241246,0.21017341847997,-0.384320271487108,-0.0470620451241168,-0.388386027327786,-0.317283316549895,-0.0469817997276337,0.210173418479968,-0.317283316549894,0.0663437410905519
3.5,-0.42872235314246,-0.327978915754711,-0.206815743406242,-0.234417766942245,-0.327978915754709,0.189647997566654,-0.235218957993462,0.268561232375028,-0.206815743406242,-0.235218957993458,-0.430227742752774,-0.330130278709619,-0.234417766942248,0.268561232375025,-0.330130278709613,0.193450776255292
3.6,-0.457195336697434,-0.339477356921657,0.0896521500121378,-0.398288803063866,-0.339477356921664,0.256477827401222,-0.399797693062618,0.248414200174087,0.0896521500121346,-0.399797693062613,-0.454717685736751,-0.346042349294745,-0.398288803063857,0.248414200174079,-0.346042349294748,0.261933479198416
3.7,-0.394539784854505,-0.266218805399035,0.474452688342749,-0.231401581765569,-0.266218805399047,0.218677700149183,-0.229866087864628,-0.108822915745092,0.474452688342742,-0.229866087864616,-0.372388817541246,-0.274527936509124,-0.231401581765567,-0.108822915745086,-0.274527936509125,0.212771762798981
3.8,0.00953988734343964,-0.60766201077485,0.0692839852812844,0.00986475378092882,-0.607662010774854,0.42713692341924,0.0107297621473416,-0.0938662283552634,0.0692839852812919,0.0107297621473337,0.0135465859224301,-0.604935271212967,0.00986475378092072,-0.0938662283552553,-0.604935271212965,0.422862811123639
3.9,-0.123525645498466,-0.283075414645187,0.116728587545048,0.075196645532554,-0.283075414645168,0.234640190092515,0.0748954681399267,0.0219996656250403,0.116728587545059,0.0748954681399224,-0.122867090456965,-0.282249622068185,0.07519664553255,0.0219996656250409,-0.282249622068185,0.234441887250369
4,-0.37804270915596,-0.110863126995746,0.0960307117900935,0.0781350972300348,-0.110863126995745,0.198364188461582,0.0782774278896799,0.14803483823028,0.096030711790093,0.0782774278896791,-0.376091415398066,-0.111709528714835,0.0781350972300362,0.148034838230279,-0.111709528714834,0.198671513843077
4.1,-0.712461932995554,0.0177334934308527,0.083561429341376,0.00703013361457796,0.0177334934308516,0.178834897763599,0.00838618073563446,0.213726533815729,0.0835614293413768,0.0083861807356346,-0.709075556301593,0.0176820986083017,0.00703013361457842,0.213726533815728,0.0176820986083015,0.176054394686636
4.2,-0.752326850759479,-0.0548728022966676,-0.0615043457376269,-0.00712360733532564,-0.0548728022966657,0.213453587960746,-0.00597611483541947,0.296540542264958,-0.0615043457376289,-0.00597611483541849,-0.752824422183007,-0.0532702199807864,-0.00712360733532427,0.296540542264957,-0.0532702199807877,0.211199525609806
4.3,-0.768169125708639,-0.0659051861849301,0.131800153563296,-0.156272193807477,-0.0659051861849291,0.115913069220635,-0.16069926594444,0.162091561232365,0.131800153563299,-0.160699265944436,-0.76762459488175,-0.0615364509391064,-0.156272193807482,0.162091561232357,-0.0615364509391076,0.11186602551123
4.4,-0.780777272661273,-0.0795124587790351,-0.0274227732326757,0.13750177644727,-0.0795124587790668,0.100912685188634,0.138497644912355,-0.237637373699899,-0.0274227732326768,0.138497644912386,-0.776770934702266,-0.0752662980102029,0.13750177644727,-0.237637373699743,-0.0752662980102318,0.0967965253110063
4.5,-0.842853097489544,-0.0768778008328378,-0.0207037558902044,-0.118303174114221,-0.0768778008328353,0.463662906640488,-0.11923380475129,0.148855647318872,-0.020703755890204,-0.11923380475129,-0.841171742832111,-0.0801088923031916,-0.118303174114222,0.148855647318878,-0.0801088923031925,0.470251791642032
