"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.626307290813737,-0.0277394832325873,0.0936417478551676,0.0025688430936755,-0.0277394832325875,-0.203527823574928,-0.00248948055661887,-0.494778282053509,0.0936417478551676,-0.00248948055661911,-0.626573530355971,0.0277000749127393,0.00256884309367551,-0.494778282053511,0.0277000749127395,-0.203090314811048
3.1,-0.615447918768791,-0.0196589584654819,0.163098519247837,0.0120047508763835,-0.0196589584654817,-0.170290330668289,-0.0119399968596675,-0.572699779251531,0.163098519247837,-0.0119399968596674,-0.615855815573035,0.0196059505025973,0.012004750876384,-0.572699779251533,0.0196059505025969,-0.169726489952394
3.2,-0.598171334028274,-0.0114149517595194,0.230627648735522,0.0211102870387907,-0.0114149517595191,-0.136224174751299,-0.0210695951062949,-0.640871792015084,0.230627648735522,-0.0210695951062946,-0.598687822168325,0.0113541550836192,0.021110287038791,-0.640871792015086,0.0113541550836191,-0.135535152547907
3.3,-0.575049042253875,-0.00401534004828346,0.296249956775876,0.0287501741873855,-0.00401534004828354,-0.104626919685499,-0.0287375143871762,-0.699745276221225,0.296249956775876,-0.028737514387176,-0.575637485711638,0.00395433848553269,0.0287501741873851,-0.699745276221224,0.00395433848553302,-0.103818472291481
3.4,-0.546605402159742,0.00184353061615769,0.359839170426598,0.0341347685980204,0.00184353061615726,-0.0780839547213751,-0.0341496114215332,-0.749336796674587,0.359839170426598,-0.0341496114215333,-0.547222720210484,-0.00189754758080159,0.0341347685980195,-0.749336796674583,-0.00189754758080117,-0.0771630407761331
3.5,-0.513266318513245,0.00601259891787765,0.421048390036346,0.0370260560990664,0.00601259891787719,-0.0579595881530552,-0.0370667748214666,-0.7889631463501,0.421048390036345,-0.0370667748214668,-0.513863036276951,-0.00605468559323311,0.0370260560990656,-0.788963146350095,-0.00605468559323298,-0.0569318241043986
3.6,-0.475304960279674,0.00884527187597999,0.479339667416008,0.0376678528342963,0.00884527187597971,-0.0443191510462721,-0.0377338278764318,-0.817050298932116,0.479339667416007,-0.0377338278764321,-0.475831022356319,-0.00887343896731211,0.0376678528342959,-0.817050298932113,-0.00887343896731225,-0.0431897104995077
3.7,-0.432868349441358,0.0109516432918572,0.534082153007105,0.0365606350057277,0.010951643291857,-0.0362213021733207,-0.0366511314276363,-0.831207965326133,0.534082153007105,-0.0366511314276365,-0.433274962432836,-0.0109665985675229,0.0365606350057279,-0.831207965326134,-0.0109665985675231,-0.0349990877341725
3.8,-0.386177954393404,0.0129438800828355,0.584652031376496,0.0342458945731549,0.0129438800828353,-0.0321655876298542,-0.034358380324598,-0.828862466311344,0.584652031376496,-0.0343583803245981,-0.386407400834844,-0.0129483527777446,0.0342458945731554,-0.828862466311345,-0.0129483527777446,-0.0308678481356565
3.9,-0.335694857720607,0.0152944624088002,0.630490806179913,0.031182180524215,0.0152944624087998,-0.030478778313834,-0.0313121914450007,-0.808400437455474,0.630490806179913,-0.0313121914450006,-0.335684670817152,-0.0152924659917251,0.0311821805242155,-0.80840043745547,-0.0152924659917251,-0.0291333575488491
4,-0.282019133893875,0.0183103226936828,0.671117911093357,0.0277076541916296,0.0183103226936824,-0.0295152106244765,-0.0278495325941698,-0.769781598803328,0.671117911093358,-0.0278495325941696,-0.281718553081922,-0.0183064726600524,0.0277076541916301,-0.76978159880332,-0.0183064726600524,-0.0281596631761251
4.1,-0.225756743865121,0.022169201158583,0.706115092011821,0.0240503127159267,0.0221692011585828,-0.0276314954766015,-0.0241978564788731,-0.713459634320775,0.706115092011823,-0.0241978564788728,-0.225125260403035,-0.0221681190735457,0.024050312715927,-0.71345963432077,-0.0221681190735457,-0.0263102381779498
4.2,-0.167529739868458,0.0269678998710401,0.73510126218922,0.0203539602779193,0.02696789987104,-0.0229192814338837,-0.0205007569497849,-0.638765945941796,0.735101262189223,-0.0205007569497846,-0.166528298826505,-0.0269737156898758,0.0203539602779195,-0.638765945941796,-0.0269737156898756,-0.0216806424038781
4.3,-0.108039555395753,0.0327533312406737,0.757709526226775,0.0167039759559103,0.0327533312406738,-0.01265965605237,-0.0168435258048828,-0.544318625274185,0.757709526226777,-0.0168435258048823,-0.106629955101325,-0.032769287556718,0.0167039759559104,-0.544318625274184,-0.0327692875567174,-0.0115545821379518
4.4,-0.0481059248167459,0.0395209667612814,0.77357148753749,0.0131476155785817,0.0395209667612814,0.00739096068722643,-0.0132733586999385,-0.430607420282825,0.773571487537491,-0.013273358699938,-0.0462575356584281,-0.0395491564215145,0.0131476155785819,-0.430607420282819,-0.0395491564215134,0.00830616623115689
4.5,0.0113295029617589,0.0471670790415669,0.782310262524803,0.00970842131138099,0.0471670790415667,0.0423995598467906,-0.00981373352094056,-0.302470999727746,0.782310262524802,-0.0098137335209399,0.0136305059034475,-0.0472084717459325,0.00970842131138148,-0.302470999727744,-0.0472084717459317,0.0430524619605036
