"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.0978824561104126,-0.0449339152143857,-0.746361883921327,-0.0432520365524579,-0.0449339152143859,-0.151315142009291,0.0433305400598255,0.715655898858051,-0.746361883921326,0.0433305400598258,-0.096100409447212,0.0450051831206331,-0.0432520365524583,0.715655898858052,0.0450051831206331,-0.151657507331333
3.1,-0.158651004905307,-0.0482445758418237,-0.730934113103653,-0.0424907778211216,-0.0482445758418242,-0.167472005139606,0.0425911749735051,0.642365325028686,-0.730934113103653,0.0425911749735052,-0.157014147244789,0.0483037550875986,-0.0424907778211216,0.642365325028687,0.0483037550875986,-0.167808663979267
3.2,-0.217245024414304,-0.0492027434854392,-0.710308169967762,-0.038897885250783,-0.0492027434854394,-0.17439521974401,0.0390150346552634,0.56254752815666,-0.710308169967763,0.0390150346552633,-0.21578031818673,0.0492454726621348,-0.0388978852507829,0.56254752815666,0.0492454726621347,-0.174701952297724
3.3,-0.273141139147491,-0.0480674134879759,-0.684529841669529,-0.0328176426453105,-0.0480674134879759,-0.172765445960252,0.0329448596587531,0.476664503218695,-0.68452984166953,0.0329448596587528,-0.271872960477328,0.0480926036708651,-0.0328176426453107,0.476664503218694,0.0480926036708653,-0.173021335250784
3.4,-0.325967085907184,-0.0456000960238356,-0.653465008824786,-0.0251062894653353,-0.0456000960238358,-0.164584223510006,0.0252363625628811,0.384656747906707,-0.653465008824786,0.0252363625628808,-0.324915775975592,0.045610423042252,-0.0251062894653358,0.384656747906707,0.0456104230422528,-0.164772101450133
3.5,-0.375463983358182,-0.0427563395225981,-0.616932832416791,-0.0167901342249946,-0.0427563395225985,-0.152597593332031,0.0169156279187868,0.286197660734643,-0.61693283241679,0.0169156279187866,-0.374641166687486,0.0427572521204015,-0.0167901342249952,0.286197660734645,0.0427572521204027,-0.152701363045906
3.6,-0.421402284535864,-0.0403214495772162,-0.57484494001763,-0.00872842893497627,-0.0403214495772167,-0.139591964938468,0.00884289759372573,0.181127602844221,-0.57484494001763,0.0088428975937257,-0.42080890987411,0.0403195214969906,-0.00872842893497691,0.181127602844225,0.0403195214969917,-0.139592643380901
3.7,-0.463425380067,-0.0387080784141324,-0.527280298960268,-0.00146056650240305,-0.0387080784141327,-0.127852031328605,0.00155944325737157,0.0700958243957836,-0.527280298960268,0.00155944325737165,-0.463058540944799,0.0387096116147284,-0.00146056650240369,0.070095824395786,0.0387096116147292,-0.127725890908103
3.8,-0.500968170461946,-0.037966203119105,-0.474481249685466,0.00477368781126627,-0.0379662031191051,-0.118927642022747,-0.00469385374629735,-0.0448262894762129,-0.474481249685466,-0.0046938537462973,-0.500819803802533,0.0379763804057306,0.00477368781126571,-0.044826289476216,0.0379763804057312,-0.118648188830107
3.9,-0.533428282822444,-0.0379090623205481,-0.416803935506327,0.00994067129093523,-0.0379090623205481,-0.113681296322234,-0.00988324830292416,-0.160239782650628,-0.416803935506327,-0.00988324830292422,-0.533470165244683,0.0379315405102591,0.00994067129093479,-0.160239782650634,0.0379315405102596,-0.113223959705457
4,-0.560343735971079,-0.0382427947668249,-0.354663602158052,0.0141193110690976,-0.0382427947668249,-0.112490678513479,-0.0140878128942186,-0.272661611952223,-0.354663602158053,-0.0140878128942187,-0.560531126588833,0.0382795900674341,0.0141193110690973,-0.272661611952226,0.0382795900674344,-0.111837710743469
4.1,-0.581354038677669,-0.0386450676759346,-0.288497353308462,0.017434512486983,-0.0386450676759346,-0.115469246712365,-0.0174323105520837,-0.379680452784749,-0.288497353308463,-0.0174323105520839,-0.581638581433245,0.0386966489235584,0.0174345124869828,-0.379680452784748,0.0386966489235583,-0.114612975416661
4.2,-0.596115553567565,-0.0387884510055047,-0.218748711703688,0.0200183755127895,-0.0387884510055044,-0.122572250307043,-0.0200483681100561,-0.479080972953434,-0.218748711703689,-0.0200483681100563,-0.596444633709316,0.0388539955812812,0.0200183755127893,-0.479080972953436,0.0388539955812805,-0.121516294224651
4.3,-0.604294118282226,-0.0383241099054025,-0.145869379981816,0.0219914288019797,-0.0383241099054018,-0.133357534204103,-0.0220558327382497,-0.566639411971633,-0.145869379981817,-0.0220558327382498,-0.604603000196269,0.0384019126461402,0.0219914288019793,-0.566639411971641,0.038401912646139,-0.132116781363905
4.4,-0.605610111779088,-0.0368428772764687,-0.0703319126375722,0.0234557448271738,-0.0368428772764677,-0.145767426623255,-0.0235559946171564,-0.635344413237654,-0.0703319126375725,-0.0235559946171562,-0.605816708311706,0.0369309594432535,0.0234557448271732,-0.635344413237661,0.0369309594432525,-0.144368920673511
4.5,-0.599898237870941,-0.0338310213200057,0.00735170919767204,0.0244941482809349,-0.033831021320005,-0.152590950782846,-0.0246308505658542,-0.677274115707173,0.00735170919767157,-0.0246308505658537,-0.599903201045425,0.0339280337818724,0.0244941482809339,-0.677274115707171,0.0339280337818724,-0.151085663070831
