"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.0949904934411742,0.00575465103934605,0.00575465103934611,0.185019601167938
3.1,-0.156081479719879,0.00153497836916425,0.00153497836916417,0.302137607947528
3.2,-0.216110362169338,-0.00345328710066394,-0.00345328710066392,0.412256441449633
3.3,-0.274501870994988,-0.00916428281095261,-0.00916428281095263,0.512251622464509
3.4,-0.330706524692853,-0.0155096840588484,-0.0155096840588483,0.598960967157267
3.5,-0.384205541068135,-0.0223526468029052,-0.0223526468029052,0.669327442705662
3.6,-0.434515446281688,-0.0295037601258755,-0.0295037601258754,0.720578804389677
3.7,-0.481192371139141,-0.0367203160220739,-0.0367203160220739,0.750437651418855
3.8,-0.523835990002727,-0.0437102631998906,-0.0437102631998906,0.757347532184004
3.9,-0.562093012632427,-0.0501419977651006,-0.0501419977651006,0.74069180286994
4,-0.59566009179577,-0.0556605663933646,-0.0556605663933647,0.700974128712582
4.1,-0.62428597457038,-0.0599099022457792,-0.0599099022457791,0.639925644066652
4.2,-0.6477727204983,-0.0625594942970733,-0.0625594942970734,0.560506744731712
4.3,-0.665975849782756,-0.0633326685512973,-0.0633326685512974,0.466782993600598
4.4,-0.678803372776412,-0.0620327974003658,-0.0620327974003659,0.363673943299653
4.5,-0.686213774963298,-0.0585635950137416,-0.0585635950137413,0.256597022298958
