"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.617829373239927,0.0289653785175966,0.0289653785175966,-0.896439436569559
3.1,0.610230277179094,0.0317931098579224,0.0317931098579225,-0.851410566132093
3.2,0.596666098422968,0.0340791382235467,0.0340791382235467,-0.788741784990817
3.3,0.577307921140103,0.035639409710451,0.035639409710451,-0.70917542035761
3.4,0.552381125016671,0.0362835008097335,0.0362835008097334,-0.61409228493079
3.5,0.522162009660343,0.0358241980201935,0.0358241980201935,-0.505579993804077
3.6,0.486974024500695,0.0340900339181342,0.0340900339181341,-0.3864688551903
3.7,0.44718357488362,0.0309404837066532,0.0309404837066533,-0.260318137168472
3.8,0.403195361198383,0.0262829433453422,0.0262829433453422,-0.13133579293949
3.9,0.355447211924102,0.020089921708729,0.020089921708729,-0.00421890261732105
4,0.304404401639684,0.0124142221857097,0.0124142221857097,0.116088870954788
4.1,0.250553504542366,0.00339947040548654,0.00339947040548649,0.224712802760008
4.2,0.194395917084489,-0.00671660666357612,-0.00671660666357613,0.317209184334024
4.3,0.136441272701512,-0.0176080658409561,-0.0176080658409562,0.38993229334887
4.4,0.0772010412288804,-0.028876406601994,-0.028876406601994,0.44035540746191
4.5,0.0171826281758198,-0.0400749120369911,-0.040074912036991,0.467296133142023
