"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.802378103921454,0.0377793006018595,0.0377793006018595,0.147480351620854
3.1,-0.756012962029616,0.0409160966969019,0.040916096696902,0.265741290374742
3.2,-0.705433035300455,0.043702478746567,0.0437024787465671,0.377998094271817
3.3,-0.650905951828155,0.0460237482237587,0.0460237482237589,0.481080082205664
3.4,-0.592722183904599,0.0477594660680888,0.047759466068089,0.571727573176227
3.5,-0.531193560590955,0.0487880621348086,0.0487880621348088,0.646738156504141
3.6,-0.466651625376393,0.0489931653502232,0.0489931653502233,0.703148616008441
3.7,-0.399445851894341,0.0482716075822918,0.0482716075822919,0.738446265842805
3.8,-0.329941734900312,0.0465427318352416,0.0465427318352418,0.75079785334513
3.9,-0.258518777860718,0.0437582240822626,0.0437582240822629,0.739277667871257
4,-0.185568402346607,0.0399112618154157,0.0399112618154161,0.704069558499772
4.1,-0.111491807746559,0.0350434572306525,0.0350434572306531,0.646611348901351
4.2,-0.0366978123846237,0.0292480218447366,0.0292480218447373,0.56964674684984
4.3,0.0383992912639329,0.0226679153781911,0.0226679153781918,0.477152328554372
4.4,0.113381834123542,0.0154884855931022,0.0154884855931026,0.374118745242546
4.5,0.187830788595917,0.00792512532318781,0.00792512532318781,0.266187532856026
