"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.800503584514635,-0.0132710858539912,-0.0132710858539912,-0.019545376415892
3.1,-0.753905312935105,-0.0151515585296868,-0.0151515585296868,-0.00980516426297819
3.2,-0.703104942364492,-0.0171006438574753,-0.0171006438574753,0.00140005234854148
3.3,-0.648365978736474,-0.0190960895203897,-0.0190960895203896,0.0139926313557575
3.4,-0.589975796508034,-0.0211068253857981,-0.0211068253857981,0.0277771186342481
3.5,-0.528244665736707,-0.0230901350216249,-0.0230901350216249,0.0423965168325275
3.6,-0.463504555685772,-0.0249882388293978,-0.0249882388293978,0.0572815304969753
3.7,-0.396107689599393,-0.0267244547878351,-0.0267244547878351,0.0715964096902202
3.8,-0.326424829474074,-0.028199416255749,-0.028199416255749,0.0841891123366796
3.9,-0.254843275520948,-0.029288352930835,-0.029288352930835,0.0935595681048497
4,-0.18176457250632,-0.0298412052001438,-0.0298412052001438,0.0978677772794819
4.1,-0.107601924122585,-0.0296882258285516,-0.0296882258285516,0.0950119818125129
4.2,-0.0327773267244528,-0.0286542966350797,-0.0286542966350797,0.0828123030469957
4.3,0.0422815551886092,-0.0265845607983525,-0.0265845607983525,0.0593292036775902
4.4,0.117144737902099,-0.0233809511231714,-0.0233809511231713,0.0233174380678275
4.5,0.191383446636967,-0.0190432032113266,-0.0190432032113265,-0.0252445219510539
