"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.596905173057417,0.0109390818380529,0.0109390818380529,-0.0192790832729998
3.1,-0.654594583376073,0.0102713272321931,0.0102713272321932,-0.021848233442503
3.2,-0.708715372999696,0.00934509713026535,0.00934509713026543,-0.0227612687462248
3.3,-0.758956237921577,0.00812405142752132,0.00812405142752142,-0.0215167804422691
3.4,-0.805024019728952,0.00656852293134866,0.00656852293134876,-0.0175392286940815
3.5,-0.846645771258064,0.00463643266092186,0.00463643266092195,-0.0101922144805498
3.6,-0.883570847424379,0.00228524971254494,0.002285249712545,0.00119201285364274
3.7,-0.915572991782953,-0.000524439969267034,-0.000524439969267012,0.0172596886282466
3.8,-0.942452382240086,-0.00382304621098252,-0.00382304621098253,0.0385513061545558
3.9,-0.96403759277742,-0.0076230227861787,-0.00762302278617876,0.0653787796894098
4,-0.980187422453462,-0.0119063702428109,-0.011906370242811,0.0976609282864089
4.1,-0.990792538709974,-0.0166089796986404,-0.0166089796986405,0.134724443156936
4.2,-0.995776879507472,-0.0216039998996056,-0.0216039998996057,0.175096597709385
4.3,-0.995098758374424,-0.0266891789141278,-0.0266891789141279,0.216344729317935
4.4,-0.988751618332586,-0.0315860487072057,-0.0315860487072058,0.255050097226269
4.5,-0.976764385006399,-0.0359596580517213,-0.0359596580517213,0.287021563741762
