"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.593560187003874,-0.0133888190418823,-0.0133888190418823,-0.904436833580182
3.1,-0.651376652847694,-0.00965950245485864,-0.00965950245485873,-0.864563894225021
3.2,-0.705632238846135,-0.00532818258853362,-0.00532818258853369,-0.806881394704421
3.3,-0.756017483004673,-0.000414024316767115,-0.000414024316767119,-0.731900152896898
3.4,-0.802242696312742,0.00504099745116339,0.00504099745116347,-0.640782852192384
3.5,-0.844039699397228,0.0109682779865306,0.0109682779865308,-0.535420643133429
3.6,-0.881163433686104,0.0172695906783046,0.0172695906783048,-0.418476806464541
3.7,-0.91339342615942,0.0238156588533711,0.0238156588533712,-0.293382898917618
3.8,-0.940535088193307,0.0304471153794834,0.0304471153794835,-0.164272970007504
3.9,-0.962420831396903,0.0369786128052365,0.0369786128052365,-0.0358435613676953
4,-0.978910986724344,0.043206567394775,0.0432065673947749,0.0868678513825761
4.1,-0.98989451749178,0.0489204938334483,0.0489204938334481,0.198784585048986
4.2,-0.995289522174239,0.0539171649600393,0.0539171649600393,0.295158159410446
4.3,-0.995043528883624,0.0580160657904505,0.0580160657904506,0.37197009340722
4.4,-0.989133590077672,0.0610740353637146,0.0610740353637146,0.426319146991218
4.5,-0.977566193120504,0.0629968368201516,0.0629968368201514,0.456732180533482
