"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.713742143415902,-0.00789711190021549,-0.00789711190021547,-0.814470750046282
3.1,-0.655410129808096,-0.01336353902005,-0.0133635390200499,-0.86399179239
3.2,-0.592695084972481,-0.0197569213001926,-0.0197569213001926,-0.891659095267756
3.3,-0.52596860547417,-0.0270838179683949,-0.0270838179683949,-0.895082980566133
3.4,-0.455637775494322,-0.035286121397705,-0.035286121397705,-0.872236493781862
3.5,-0.382147429903917,-0.0442039581882939,-0.0442039581882938,-0.821834141951453
3.6,-0.305981863293391,-0.0535291578126502,-0.05352915781265,-0.743913246823333
3.7,-0.227664263216773,-0.0627568507559884,-0.0627568507559882,-0.640615791089673
3.8,-0.147751614743438,-0.0711539827333027,-0.0711539827333027,-0.517052681884985
3.9,-0.0668231195135934,-0.0777770264790694,-0.0777770264790697,-0.38193381907769
4,0.0145380244358624,-0.0815765364066513,-0.0815765364066519,-0.247434978641536
4.1,0.0957663094283933,-0.0816051616660806,-0.0816051616660812,-0.127756527381323
4.2,0.176332478087208,-0.0772875846833421,-0.0772875846833424,-0.0362795673295701
4.3,0.255751447767835,-0.0686415586171216,-0.0686415586171216,0.0178719406933001
4.4,0.333575430446245,-0.056324889451435,-0.0563248894514351,0.0323175623320464
4.5,0.409374349227558,-0.041466194633282,-0.0414661946332826,0.0116686363547377
