"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.697421164494261,0.0338807652701099,0.0338807652701098,0.47874737072775
3.1,-0.752153885841977,0.0358991746128816,0.0358991746128817,0.350860265838116
3.2,-0.80211266387926,0.0372420909633889,0.037242090963389,0.215209555795179
3.3,-0.84692686443823,0.0376340498744957,0.0376340498744957,0.075417464145462
3.4,-0.88624822523964,0.0367408976648438,0.0367408976648437,-0.0639260720632837
3.5,-0.919755278763566,0.0341750638677609,0.0341750638677607,-0.197093582685476
3.6,-0.94716036605235,0.0295192561382383,0.0295192561382381,-0.317168085077218
3.7,-0.96821951288412,0.022380373431498,0.022380373431498,-0.416267454853055
3.8,-0.982744292909948,0.0124839566381136,0.0124839566381138,-0.48625555303586
3.9,-0.990613027765786,-0.000192436159131462,-0.000192436159131205,-0.520116295584844
4,-0.991776951233592,-0.015276038320563,-0.0152760383205629,-0.513937863891044
4.1,-0.986256702190907,-0.0319114451822618,-0.0319114451822619,-0.468986579050727
4.2,-0.974127069193791,-0.0488107777000512,-0.0488107777000514,-0.392854915711491
4.3,-0.955493017884709,-0.0644801525201712,-0.0644801525201712,-0.298662470397778
4.4,-0.930464948376129,-0.0775593882238575,-0.0775593882238572,-0.202152664491649
4.5,-0.899142314391006,-0.0871259076337609,-0.087125907633761,-0.117821440287294
