"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.024793028976487,-0.0811120246462864,-0.081112024646286,-0.558246955711021
3.1,-0.120675905179044,-0.0804338239844282,-0.0804338239844281,-0.651955011932877
3.2,-0.214642929226557,-0.0778902160111131,-0.0778902160111129,-0.731933514343517
3.3,-0.305790887992993,-0.0731144167361338,-0.0731144167361336,-0.795094110501239
3.4,-0.393255715283183,-0.0656853951618248,-0.0656853951618251,-0.838118943116821
3.5,-0.476219712389211,-0.0551420388025543,-0.0551420388025543,-0.857563566034368
3.6,-0.553922461278913,-0.04102465345772,-0.0410246534577198,-0.850121172749648
3.7,-0.625678792280968,-0.0229627758016304,-0.0229627758016307,-0.813156229206529
3.8,-0.690907617842438,-0.000830098250408674,-0.000830098250408748,-0.745621831543306
3.9,-0.749173379221934,0.0250259291117588,0.0250259291117586,-0.649391348433201
4,-0.800234274102843,0.0535175110426768,0.0535175110426769,-0.530765465167943
4.1,-0.84407687837433,0.0826348090165392,0.0826348090165395,-0.401429841758533
4.2,-0.880902308189626,0.109550645292572,0.109550645292573,-0.277702563971464
4.3,-0.911035205230375,0.131168824788604,0.131168824788603,-0.177217931197015
4.4,-0.934771117303692,0.145009785464861,0.14500978546486,-0.11375743117794
4.5,-0.952236246201594,0.149994758883917,0.149994758883917,-0.0928277151273623
