"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.0246585094625834,0.00925354371041992,0.0092535437104199,0.173783948170078
3.1,-0.120852333007862,0.0146150048851178,0.0146150048851178,0.291436657225788
3.2,-0.215253705601812,0.0205936140877567,0.0205936140877567,0.402397868128607
3.3,-0.307006447285836,0.0271008261190495,0.0271008261190496,0.503550793386886
3.4,-0.395305712561274,0.0340043238105103,0.0340043238105105,0.591729561183885
3.5,-0.479403973535499,0.0411236363817175,0.0411236363817176,0.663859017914062
3.6,-0.558616270014184,0.0482282697291338,0.048228269729134,0.717131361944804
3.7,-0.632324722900596,0.055039608988022,0.0550396089880223,0.749213754787828
3.8,-0.699982271058297,0.0612378199861233,0.0612378199861232,0.758473238234423
3.9,-0.761115549763582,0.0664746548314081,0.066474654831408,0.744196466578086
4,-0.815326792855532,0.070392388836399,0.0703923888363988,0.70677387951626
4.1,-0.862294626439101,0.0726480974794533,0.0726480974794536,0.647813740359458
4.2,-0.901773645144295,0.0729412696878482,0.0729412696878482,0.570153815707225
4.3,-0.933592731091281,0.0710416309579831,0.071041630957983,0.477749191871194
4.4,-0.957652185658474,0.0668133771148223,0.0668133771148221,0.375433295378397
4.5,-0.973919872844025,0.0602321074006436,0.0602321074006437,0.268572102455711
