"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.992527407707638,-0.0332935675393852,-0.0332935675393852,-0.90014738402878
3.1,0.985173756809637,-0.0345790947898173,-0.0345790947898174,-0.856835067286907
3.2,0.968627149779026,-0.0350973960081594,-0.0350973960081594,-0.795841118081607
3.3,0.943217548402818,-0.0346747990413278,-0.0346747990413278,-0.717848640761127
3.4,0.909350542844596,-0.0331395733381544,-0.0331395733381546,-0.624172698504814
3.5,0.867500419236387,-0.0303326117823033,-0.0303326117823034,-0.516830494498484
3.6,0.818202862756271,-0.0261207404573455,-0.0261207404573455,-0.39858039208071
3.7,0.762047304918708,-0.0204121472706983,-0.0204121472706984,-0.272912788222913
3.8,0.699668916601404,-0.0131728295462311,-0.0131728295462311,-0.143975930870169
3.9,0.631740263107588,-0.00444230707031938,-0.00444230707031929,-0.0164236066908269
4,0.558962679203945,0.00565371955407435,0.00565371955407428,0.104819777652269
4.1,0.482057488836451,0.0168963578467263,0.0168963578467263,0.214867931671405
4.2,0.40175727441044,0.0289745199350705,0.0289745199350706,0.309230322181387
4.3,0.318797472385545,0.0414954250266851,0.041495425026685,0.384178499755779
4.4,0.233908608435658,0.0540046701103006,0.0540046701103007,0.4370711971295
4.5,0.147809464105045,0.0660141997310056,0.0660141997310056,0.466588477616354
