"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.988341223780233,-0.0336930994322488,-0.0336930994322487,0.779779455680951
3.1,0.98042087773761,-0.0462783601533558,-0.0462783601533557,0.690883282812973
3.2,0.963229887261665,-0.0597061441846596,-0.0597061441846595,0.58742601991488
3.3,0.937102213937023,-0.0738069390528679,-0.0738069390528678,0.470898472897498
3.4,0.902461797706575,-0.0883040884983587,-0.0883040884983589,0.343521649814935
3.5,0.859824501584995,-0.102762175915007,-0.102762175915007,0.208535503817005
3.6,0.809802387494673,-0.116521957474705,-0.116521957474705,0.0705587608290912
3.7,0.753108926117101,-0.128631372717728,-0.128631372717729,-0.0640401427099014
3.8,0.690560688300325,-0.137799979201411,-0.137799979201412,-0.186925111812508
3.9,0.623066225527822,-0.142431742247512,-0.142431742247512,-0.288048776360583
4,0.551588203603528,-0.140816198384499,-0.140816198384499,-0.356839399654781
4.1,0.47706691960478,-0.131542355357462,-0.131542355357461,-0.384662765932186
4.2,0.400311800478344,-0.11408863626688,-0.11408863626688,-0.368237872623355
4.3,0.321902487835811,-0.0893399713210382,-0.0893399713210376,-0.312519788542724
4.4,0.242164897771898,-0.0596555952843142,-0.059655595284314,-0.230885752569576
4.5,0.161258205604373,-0.0282966676330283,-0.0282966676330282,-0.141621793997075
