"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.362959908119759,-0.0363127990684212,-0.4522213343622,-0.0215764377360125,-0.0363127990684213,-0.0516674167461492,0.0217437602422996,0.147527577523058,-0.452221334362201,0.0217437602422999,-0.3609006828739,0.0362678814118263,-0.0215764377360125,0.147527577523055,0.0362678814118262,-0.0515978167723158
3.1,-0.388002833719116,-0.0387452099668535,-0.382270664846549,-0.0223569053539248,-0.0387452099668537,-0.0456879646475729,0.0225712261093997,0.0434640280971002,-0.382270664846549,0.0225712261093998,-0.386200936256613,0.0386897613975944,-0.0223569053539248,0.0434640280970989,0.0386897613975943,-0.0454204448796036
3.2,-0.410796505144633,-0.0406530620720471,-0.310493580952193,-0.0227256257441905,-0.0406530620720473,-0.0389180636050539,0.0229941777726654,-0.0610186463689255,-0.310493580952193,0.0229941777726653,-0.409287214552925,0.0405573591665351,-0.0227256257441906,-0.0610186463689253,0.040557359166535,-0.0384034464426615
3.3,-0.430745902578643,-0.0418772432155284,-0.237650423760767,-0.022513185454037,-0.0418772432155285,-0.0316870890676552,0.0228413797836742,-0.164138111639237,-0.237650423760767,0.0228413797836741,-0.429559862166773,0.0417311897612005,-0.0225131854540371,-0.164138111639237,0.0417311897612005,-0.0308761982039759
3.4,-0.44725342098522,-0.0421561992053959,-0.164563136268104,-0.0215036150136871,-0.042156199205396,-0.0244568555722655,0.0218929476091278,-0.26382670671867,-0.164563136268105,0.0218929476091278,-0.446414619524673,0.0419573553409256,-0.0215036150136872,-0.263826706718669,0.0419573553409256,-0.0233087791632975
3.5,-0.459767112229004,-0.0411427987841233,-0.092069230576343,-0.0194397875366777,-0.0411427987841234,-0.0178483065552882,0.0198847637539291,-0.357774901460839,-0.0920692305763432,0.0198847637539292,-0.459291301138,0.0408925414064169,-0.0194397875366778,-0.357774901460838,0.0408925414064169,-0.0163403423165656
3.6,-0.467835692389872,-0.0384463491606127,-0.0209580254868995,-0.0160509328139916,-0.0384463491606127,-0.0126684823668416,0.0165350457321181,-0.443534771184021,-0.0209580254868996,0.0165350457321182,-0.467729583813305,0.0381506793438423,-0.0160509328139916,-0.44353477118402,0.0381506793438423,-0.0108068222172035
3.7,-0.471163414397469,-0.0337227603483121,0.0481045877076695,-0.0111184344786874,-0.033722760348312,-0.00993367639027825,0.0116098891881535,-0.518689400711973,0.0481045877076696,0.0116098891881537,-0.471424915889753,0.0333966584932352,-0.0111184344786873,-0.518689400711974,0.0333966584932352,-0.00776311649424731
3.8,-0.469656043438739,-0.026818062425479,0.11465044708598,-0.00459020010262425,-0.0268180624254787,-0.0108804115841818,0.00503928260717899,-0.581077680792948,0.11465044708598,0.00503928260717917,-0.470275598649928,0.0264914898724878,-0.00459020010262402,-0.581077680792949,0.0264914898724876,-0.00849044193412597
3.9,-0.463449235228626,-0.0179256562780971,0.178464474937696,0.00327642782997711,-0.0179256562780965,-0.0169486552298501,-0.00293511415293376,-0.629042920670192,0.178464474937696,-0.00293511415293349,-0.464412093000121,0.0176465813005837,0.00327642782997743,-0.629042920670194,0.0176465813005835,-0.0144723804440296
4,-0.452913021611703,-0.00766347348664035,0.239600478671,0.0118205413931515,-0.00766347348663947,-0.0297111625801222,-0.0116579118089399,-0.66165563047825,0.239600478671,-0.0116579118089394,-0.454202012669098,0.00749196703886924,0.0118205413931518,-0.661655630478252,0.00749196703886906,-0.0273131418614178
4.1,-0.438630255311318,0.00302248256030115,0.298339972465518,0.020047346841937,0.00302248256030206,-0.0507111265668427,-0.0201223723136829,-0.678855560453319,0.298339972465518,-0.0201223723136822,-0.440228473513379,-0.0030304792529231,0.0200473468419372,-0.678855560453321,-0.00303047925292317,-0.0485614303401783
4.2,-0.421350955424469,0.0131196140741084,0.3550873909881,0.026906608515763,0.0131196140741091,-0.0811657783135359,-0.0272484245756125,-0.681472141483808,0.355087390988099,-0.0272484245756119,-0.423243618569664,-0.0129311809010071,0.0269066085157629,-0.68147214148381,-0.012931180901007,-0.0794018506753677
4.3,-0.401925451674788,0.021835947956474,0.410212885175903,0.0316491059032293,0.0218359479564744,-0.121515070173049,-0.0322483084589991,-0.671113467842997,0.410212885175903,-0.0322483084589987,-0.404100044622253,-0.021451168756712,0.0316491059032291,-0.671113467842999,-0.0214511687567118,-0.120201312787076
4.4,-0.381211598449025,0.0287572115677879,0.463874507288289,0.0340339679851036,0.0287572115677879,-0.170868643020493,-0.0348473238481393,-0.649949991385337,0.463874507288289,-0.0348473238481394,-0.383654907743706,-0.028205451711069,0.0340339679851034,-0.64994999138534,-0.0282054517110688,-0.169973618701148
4.5,-0.359921614587105,0.0338309010369868,0.515867289149011,0.0342833537294968,0.0338309010369865,-0.226539724995585,-0.0352474525361298,-0.620444965161151,0.515867289149012,-0.0352474525361302,-0.362611001995014,-0.0331583268378063,0.0342833537294968,-0.620444965161154,-0.0331583268378063,-0.225953665497929
