"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.199502574337533,0.00249766075390302,-0.779820186275689,-0.00382981173167145,0.00249766075390304,0.0390438143215963,0.00370914037982941,0.942213910968666,-0.779820186275689,0.00370914037982955,0.203064228987133,-0.0024264469594029,-0.00382981173167146,0.942213910968666,-0.00242644695940302,0.0377402500709536
3.1,0.17138207249733,-0.0021530768501867,-0.80982528594056,-0.00704178546691166,-0.00215307685018701,0.0371326441449512,0.00693123018237234,0.945939638190395,-0.809825285940561,0.00693123018237239,0.175212822371647,0.00224317392923958,-0.00704178546691161,0.945939638190395,0.00224317392923991,0.0357322675242083
3.2,0.140066951157354,-0.00746524618883705,-0.833326493107285,-0.0107149309296652,-0.00746524618883729,0.0373769696453896,0.0106265328684905,0.936983474892309,-0.833326493107285,0.0106265328684905,0.144135743600761,0.00755722458676499,-0.0107149309296651,0.936983474892308,0.00755722458676532,0.0358968058043035
3.3,0.105706641951664,-0.0135262841137087,-0.850141621258258,-0.0148539278234876,-0.0135262841137088,0.0401686951580532,0.0148044690192999,0.914827602883608,-0.850141621258258,0.0148044690192998,0.109975579970721,0.0136037373350908,-0.0148539278234876,0.914827602883608,0.013603737335091,0.0386482020179806
3.4,0.0686034960474407,-0.0203604216531395,-0.860236409765702,-0.0194143383440825,-0.0203604216531394,0.045898378317961,0.0194259875224401,0.879237648501918,-0.860236409765702,0.0194259875224401,0.0730290095628156,0.0204077081546846,-0.0194143383440824,0.879237648501918,0.0204077081546847,0.044401147015477
3.5,0.0292221470042743,-0.0278808435346899,-0.863756486223605,-0.0242671382152571,-0.0278808435346896,0.0549255930659187,0.0243673918917274,0.83039354462851,-0.863756486223605,0.0243673918917274,0.033756929689298,0.0278808174202817,-0.0242671382152571,0.83039354462851,0.0278808174202817,0.053538140489056
3.6,-0.0118184968842162,-0.0358281001478205,-0.861042410457638,-0.0291531134632972,-0.0358281001478202,0.0675348422521841,0.0293731888794489,0.769019508750181,-0.861042410457638,0.029373188879449,-0.00722297030604487,0.0357597286868805,-0.0291531134632972,0.769019508750183,0.0357597286868805,0.066361279965955
3.7,-0.0537745232867465,-0.0437161158444874,-0.852617555376495,-0.033639640205846,-0.0437161158444872,0.0838714248943661,0.0340101644322947,0.696483451854883,-0.852617555376496,0.0340101644322949,-0.0491652610399038,0.0435540454250156,-0.033639640205846,0.696483451854884,0.0435540454250155,0.0830229495845455
3.8,-0.0958282519284673,-0.0508304612003419,-0.839140712721851,-0.0371121866293995,-0.0508304612003419,0.103850599585693,0.0376552256725799,0.614830319434585,-0.839140712721852,0.0376552256725802,-0.0912482776706058,0.0505492542510928,-0.0371121866293994,0.614830319434585,0.0505492542510925,0.103429349661678
3.9,-0.137158154755223,-0.0563324449875047,-0.82132127279369,-0.0388517110435526,-0.0563324449875046,0.127034148980007,0.0395696964144431,0.526718465463268,-0.82132127279369,0.0395696964144433,-0.132644816463696,0.0559170125096144,-0.0388517110435524,0.526718465463268,0.055917012509614,0.12711229490659
4,-0.177020831767992,-0.0594812666807796,-0.799804681734443,-0.0382341208825867,-0.0594812666807793,0.152474180610479,0.0390993997509554,0.435246544159593,-0.799804681734444,0.0390993997509557,-0.172605290624841,0.0589401877933109,-0.0382341208825863,0.435246544159592,0.0589401877933104,0.153071461521237
4.1,-0.214837477858646,-0.0598910398628257,-0.775048012614766,-0.035003370669502,-0.0598910398628251,0.178540009698989,0.0359550304188706,0.343687738253967,-0.775048012614766,0.035955030418871,-0.210545580111343,0.0592639294736062,-0.0350033706695014,0.343687738253967,0.0592639294736056,0.179606300778065
4.2,-0.250280366317801,-0.057671129803396,-0.747216272666221,-0.0294557269323699,-0.0576711298033952,0.202776430387296,0.0304087649263914,0.255178187048847,-0.747216272666221,0.0304087649263921,-0.246134864115418,0.0570224662725723,-0.0294557269323694,0.255178187048847,0.0570224662725718,0.204189306098935
4.3,-0.283363291458742,-0.0533575034603759,-0.716134416406492,-0.0223747795312928,-0.0533575034603752,0.221890947002815,0.0232391932947127,0.172423678469774,-0.716134416406493,0.0232391932947136,-0.279387127091708,0.0527590663210162,-0.0223747795312925,0.172423678469774,0.0527590663210159,0.22347855286019
4.4,-0.314555313870179,-0.0476924769246573,-0.681323127021033,-0.0147396031857901,-0.0476924769246569,0.232012754887103,0.0154399461221411,0.0974841121253651,-0.681323127021034,0.0154399461221417,-0.310775228462934,0.0472048994397884,-0.0147396031857901,0.0974841121253653,0.0472048994397883,0.233604655170146
4.5,-0.34496276210842,-0.041395820276291,-0.642126497887389,-0.00740563357473894,-0.0413958202762912,0.229348876379634,0.00789242892547529,0.0316707248288533,-0.642126497887391,0.00789242892547509,-0.341410926835947,0.0410582122589228,-0.0074056335747393,0.0316707248288534,0.041058212258923,0.230839224503209
