Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
3,-0.144887130852659+0.0991931416819682i,0.273004486635112+0.12240939980895i,0.436354327429651-0.0757195278295132i,0.143808967793017-0.026582388006971i,0.273004486635111+0.122409399808948i,0.15749462545456+0.00519321686021883i,0.143678962999315-0.0266445990049513i,0.345499832072701-0.247245121046633i,0.43635432742965-0.0757195278295126i,0.143678962999315-0.0266445990049512i,-0.146055512780563+0.0998356335914855i,0.272505718610993+0.122378637317761i,0.143808967793016-0.0265823880069708i,0.345499832072701-0.247245121046633i,0.272505718610993+0.122378637317761i,0.157028874509873+0.00534076128450319i
3.1,-0.209084084143969+0.127050791170132i,0.371314886454499+0.134864149716723i,0.386763827888492-0.110338786514329i,0.0638922821938169-0.0155318143086674i,0.371314886454497+0.134864149716722i,0.148288988318248-0.00696802100871925i,0.0634963578033988-0.0154683274936939i,0.153799169585058-0.133274141158284i,0.38676382788849-0.110338786514328i,0.0634963578033984-0.0154683274936937i,-0.210568840214321+0.127590093804346i,0.370785586729053+0.135088244932321i,0.0638922821938132-0.0155318143086665i,0.153799169585057-0.133274141158283i,0.370785586729052+0.135088244932322i,0.148133541920174-0.00669614841662588i
3.2,-0.267084648976299+0.136700779685128i,0.448706451906033+0.110387378575024i,0.316942731858257-0.132421949575351i,-0.0395937157827214+0.0104652644767782i,0.448706451906034+0.110387378575025i,0.0855737065957216-0.0096737569817963i,-0.040247710029778+0.0106484179271004i,-0.0247310175637523+0.0224850047389278i,0.316942731858258-0.132421949575351i,-0.040247710029775+0.0106484179270996i,-0.268873361156618+0.136903305814247i,0.448400412614164+0.111027021285598i,-0.0395937157827225+0.0104652644767785i,-0.0247310175637524+0.0224850047389279i,0.448400412614163+0.111027021285595i,0.0862510693703515-0.00953615720721093i
3.3,-0.306176964667378+0.118451536631985i,0.483612024370851+0.0509432255708587i,0.209224253845903-0.123950498156743i,-0.157142697490587+0.0354290909452565i,0.483612024370858+0.0509432255708618i,-0.0199782187655737+0.00251179484064802i,-0.158002836411607+0.0355779185622282i,-0.205504382880037+0.169613498294252i,0.209224253845899-0.123950498156741i,-0.158002836411614+0.0355779185622302i,-0.307981853061108+0.117931226136859i,0.484020110397473+0.0519763570733816i,-0.15714269749059+0.0354290909452561i,-0.205504382880041+0.169613498294252i,0.48402011039747+0.0519763570733812i,-0.0179598433185253+0.00220941498833048i
3.4,-0.268823777119393+0.0640593139094388i,0.437297046384323-0.0233310272782381i,0.0321895532934274-0.0262402997068761i,-0.2501355121116+0.0260759995011837i,0.437297046384331-0.0233310272782395i,-0.1267989376366+0.00562789704075309i,-0.250771729855943+0.0258504293496245i,-0.398132048657201+0.260796686863344i,0.0321895532934253-0.0262402997068741i,-0.250771729855946+0.025850429349623i,-0.269425597410948+0.0626746868937867i,0.439047700860008-0.0224340054401398i,-0.250135512111595+0.0260759995011815i,-0.398132048657196+0.260796686863337i,0.439047700860013-0.0224340054401394i,-0.123194086507088+0.0052308864534364i
3.5,-0.0652410100203087+0.0125771203420607i,0.252224902298344-0.0422430010288554i,-0.256119435363224+0.21639312968942i,-0.213200611814699-0.0111617756327856i,0.252224902298346-0.0422430010288493i,-0.131460066496412-0.0161746916640538i,-0.212282251702013-0.0114763510927823i,-0.61583463880312+0.271328244202271i,-0.256119435363224+0.216393129689424i,-0.212282251702031-0.0114763510927812i,-0.062056279774501+0.0115411457957479i,0.255408701984746-0.0423725935401023i,-0.213200611814718-0.0111617756327897i,-0.615834638803146+0.27132824420227i,0.255408701984748-0.0423725935400986i,-0.127147944990246-0.0156825302670987i
3.6,0.0558239955126923-0.0261657137302385i,0.0463381065985908-0.00227792707544982i,-0.583948757564879+0.228602385522154i,-0.099183925078838-0.00590429559630718i,0.0463381065986149-0.00227792707545129i,0.00552838350808911+0.00122622348029765i,-0.096819384843715-0.00576601636882014i,-0.8219860995797+0.099728831956125i,-0.583948757564892+0.228602385522155i,-0.0968193848437208-0.00576601636882261i,0.0623637676968896-0.0289436751554158i,0.0500813646691235-0.00245830949997972i,-0.099183925078819-0.005904295596308i,-0.821986099579682+0.0997288319561073i,0.0500813646691413-0.00245830949998084i,0.00984062965468621+0.00217483473302178i
3.7,-0.0914765691423128+0.0667915504885527i,0.0544252363540926+0.00807664850233104i,-0.581850423383994+0.0294736695177151i,-0.113140989490132-0.00226041460402129i,0.0544252363540936+0.008076648502332i,0.124289306429833+0.0249799309079385i,-0.11166296012419-0.00202324396425767i,-0.762946619499301-0.180120715096983i,-0.581850423383999+0.02947366951772i,-0.111662960124204-0.0020232439642573i,-0.0856650203542419+0.0625235122318336i,0.0581317311914411+0.00856406782593679i,-0.113140989490145-0.00226041460402262i,-0.762946619499311-0.180120715096996i,0.0581317311914454+0.00856406782593798i,0.129153478138049+0.0256675837215867i
3.8,-0.251272623991261+0.182042781671877i,0.165775177572158+0.040988183697101i,-0.464832444822379-0.0480167693468676i,-0.146727504087697-0.00901205682353563i,0.165775177572172+0.0409881836971051i,0.210578892366145+0.0311718038742274i,-0.146808133356907-0.00867728404702215i,-0.528892033129847-0.276415772994239i,-0.464832444822391-0.0480167693468679i,-0.146808133356922-0.00867728404702455i,-0.245942648896577+0.178802829383799i,0.169523289299226+0.0415385682154841i,-0.146727504087695-0.00901205682353863i,-0.528892033129836-0.276415772994246i,0.169523289299237+0.0415385682154862i,0.215393344373934+0.030899137371736i
3.9,-0.371573365226001+0.226326435679351i,0.289935976896515+0.0743554886851477i,-0.367978662300379-0.069195351728215i,-0.132986351483674-0.0173179191647673i,0.28993597689651+0.0743554886851469i,0.273109205586479+0.0178640011707614i,-0.134299504180533-0.0172272708178874i,-0.298478531530021-0.211572911617205i,-0.367978662300377-0.0691953517282125i,-0.134299504180539-0.0172272708178872i,-0.366294172012135+0.224452611807067i,0.293734784428189+0.0742546103736879i,-0.132986351483683-0.0173179191647679i,-0.298478531530031-0.211572911617209i,0.293734784428186+0.0742546103736868i,0.276256109937594+0.0161552949708892i
