Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
3,-0.14485475509775+0.0991743220690426i,-0.436374847716955-0.0757235081330454i,-0.273009308838618+0.122405952462689i,0.143799938764269-0.026576026475926i,-0.436374847716956-0.075723508133046i,-0.146074977445027+0.0998488184630343i,0.143640800257449-0.0266370853866785i,-0.272486739141012+0.122369573018368i,-0.273009308838619+0.122405952462689i,0.143640800257448-0.0266370853866783i,0.15753384959254+0.00519810668930323i,-0.345496274891953-0.247246006558605i,0.14379993876427-0.0265760264759263i,-0.272486739141012+0.122369573018367i,-0.345496274891953-0.247246006558606i,0.157082984006256+0.00534783574448248i
3.1,-0.20905974732927+0.127038707654923i,-0.386785931256461-0.110348464334697i,-0.371325354923403+0.134858010416452i,0.0639022925160452-0.0155320129430452i,-0.386785931256461-0.110348464334698i,-0.210595067364087+0.127603265741903i,0.0634549602215531-0.0154572308624146i,-0.37076500497988+0.13508187758468i,-0.371325354923403+0.134858010416451i,0.0634549602215537-0.0154572308624146i,0.148313403730264-0.00696617420093522i,-0.153796895875117-0.133274643579662i,0.0639022925160457-0.0155320129430452i,-0.37076500497988+0.13508187758468i,-0.153796895875118-0.133274643579663i,0.14819335244536-0.00669764305484115i
3.2,-0.26706393444441+0.136689104483612i,-0.316962696403726-0.13243825277669i,-0.448720731119934+0.110373219267426i,-0.0395668751384556+0.0104571725296331i,-0.316962696403725-0.132438252776689i,-0.268905443525975+0.136911131162353i,-0.0402913399752672+0.0106584906094278i,-0.44837761174989+0.111024974756557i,-0.448720731119934+0.110373219267426i,-0.0402913399752676+0.0106584906094278i,0.0855811456530612-0.00967211024126234i,0.0247337107739133+0.0224881005826151i,-0.0395668751384564+0.0104571725296333i,-0.448377611749888+0.111024974756556i,0.0247337107739138+0.0224881005826156i,0.0863067204290151-0.00954382759618965i
3.3,-0.306148059278048+0.118433546076778i,-0.209231387073549-0.123966687490224i,-0.483617545271111+0.050914081143305i,-0.157104619387681+0.0354197357739293i,-0.20923138707355-0.123966687490225i,-0.308009211587563+0.117923833831545i,-0.158040463291023+0.0355756456772912i,-0.483996103359921+0.0519806001381824i,-0.48361754527111+0.0509140811433048i,-0.158040463291025+0.0355756456772916i,-0.019982679686222+0.00251123872660845i,0.205511019071051+0.1696255825924i,-0.157104619387676+0.0354197357739289i,-0.483996103359923+0.051980600138182i,0.20551101907105+0.169625582592399i,-0.0179175654192047+0.00220496726213768i
3.4,-0.268759828498791+0.0640371018276104i,-0.0321678196227439-0.0262256371178156i,-0.437257122379462-0.0233661871572734i,-0.250095785773193+0.0260768626604182i,-0.0321678196227438-0.0262256371178156i,-0.269408421872061+0.0626501271768912i,-0.250766786503275+0.0258245151746375i,-0.4390237768442-0.0224227746391218i,-0.437257122379461-0.0233661871572739i,-0.250766786503277+0.0258245151746371i,-0.126785510284336+0.00561454668540541i,0.398152618841113+0.260820858868859i,-0.250095785773193+0.0260768626604198i,-0.439023776844202-0.0224227746391242i,0.398152618841113+0.260820858868861i,-0.123176921975685+0.00523768721172272i
3.5,-0.0651438807203142+0.0125604872151917i,0.256177502501753+0.216442927547991i,-0.252112551325564-0.0422358338174967i,-0.213180696728043-0.0111499683216662i,0.256177502501743+0.216442927547984i,-0.0619693474134516+0.0115240462808208i,-0.212185032116057-0.011486221654874i,-0.255390435118906-0.0423575431354598i,-0.25211255132556-0.0422358338174977i,-0.212185032116063-0.0114862216548729i,-0.131364895413864-0.0161778686768531i,0.61588720476239+0.271346187787926i,-0.213180696728016-0.0111499683216643i,-0.255390435118926-0.0423575431354614i,0.615887204762387+0.271346187787927i,-0.127175133444066-0.0156770123555001i
3.6,0.0558494423168757-0.0261820669391437i,0.583972984805376+0.228575421928697i,-0.0462564076839962-0.00227158762882747i,-0.0992180361724587-0.00590218479222925i,0.583972984805376+0.228575421928706i,0.0623854590355842-0.028958613827554i,-0.0967342597119716-0.0057579740178608i,-0.0501069484683978-0.00245701827505824i,-0.0462564076839889-0.00227158762882725i,-0.0967342597119789-0.00575797401786225i,0.0056556180555549+0.00125460363694973i,0.822021625099085+0.0996879647737324i,-0.0992180361724663-0.00590218479222745i,-0.0501069484684054-0.00245701827505999i,0.822021625099093+0.0996879647737378i,0.0097632402271536+0.00215744381255207i
3.7,-0.0914631817555341+0.0667847381945082i,0.581831143902532+0.0294637011468888i,-0.0544072844744308+0.00807666343676704i,-0.113171814088493-0.00226158780533134i,0.581831143902525+0.0294637011468864i,-0.0856841708202553+0.0625418606787449i,-0.111636694828577-0.00201849111226207i,-0.0581639427694631+0.00856958955602129i,-0.0544072844744272+0.00807666343676614i,-0.111636694828574-0.00201849111226174i,0.12437732274308+0.0249956453665182i,0.76292720172127-0.180153995724736i,-0.11317181408847-0.00226158780533112i,-0.0581639427694736+0.00856958955602294i,0.762927201721271-0.180153995724738i,0.129089945084385+0.0256603212837987i
3.8,-0.251244292468102+0.182027717254236i,0.464821801615978-0.0480141760549334i,-0.165776862205726+0.0409927673346738i,-0.146733224883744-0.0090138267390404i,0.46482180161597-0.0480141760549295i,-0.245965871891896+0.178822582827922i,-0.146797889461565-0.00867358146808542i,-0.169542337023766+0.0415434983281538i,-0.165776862205722+0.0409927673346722i,-0.14679788946157-0.00867358146808533i,0.210640396355092+0.0311763675075356i,0.528863002712528-0.27641824487819i,-0.146733224883733-0.00901382673903647i,-0.169542337023777+0.0415434983281548i,0.528863002712528-0.276418244878188i,0.215374240140739+0.0309091797934271i
3.9,-0.371537748282572+0.22631584520209i,0.367977102117476-0.0691921334625256i,-0.289940529719585+0.0743587949384206i,-0.132985152073125-0.0173175089550648i,0.367977102117474-0.069192133462527i,-0.36631886917157+0.224465408493697i,-0.134289540990694-0.0172242528334227i,-0.293746319062988+0.0742570565790858i,-0.28994052971959+0.0743587949384217i,-0.134289540990694-0.0172242528334225i,0.273151831317707+0.0178605929150377i,0.298456405370657-0.211562052187523i,-0.132985152073124-0.017317508955066i,-0.293746319062989+0.0742570565790879i,0.298456405370657-0.211562052187523i,0.276269155630565+0.0161691795067111i
4,-0.451971337348675+0.219603586111347i,0.288816076657227-0.0718588882568017i,-0.401722938600369+0.0816894498457637i,-0.081492423761761-0.0152097432788288i,0.288816076657214-0.0718588882568034i,-0.446698130287347+0.218950662018875i,-0.083593031742839-0.0155032768784654i,-0.405142042631038+0.0802777071934961i,-0.401722938600383+0.0816894498457636i,-0.0835930317428379-0.0155032768784644i,0.292769925275543-0.0110389871163046i,0.107034467326193-0.083478474276759i,-0.0814924237617167-0.0152097432788227i,-0.40514204263105+0.0802777071935058i,0.107034467326189-0.0834784742767557i,0.292764968815972-0.0134897948072793i
4.1,-0.498382080528615+0.188506940924381i,0.21785381538176-0.06523812370342i,-0.487819521068215+0.0540556287104026i,-0.0100832986332234-0.00218526584942824i,0.217853815381733-0.0652381237034141i,-0.492994644706622+0.18896573928251i,-0.0126581512554955-0.00274175717237839i,-0.490075681546437+0.0510309098783167i,-0.487819521068229+0.0540556287103963i,-0.0126581512555034-0.00274175717237993i,0.25996178625811-0.0368610476116535i,-0.0601673956893377+0.0449312902586216i,-0.0100832986331503-0.00218526584941223i,-0.490075681546459+0.0510309098783239i,-0.0601673956893409+0.0449312902586231i,0.256188037543326-0.0385813059839577i
4.2,-0.516695762916537+0.148374201476817i,0.147843450002808-0.0513114202112313i,-0.535575495997533-0.00427947137907935i,0.0701648266329726+0.0151399048267297i,0.147843450002786-0.0513114202112228i,-0.511234847688755+0.150045864584326i,0.067389070328778+0.0146243232393413i,-0.535566259338241-0.00867635531346749i,-0.535575495997539-0.0042794713790881i,0.0673890703287659+0.0146243232393385i,0.178613519770568-0.0401058967033588i,-0.218023354106114+0.13967512705811i,0.0701648266330142+0.0151399048267347i,-0.535566259338258-0.00867635531346844i,-0.218023354106113+0.139675127058107i,0.170994954226451-0.0397304692133252i
4.3,-0.508785892140648+0.107643280655286i,0.0687790842443531-0.02720651315393i,-0.528625513497404-0.0779891413569519i,0.151715597102217+0.0272885498518949i,0.0687790842443519-0.0272065131539293i,-0.503641271336668+0.110789118837952i,0.149237738261553+0.0272826694684228i,-0.524868217646245-0.0825791442020909i,-0.528625513497406-0.0779891413569539i,0.149237738261553+0.0272826694684232i,0.0614046352760807-0.0156592915541233i,-0.369410165860566+0.182101331266472i,0.151715597102215+0.0272885498518926i,-0.524868217646246-0.0825791442020912i,-0.369410165860563+0.182101331266468i,0.0500568617455225-0.0129737260417097i
