Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(2,1))[]","rect(S(2,2))[]"
3,0.193577553490945-0.171151179616248i,-0.517104373115425+0.118474371477239i,-0.517104373115424+0.118474371477239i,0.336024243028174-0.256418202285103i
3.1,0.116325125362262-0.116897991491456i,-0.526378896671443+0.0430975193972756i,-0.526378896671444+0.0430975193972762i,0.126374086959118-0.125004077265144i
3.2,0.0389694910906586-0.0440012370580425i,-0.470134025206962-0.0242781396957679i,-0.470134025206964-0.024278139695768i,-0.0864876794133142+0.0922600850916287i
3.3,-0.0429355826589367+0.0532536512273825i,-0.35701862097259-0.0540690370420171i,-0.357018620972592-0.0540690370420175i,-0.340681554805874+0.302357695160726i
3.4,-0.134287043224235+0.174024042831262i,-0.211551821490943-0.0398069893676431i,-0.211551821490944-0.0398069893676432i,-0.658402862486603+0.342501834384115i
3.5,-0.243529768189787+0.302576070325935i,-0.070787148512787-0.00985482622350095i,-0.0707871485127879-0.00985482622350122i,-0.890010920599514+0.0907281067566241i
3.6,-0.378493455180228+0.405017352697784i,0.01837083978259+0.0003125191108325i,0.0183708397825891+0.000312519110832473i,-0.801142112152919-0.262324658794192i
3.7,-0.531270655530102+0.443655140525793i,0.0186998234437187-0.00248530723407608i,0.0186998234437169-0.00248530723407585i,-0.477214635281931-0.361280147315381i
3.8,-0.673113505232506+0.404417954686904i,-0.0637379160577109+0.0164502896737925i,-0.0637379160577119+0.0164502896737928i,-0.17463591194486-0.18389909864595i
3.9,-0.774703353351642+0.304394635881955i,-0.191854452142636+0.0610309248317878i,-0.191854452142638+0.0610309248317884i,0.0587387534313165+0.0612940051359556i
4,-0.821747245866911+0.170885514056841i,-0.33339478936603+0.0991522934333002i,-0.333394789366031+0.0991522934333i,0.271110080112877+0.22268389688022i
4.1,-0.805671056315863+0.0257097127725554i,-0.463671022421611+0.0948192125942755i,-0.46367102242161+0.0948192125942742i,0.457317544976581+0.25965308664675i
4.2,-0.706893241734438-0.104016097904641i,-0.547413573086048+0.0306113814359661i,-0.547413573086044+0.0306113814359655i,0.588652315013776+0.209754298385776i
4.3,-0.497261505232821-0.153308790116874i,-0.525033058282047-0.065407347388776i,-0.525033058282044-0.0654073473887746i,0.675228635790035+0.130836897000994i
4.4,-0.20409337375821-0.0622442256028025i,-0.370834180778555-0.0906069353987019i,-0.370834180778553-0.0906069353986999i,0.764429141197+0.0267335129078904i
4.5,-0.0289953057617598-0.00110343418829229i,-0.240176520903062-0.0435406471642146i,-0.240176520903061-0.0435406471642134i,0.798103863609929-0.170245999825099i
4.6,-0.11557971945036+0.0214074431713893i,-0.256699450891962-0.0229850140027616i,-0.256699450891963-0.0229850140027606i,0.639275463517243-0.337217009446526i
