Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
3,-0.256604973493659+0.100787927073685i,-0.429448173490791+0.0710459929353474i,-0.273174781290032-0.16939913114095i,-0.146803862137465+0.0329700394408438i,-0.429448173490784+0.0710459929353493i,-0.035189479616706+0.00380152225132177i,-0.143994138641222+0.032921823214134i,0.133063238757519+0.123330244188121i,-0.273174781290043-0.169399131140959i,-0.143994138641208+0.0329218232141325i,-0.250133525036103+0.0999733640147371i,-0.429943942668218+0.0685613917850078i,-0.146803862137449+0.0329700394408406i,0.133063238757509+0.123330244188112i,-0.429943942668227+0.068561391785009i,-0.0404520743958213+0.00458490546312793i
3.1,-0.188966313529561+0.0370609651906252i,-0.370030207279374-0.00443963204571809i,-0.0475159632071624-0.0455024098691094i,-0.233757678676657+0.0186178539916036i,-0.370030207279376-0.00443963204571658i,-0.139791489892309+0.00121897986848299i,-0.234076596366683+0.0199413895010358i,0.351454874051183+0.273802210857449i,-0.0475159632071622-0.0455024098691096i,-0.234076596366674+0.0199413895010347i,-0.186131316892046+0.0379247698527544i,-0.366985764570156-0.00637602859858034i,-0.233757678676647+0.0186178539916027i,0.351454874051184+0.273802210857452i,-0.366985764570155-0.00637602859858182i,-0.145452770191877+0.00145512231705553i
3.2,0.0977438462386607-0.0213471962429679i,-0.135499521381644-0.010015163061313i,0.313315982647284+0.273363368564136i,-0.144578655076349-0.00668469734727415i,-0.13549952138164-0.0100151630613128i,-0.100727990941633-0.015360807174612i,-0.149091427243443-0.00643018617867603i,0.644063092849352+0.321386790894226i,0.313315982647284+0.273363368564135i,-0.149091427243448-0.00643018617867912i,0.0958667328823918-0.0214233594505706i,-0.130154074393153-0.0099165826817846i,-0.144578655076354-0.0066846973472768i,0.644063092849349+0.321386790894228i,-0.130154074393155-0.00991658268178522i,-0.10388230741132-0.0158721691731529i
3.3,0.114820575120276-0.0673987380088983i,-0.00409341394812843+0.000500898131171641i,0.594630438660205+0.193010264303344i,-0.0909522303658974+0.000242773204249071i,-0.00409341394812045+0.000500898131170632i,0.0220482407578871+0.00440036044626737i,-0.094974032617234+0.000186523306948264i,0.856715464900147+0.0745406720069015i,0.594630438660206+0.193010264303344i,-0.0949740326172906+0.000186523306949719i,0.113360654293634-0.0666463991651724i,0.000268473779348817-3.30625132301692E-05i,-0.0909522303659415+0.000242773204250685i,0.856715464900128+0.0745406720068921i,0.000268473779337326-3.30625132287537E-05i,0.0191089875857822+0.00380185926242105i
3.4,-0.05544082059202+0.0430049105923609i,-0.0784076167094064+0.022762936166388i,0.555145998877529+0.024014983640407i,-0.144609650314348-0.000430679304164385i,-0.0784076167094047+0.0227629361663876i,0.110345424791281+0.0209088733325004i,-0.146702049385877-0.000673793425375822i,0.739221569559349-0.20370486399929i,0.555145998877528+0.0240149836404067i,-0.146702049385886-0.000673793425377997i,-0.0554869961459163+0.0429898383201559i,-0.0757152451544173+0.0221390625521498i,-0.144609650314358-0.000430679304165989i,0.739221569559347-0.203704863999282i,-0.0757152451544182+0.0221390625521498i,0.107555212153343+0.0204212382701923i
3.5,-0.191143204375766+0.141595997451154i,-0.202942351048572+0.0715588173610891i,0.462729168010476-0.0452578018110922i,-0.163684006190414-0.0124223085805675i,-0.202942351048573+0.0715588173610881i,0.197374329834072+0.0285896889611882i,-0.164897686368299-0.0127752568778363i,0.495406791714717-0.273274887369655i,0.462729168010478-0.0452578018110916i,-0.164897686368303-0.0127752568778341i,-0.190583742120283+0.140941832787636i,-0.201388978893139+0.0715215607403647i,-0.163684006190418-0.012422308580566i,0.495406791714711-0.273274887369654i,-0.201388978893143+0.0715215607403664i,0.195215296587082+0.0284335355952318i
3.6,-0.289698450799207+0.184857605122676i,-0.329470969322945+0.109285426960931i,0.381794342681034-0.0741264200767346i,-0.129552308528274-0.0197795815936934i,-0.329470969322943+0.10928542696093i,0.256621542227921+0.0145414668120422i,-0.130257521286098-0.0201102596323927i,0.265217644185712-0.194873974329834i,0.381794342681036-0.0741264200767354i,-0.130257521286106-0.0201102596323933i,-0.288755397977951+0.183889055726726i,-0.328852667005834+0.109879983972829i,-0.129552308528281-0.0197795815936941i,0.265217644185711-0.194873974329831i,-0.328852667005837+0.109879983972829i,0.255226493079015+0.0146487778653233i
3.7,-0.358624844222003+0.190377904380051i,-0.442883349935357+0.11164780208551i,0.30724160053662-0.0850331884399896i,-0.0617307501120077-0.0128135388002069i,-0.442883349935362+0.111647802085512i,0.261105021207774-0.0138582664234778i,-0.0619235332354659-0.0129711090689917i,0.0700314013083825-0.0563067440879408i,0.307241600536617-0.0850331884399893i,-0.0619235332354606-0.0129711090689906i,-0.357362012288112+0.189270031804235i,-0.443111603544796+0.112537156126245i,-0.0617307501120031-0.0128135388002059i,0.0700314013083845-0.0563067440879429i,-0.443111603544793+0.112537156126245i,0.260088770472813-0.0137498109214313i
3.8,-0.403516735024565+0.174179752118865i,-0.526289572598546+0.0700700999298304i,0.230561794828044-0.0826620413221283i,0.0261565949359119+0.00601722560891535i,-0.526289572598556+0.0700700999298284i,0.199586361966096-0.0309429690451046i,0.0265592134635144+0.00616267448810061i,-0.108787291330499+0.0830418930309774i,0.23056179482804-0.0826620413221251i,0.0265592134635243+0.00616267448810264i,-0.401988849024248+0.173043713029368i,-0.527112714292226+0.0707731858759653i,0.0261565949359174+0.00601722560891637i,-0.108787291330503+0.0830418930309812i,-0.527112714292225+0.0707731858759695i,0.198405904883317-0.0308090030419705i
3.9,-0.424604073672327+0.143099823306504i,-0.556235140033571-0.00683091741633365i,0.139844451465025-0.0629190718074105i,0.125852527661135+0.0262136361232142i,-0.556235140033573-0.00683091741633992i,0.0815189697094423-0.0169329772675629i,0.127019499451458+0.0266856905961261i,-0.290500754999849+0.184169193611499i,0.139844451465029-0.0629190718074106i,0.127019499451458+0.0266856905961244i,-0.422872401742298+0.141996211233941i,-0.55720614693342-0.00661117202632796i,0.125852527661128+0.0262136361232118i,-0.290500754999843+0.184169193611493i,-0.557206146933426-0.00661117202632398i,0.0800014289166417-0.0166513971246071i
