Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(2,1))[]","rect(S(2,2))[]"
3,0.192896912756496-0.17107372865581i,-0.516520133458568+0.117429824687455i,-0.516520133458569+0.117429824687456i,0.334514686513512-0.25627052820922i
3.1,0.115092028658317-0.116172803291436i,-0.52435260906379+0.0417188048759622i,-0.524352609063791+0.0417188048759629i,0.123749275566354-0.122928242995844i
3.2,0.0370131241533963-0.0420265778756655i,-0.465784844359548-0.0251061887901532i,-0.465784844359549-0.025106188790153i,-0.0906394887306312+0.0968427562541748i
3.3,-0.0458733105282337+0.057217694500168i,-0.350029085741785-0.0532615037297601i,-0.350029085741785-0.0532615037297607i,-0.348111753967316+0.306998226174345i
3.4,-0.13867860490911+0.18023048170327i,-0.202657115600768-0.0374766724797863i,-0.202657115600768-0.0374766724797864i,-0.668978446566695+0.339831804285241i
3.5,-0.250236200943808+0.309740533776392i,-0.0622694747464944-0.00810655111197717i,-0.0622694747464925-0.00810655111197687i,-0.893680874902511+0.0767269738946295i
3.6,-0.388054119337984+0.409884013979707i,0.0225058301366199+6.54735921105138E-05i,0.0225058301366202+6.54735921104708E-05i,-0.789102405493512-0.273346657291764i
3.7,-0.542222377326857+0.44274613286022i,0.0154840851532265-0.00230738513563283i,0.0154840851532249-0.00230738513563261i,-0.459939928540444-0.35591177465997i
3.8,-0.682050335476951+0.396867157156827i,-0.0733741771142358+0.0199687422154772i,-0.0733741771142365+0.0199687422154773i,-0.161039425948425-0.169554213491108i
3.9,-0.778591599607016+0.29226136327591i,-0.205316160772529+0.0670538401260573i,-0.205316160772529+0.067053840126057i,0.0704058771535849+0.072087071656197i
4,-0.819067034709803+0.15725951639416i,-0.34877275375618+0.104234360276598i,-0.348772753756179+0.104234360276598i,0.280738384830987+0.223847836310695i
4.1,-0.795704142634392+0.0138234062706342i,-0.479063878561142+0.0955181451139761i,-0.479063878561142+0.0955181451139761i,0.460998643841183+0.252890769352055i
4.2,-0.689352371979803-0.109905267121024i,-0.559358993401927+0.0253047876950131i,-0.559358993401926+0.0253047876950122i,0.584558820575395+0.201433911209767i
4.3,-0.474325311177435-0.148536609844976i,-0.528643945273865-0.0734594511866724i,-0.528643945273861-0.0734594511866713i,0.666957882710571+0.126854892408865i
4.4,-0.183246007763267-0.0537742782879128i,-0.366888355371477-0.0939545912532991i,-0.366888355371479-0.0939545912532972i,0.758913233027771+0.0279312437396565i
4.5,-0.0209673875535531-0.000445466640643972i,-0.236102464217961-0.0441547274362186i,-0.236102464217965-0.0441547274362196i,0.796722032828329-0.168387900814084i
4.6,-0.114860836940288+0.0225633995370945i,-0.25376644065028-0.0236957792503876i,-0.253766440650278-0.0236957792503879i,0.639272986915141-0.336511940541598i
4.7,-0.246696158317659+0.0605462855014651i,-0.321116355929026-0.0276390459793827i,-0.321116355929024-0.0276390459793816i,0.412309873949264-0.328981582654862i
4.8,-0.328670926696597+0.0721229602174274i,-0.368236065893072-0.0496729220329061i,-0.368236065893073-0.0496729220329046i,0.219454197076959-0.213181082929022i
4.9,-0.367784443529443+0.0671052878959554i,-0.383185596955487-0.0800102215353712i,-0.383185596955489-0.0800102215353709i,0.0593121501696836-0.0610079540389799i
5,-0.3819543423478+0.0596565153369598i,-0.368436735762287-0.108448261513122i,-0.36843673576229-0.108448261513123i,-0.0909333578751816+0.0884076999198205i
5.1,-0.386287470043333+0.0566027285467692i,-0.327341095949676-0.126336760029184i,-0.327341095949677-0.126336760029185i,-0.249778691973509+0.206187764380674i
5.2,-0.393217068974264+0.0605093954214133i,-0.262007938214531-0.125464760854134i,-0.26200793821453-0.125464760854134i,-0.422895041861167+0.262286478349087i
