"Freq [GHz]","im(Z(1,1)) [] - antL='0.28meter'","re(Z(1,1)) [] - antL='0.28meter'"
0.1,-330.03701404416,1.08731893965184
0.105,-310.862244751333,1.09871398336975
0.11,-293.257563237379,1.11103090688072
0.115,-277.01636099974,1.12410649536846
0.12,-261.9663011222,1.1377638104397
0.125,-247.962445643851,1.15181242672031
0.13,-234.881966786191,1.16604826817936
0.135,-222.620030987728,1.18025274779169
0.14,-211.086561864507,1.19419083252159
0.145,-200.20366892123,1.20760759350481
0.15,-189.903585110487,1.22022278946764
0.155,-180.126996083795,1.23172311530943
0.16,-170.821672243196,1.24175198945873
0.165,-161.941335037876,1.24989723509477
0.17,-153.444703610346,1.25567782371106
0.175,-145.294678743245,1.25853207049829
0.18,-137.457629283787,1.25781129412584
0.185,-129.902752994011,1.25278477302827
0.19,-122.601489722121,1.24266326923871
0.195,-115.526970179844,1.22664834067241
0.2,-108.653487242939,1.20401150444486
0.205,-101.955975320934,1.1741994055775
0.21,-95.4094704200701,1.13694799344028
0.215,-88.988488087523,1.09237253379373
0.22,-82.6661808865655,1.04098681281691
0.225,-76.412986237132,0.983601827059274
0.23,-70.1941535584785,0.9210679023357
0.235,-63.9647141714556,0.853859090036923
0.24,-57.65761529736,0.781554781104303
0.245,-51.1428001771022,0.701910938206782
0.25,-44.6147755733717,0.727929138172183
0.255,-34.9553799866184,0.815592347451609
0.26,-30.6683899668789,0.654143175977903
0.265,-12.279887381487,2.15307532413742
0.27,-34.2209446447269,14.5936035052183
0.275,-2.08540510007795,3.70799024215995
0.28,-25.4902760565484,72.7045626449782
0.285,-6.60458198728338,18.5994744848271
0.29,-35.2727129663819,27.1751729868156
0.295,-19.292422992696,10.3834746042009
0.3,-8.34221064067661,8.17591141788378
0.305,0.178315807315034,8.18250112583835
0.31,7.65250427015784,9.04394500537881
0.315,14.5481562984506,10.4723744142206
0.32,21.0188038666679,12.3930355972973
0.325,27.0751833440387,14.771402852892
0.33,32.6562630537546,17.5459898497772
0.335,37.6876786790579,20.5913755282351
0.34,42.1500987679235,23.715966303781
0.345,46.1384602184546,26.7110521943027
0.35,49.8718172380975,29.4362906210895
0.355,53.6447154952273,31.891337284271
0.36,57.7618073368424,34.2464779007092
0.365,62.4912733317153,36.8676742172455
0.37,68.0053156987565,40.4053339664134
0.375,74.1517535922264,46.0055685679629
0.38,79.5891302256053,55.4937028926387
0.385,79.6544213666709,69.9151174113195
0.39,67.7043311452493,82.4814534550403
0.395,50.9668652804626,80.4766007345691
0.4,43.7502536944313,69.1944253697516
0.405,44.9187967646979,59.2071598166884
0.41,49.3905783959138,52.655474669458
0.415,54.7609525173254,48.6552036387282
0.42,60.2296272251328,46.2846720518665
0.425,65.5688889566953,44.9626929764654
0.43,70.732368566355,44.3488638681402
0.435,75.7267461011644,44.2415108817443
0.44,80.570984281521,44.5166144699988
0.445,85.2841003835509,45.0941474647736
0.45,89.8824069313828,45.9195456451543
0.455,94.3799524597544,46.953404410853
0.46,98.7900245220893,48.1658880657975
0.465,103.126882058572,49.5341383098281
0.47,107.4072077589,51.0418589722719
0.475,111.65073350554,52.6806056150803
0.48,115.879357868753,54.4522773288676
0.485,120.114036355336,56.371966985367
0.49,124.36898479965,58.4697764580886
0.495,128.643485039243,60.7896640813611
0.5,132.912901394597,63.3832508585404
0.505,137.122218814629,66.2973005364944
0.51,141.186846139549,69.5558223831102
0.515,145.005311211641,73.1415272123678
0.52,148.485064448217,76.9855961066784
0.525,151.57496776285,80.9761482477575
0.53,154.289021158064,84.9897371757231
0.535,156.70392414373,88.935817563197
0.54,158.925694462711,92.7911430095428
0.545,161.040962280155,96.6042877675448
0.55,163.077221279608,100.469757726439
0.555,164.98578280102,104.487078369836
0.56,166.645983234404,108.720136918279
0.565,167.882272817793,113.1629328576
0.57,168.486829819068,117.706452873162
0.575,168.256866500503,122.08554244702
0.58,167.124355982767,125.795071896557
0.585,165.512755208386,128.182528095759
0.59,164.464110403094,129.184928611871
0.595,164.516225113079,129.796054687626
0.6,164.90812647707,130.698084570934
0.605,164.928699720343,131.211038364118
0.61,165.151454747141,130.332679120645
0.615,166.922190246994,128.016766129109
0.62,171.299530181128,125.244606460386
0.625,178.599181925179,123.464864815943
0.63,188.381861604138,124.151854919377
0.635,199.547242223657,128.483200842942
0.64,210.605409540783,137.045395594528
0.645,220.406805997432,150.136299592153
0.65,225.729586491275,171.536289167705
0.655,215.067531811203,183.752707835685
0.66,217.176530453461,195.479968765711
0.665,208.91373316638,216.67767336662
0.67,186.335749783106,229.615066529795
0.675,162.217586981536,225.624585124594
0.68,148.801368125221,210.198477401595
0.685,150.232722887291,194.278498857992
0.69,161.775766950375,191.279628431936
0.695,159.091796597844,207.781126085381
0.7,122.689952545919,195.097758134228
0.705,135.471093856088,146.954787066948
0.71,175.237707140381,127.707835367028
0.715,227.653780756694,135.504708120727
0.72,269.068294961249,182.164659338247
0.725,276.700392842067,259.399728713325
0.73,200.735413181717,303.424440064508
0.735,206.168419639408,292.313331918462
0.74,109.778861679837,395.964309026769
0.745,-16.4179849334713,286.230229307676
0.75,19.801394605762,157.657806904623
0.755,104.380407437104,116.852375387112
0.76,221.718285218911,181.162280020856
0.765,-45.1196304762339,202.28152273858
0.77,89.9905619988763,72.574551894143
0.775,190.532473508865,85.8491749418893
0.78,214.758207051562,177.797924782569
0.785,115.591437892205,344.782096080153
0.79,109.369394699665,95.6754883447421
0.795,82.8481019368118,315.401301397273
0.8,80.6567201951334,51.7442295183832
0.805,160.021820800385,38.8911790020779
0.81,205.00816595868,65.5192494913117
0.815,195.882800555524,43.3386412742081
0.82,266.284891919394,36.5598763216873
0.825,217.434936552658,44.9303448439003
0.83,287.211777679241,18.9924441636824
0.835,333.908640917142,19.6337049548766
0.84,378.455494716323,23.4399727420476
0.845,425.464356374747,29.6039458492266
0.85,477.440557197774,38.6807489602653
0.855,536.726156935162,51.8694520276298
0.86,606.09987698749,71.2132958292086
0.865,689.186951194938,100.196737359869
0.87,790.853084931852,144.986716093299
0.875,917.414526907053,217.044283317877
0.88,1075.5826023524,338.799767814779
0.885,1265.25554157439,555.794445354052
