"Freq [GHz]","re(Z(1,1)) [] - antL='0.48meter'","im(Z(1,1)) [] - antL='0.48meter'"
0.1,0.841649686071711,-179.92435753454
0.105,0.859317164262019,-166.823146923595
0.11,0.879360463324191,-154.674624917103
0.115,0.901811008239983,-143.350330867081
0.12,0.926696243739123,-132.742856168346
0.125,0.954039946954388,-122.761593833518
0.13,0.983862520113221,-113.329461630171
0.135,1.01618136211851,-104.380344593608
0.14,1.0510114454069,-95.8570748364256
0.145,1.08836628266057,-87.7098160752637
0.15,1.12825958106296,-79.894754704217
0.155,1.1707080858203,-72.3730232831581
0.16,1.21573645768251,-65.1097991321363
0.165,1.26338557389128,-58.0735322847035
0.17,1.31372645952921,-51.235264731601
0.175,1.36688321648253,-44.5680073854663
0.18,1.4230698665844,-38.0461428219383
0.185,1.48264796709653,-31.6448203189424
0.19,1.54621416459159,-25.339303759276
0.195,1.61472961811044,-19.1042195927011
0.2,1.68970711945407,-12.9126248635487
0.205,1.77347914974921,-6.73476113105885
0.21,1.86958747809823,-0.536251386870376
0.215,1.98337770413574,5.72472806029754
0.22,2.12298768088013,12.1022676343353
0.225,2.30119075633433,18.6717509993418
0.23,2.5393773263687,25.5491148616303
0.235,2.87862645414963,32.9430414161693
0.24,3.45239560202157,41.4455290544231
0.245,3.8609027766264,48.2948289759172
0.25,5.68648905358998,65.3105391423012
0.255,9.25023774807061,61.5833386383367
0.26,34.9450480131528,118.675577584767
0.265,13.7049416800865,50.1979221155275
0.27,79.6517910702578,61.9030365509031
0.275,20.3068672780967,47.4188752789302
0.28,35.7538790177789,67.7049959358963
0.285,62.1635702154426,65.7726003898247
0.29,19.1908744726056,30.1227928867372
0.295,7.96362772337958,53.3214369326066
0.3,5.80190377832063,67.3269387893012
0.305,5.31817895987976,78.2216191947682
0.31,5.45706236883246,87.7812425142251
0.315,5.95675074566308,96.7000759841281
0.32,6.74448083388429,105.302378918148
0.325,7.80115132679014,113.749546447056
0.33,9.11055859093974,122.123207775219
0.335,10.6355646584085,130.479439174281
0.34,12.3214368554697,138.897495224971
0.345,14.1301251054213,147.512099966158
0.35,16.0883687362307,156.513101459269
0.355,18.3259480033463,166.120254526221
0.36,21.1069773697808,176.555737667555
0.365,24.8894150866915,188.014911284584
0.37,30.4636006536219,200.576961860583
0.375,39.1914372617609,213.855549445754
0.38,53.0111944435081,225.86539200832
0.385,72.0830454607153,230.942417916096
0.39,87.4649262646515,223.319957381745
0.395,87.2096655872634,212.842997509096
0.4,78.266879598961,213.471680468389
0.405,71.3507083197855,223.821182945046
0.41,68.9917130356729,238.824843426992
0.415,70.6443667371724,255.960093935518
0.42,75.6809719859421,274.360122408423
0.425,83.8933849175928,293.773046082443
0.43,95.4528922673508,314.099587541227
0.435,110.83630038452,335.182154986566
0.44,130.77410658473,356.658260159625
0.445,156.189352978188,377.801733008029
0.45,188.069217906919,397.327542793944
0.455,227.188126059874,413.187035781951
0.46,273.59882658688,422.470382411953
0.465,325.899270267569,421.665535058371
0.47,380.56668300368,407.584102915175
0.475,432.054311264911,378.960213919837
0.48,474.322803605593,337.900267779637
0.485,503.390572376141,289.762949669463
