"Freq [GHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.001meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'"
2,0.633304411771445
2.25,0.748900940465707
2.5,0.974313456236405
2.75,1.28939155102565
3,1.69369738491417
3.25,2.20636796495347
3.5,2.87139034181943
3.75,3.7698214904229
4,5.04405464473855
4.25,6.94637862976365
4.5,9.94161676745245
4.75,15.0079658197811
5,29.7223033265798
5.25,97.7926159792339
5.5,129.552494659393
5.75,608.951622749547
6,153.262614929261
6.25,84.9630107129305
6.5,77.7122826237566
6.75,86.253618407001
7,104.738262428979
