"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) []"
100,0.994840737419842
100.5,0.994846096907124
101,0.994851053511125
101.5,0.994855613015641
102,0.994859781090033
102.5,0.994863563292053
103,0.99486696507061
103.5,0.994869991768447
104,0.994872648624752
104.5,0.99487494077771
105,0.994876873266974
105.5,0.994878451036081
106,0.994879678934805
106.5,0.994880561721443
107,0.994881104065051
107.5,0.994881310547612
108,0.994881185666156
108.5,0.994880733834828
109,0.994879959386892
109.5,0.994878866576698
110,0.994877459581587
110.5,0.99487574250376
111,0.994873719372089
111.5,0.994871394143889
112,0.994868770706647
112.5,0.994865852879703
113,0.994862644415894
113.5,0.994859149003156
114,0.994855370266088
114.5,0.994851311767472
115,0.99484697700977
115.5,0.994842369436567
116,0.994837492433996
116.5,0.994832349332114
117,0.994826943406261
117.5,0.994821277878371
118,0.994815355918266
118.5,0.994809180644911
119,0.994802755127643
119.5,0.99479608238737
120,0.994789165397747
120.5,0.99478200708632
121,0.994774610335647
121.5,0.994766977984391
122,0.994759112828393
122.5,0.994751017621718
123,0.994742695077678
123.5,0.994734147869835
124,0.99472537863298
124.5,0.99471638996409
125,0.994707184423271
125.5,0.994697764534671
126,0.994688132787383
126.5,0.994678291636325
127,0.994668243503101
127.5,0.99465799077685
128,0.994647535815068
128.5,0.994636880944427
129,0.994626028461565
129.5,0.99461498063387
130,0.994603739700242
130.5,0.994592307871848
131,0.994580687332856
131.5,0.99456888024116
132,0.994556888729088
132.5,0.994544714904103
133,0.994532360849487
133.5,0.994519828625013
134,0.994507120267607
134.5,0.994494237792005
135,0.994481183191384
135.5,0.994467958438001
136,0.994454565483807
136.5,0.994441006261062
137,0.994427282682937
137.5,0.994413396644101
138,0.994399350021314
138.5,0.994385144673998
139,0.994370782444806
139.5,0.994356265160188
140,0.994341594630938
140.5,0.994326772652749
141,0.994311801006748
141.5,0.994296681460035
142,0.994281415766212
142.5,0.994266005665905
143,0.994250452887283
143.5,0.994234759146574
144,0.994218926148571
144.5,0.99420295558714
145,0.994186849145721
145.5,0.994170608497823
146,0.994154235307518
146.5,0.994137731229937
147,0.994121097911752
147.5,0.994104336991666
148,0.994087450100895
148.5,0.994070438863651
149,0.994053304897621
149.5,0.994036049814446
150,0.994018675220201
150.5,0.994001182715869
151,0.993983573897821
151.5,0.993965850358291
152,0.993948013685855
152.5,0.993930065465906
153,0.993912007281134
153.5,0.993893840712005
154,0.993875567337246
154.5,0.993857188734321
155,0.993838706479921
155.5,0.993820122150449
156,0.993801437322512
156.5,0.993782653573415
157,0.993763772481654
157.5,0.99374479562742
158,0.993725724593105
158.5,0.993706560963806
159,0.993687306327845
159.5,0.993667962277283
160,0.993648530408452
160.5,0.99362901232248
161,0.993609409625831
161.5,0.993589723930851
162,0.993569956856317
162.5,0.993550110028
163,0.993530185079228
163.5,0.993510183651467
164,0.993490107394906
164.5,0.993469957969048
165,0.993449737043319
165.5,0.993429446297684
166,0.993409087423269
166.5,0.993388662123006
167,0.993368172112279
167.5,0.99334761911959
168,0.993327004887231
168.5,0.993306331171982
169,0.993285599745811
169.5,0.993264812396594
170,0.993243970928856
170.5,0.993223077164519
171,0.993202132943676
171.5,0.993181140125373
172,0.993160100588425
172.5,0.993139016232235
173,0.993117888977645
173.5,0.993096720767799
174,0.993075513569039
174.5,0.993054269371815
175,0.993032990191621
175.5,0.993011678069957
176,0.992990335075318
176.5,0.992968963304205
177,0.99294756488217
177.5,0.992926141964886
178,0.992904696739245
178.5,0.992883231424495
179,0.992861748273401
179.5,0.992840249573445
180,0.99281873764806
180.5,0.992797214857896
181,0.992775683602132
181.5,0.99275414631982
182,0.992732605491269
182.5,0.992711063639481
183,0.992689523331619
183.5,0.992667987180525
184,0.992646457846288
184.5,0.992624938037856
185,0.992603430514699
185.5,0.992581938088531
186,0.992560463625075
186.5,0.992539010045895
187,0.992517580330277
187.5,0.992496177517181
188,0.992474804707244
188.5,0.992453465064859
189,0.992432161820306
189.5,0.992410898271971
190,0.992389677788623
190.5,0.992368503811765
191,0.992347379858072
191.5,0.992326309521899
192,0.99230529647787
192.5,0.992284344483556
193,0.992263457382239
193.5,0.992242639105762
194,0.99222189367747
194.5,0.992201225215256
195,0.992180637934688
195.5,0.992160136152251
196,0.992139724288678
196.5,0.992119406872398
197,0.992099188543081
197.5,0.992079074055301
198,0.992059068282303
198.5,0.992039176219886
199,0.992019402990405
199.5,0.991999753846884
200,0.991980234177251
200.5,0.991960849508684
201,0.991941605512087
201.5,0.991922508006674
202,0.991903562964676
202.5,0.991884776516158
203,0.991866154953957
203.5,0.991847704738722
204,0.991829432504059
204.5,0.991811345061781
205,0.99179344940724
205.5,0.991775752724746
206,0.991758262393055
206.5,0.991740985990906
207,0.99172393130261
207.5,0.991707106323643
208,0.991690519266248
208.5,0.991674178564996
209,0.991658092882287
209.5,0.991642271113749
210,0.991626722393491
210.5,0.99161145609916
211,0.991596481856741
211.5,0.991581809545032
212,0.99156744929972
212.5,0.991553411516957
213,0.991539706856336
213.5,0.991526346243146
214,0.991513340869767
214.5,0.991500702196029
215,0.991488441948375
215.5,0.991476572117579
216,0.991465104954807
216.5,0.991454052965711
217,0.991443428902229
217.5,0.991433245751733
218,0.991423516723053
218.5,0.991414255228914
219,0.991405474864167
219.5,0.991397189379162
220,0.991389412647489
220.5,0.991382158627165
221,0.99137544131426
221.5,0.991369274687719
222,0.99136367264401
222.5,0.991358648919955
223,0.991354217001855
223.5,0.991350390018712
224,0.991347180616982
224.5,0.991344600813844
225,0.991342661825516
225.5,0.991341373866472
226,0.991340745914785
226.5,0.991340785437911
227,0.991341498072285
227.5,0.991342887248856
228,0.99134495375532
228.5,0.991347695224051
229,0.991351105532726
229.5,0.991355174102172
230,0.991359885072995
230.5,0.991365216338964
231,0.991371138410809
231.5,0.991377613078763
232,0.991384591835796
232.5,0.991392014015575
233,0.991399804589534
233.5,0.991407871555555
234,0.991416102836057
234.5,0.991424362585103
235,0.991432486781443
235.5,0.991440277956188
236,0.991447498868287
236.5,0.991453864896414
237,0.991459034859425
237.5,0.991462599905993
238,0.99146407002276
238.5,0.991462857593472
239,0.991458257291184
239.5,0.991449421391232
240,0.99143532934006
240.5,0.991414750085211
241,0.991386195238968
241.5,0.991347860577183
242,0.991297552617845
242.5,0.991232596015132
243,0.991149716153742
243.5,0.991044889510674
244,0.990913151895813
244.5,0.990748351352799
245,0.990542827975288
