"Freq [MHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
100,3.58801566654112,214.808655876931
100.5,3.65894950248633,216.40288285817
101,3.73093579605869,218.007952486668
101.5,3.8039941399438,219.62402318151
102,3.87814459742296,221.251256264057
102.5,3.95340771579699,222.88981602758
103,4.02980454026133,224.539869808922
103.5,4.10735662824802,226.201588062215
104,4.18608606425604,227.875144434768
104.5,4.26601547518482,229.560715845163
105,4.34716804619436,231.258482563657
105.5,4.42956753711051,232.968628294964
106,4.51323829939767,234.691340263499
106.5,4.59820529372222,236.426809301168
107,4.68449410812906,238.175229937806
107.5,4.77213097685645,239.936800494334
108,4.86114279981613,241.71172317876
108.5,4.95155716276385,243.500204185099
109,5.04340235818909,245.302453795341
109.5,5.13670740695591,247.118686484556
110,5.23150208072106,248.949121029265
110.5,5.32781692516779,250.793980619187
111,5.42568328408313,252.653492972498
111.5,5.5251333243193,254.527890454715
112,5.62620006167428,256.417410201352
112.5,5.72891738772881,258.322294244486
113,5.83332009768553,260.242789643379
113.5,5.93944391924764,262.179148619306
114,6.04732554258632,264.131628694756
114.5,6.15700265144153,266.100492837164
115,6.26851395540719,268.086009607357
115.5,6.38189922345221,270.088453312883
116,6.49719931873111,272.108104166431
116.5,6.61445623474262,274.145248449522
117,6.73371313289692,276.200178681684
117.5,6.85501438155195,278.273193795337
118,6.97840559658911,280.364599316601
118.5,7.10393368359538,282.474707552265
119,7.23164688172509,284.603837783176
119.5,7.36159480932215,286.75231646429
120,7.49382851137856,288.920477431673
120.5,7.62840050892068,291.108662116714
121,7.76536485040698,293.317219767873
121.5,7.90477716523887,295.546507680253
122,8.04669471947817,297.796891433323
122.5,8.19117647388168,300.068745137156
123,8.33828314436006,302.362451687502
123.5,8.4880772649792,304.678403030106
124,8.64062325363022,307.017000434639
124.5,8.79598748049258,309.37865477867
125,8.95423833943329,311.763786842097
125.5,9.1154463224844,314.172827612504
126,9.27968409755157,316.606218601912
126.5,9.44702658951854,319.064412175428
127,9.61755106491532,321.547871892311
127.5,9.79133722033231,324.057072860017
128,9.96846727477184,326.592502101798
128.5,10.1490260661402,329.154658938458
129,10.333101152092,331.744055384921
129.5,10.520782915455,334.361216562282
130,10.7121646744778,337.006681126038
130.5,10.9073427981502,339.681001711267
131,11.1064168268693,342.384745395534
131.5,11.3094895987369,345.118494180344
132,11.5166673817911,347.882845492036
132.5,11.7280600124921,350.678412703021
133,11.9437810408102,353.505825674347
133.5,12.1639478822681,356.365731320616
134,12.3886819773361,359.258794198329
134.5,12.6181089585798,362.185697118804
135,12.8523588259996,365.147141786875
135.5,13.0915661310292,368.143849466646
136,13.3358701696781,371.176561675647
136.5,13.585415185354,374.246040908811
137,13.8403505819152,377.353071393783
137.5,14.1008311475538,380.498459879156
138,14.3670172901494,383.683036457313
138.5,14.6390752847607,386.907655423669
139,14.9171775339904,390.173196174199
139.5,15.2015028419902,393.480564143258
140,15.4922367029304,396.830691783826
140.5,15.7895716048208,400.224539592412
141,16.0937073496233,403.66309718104
141.5,16.404851390665,407.147384398828
142,16.7232191884341,410.67845250587
142.5,17.0490345859138,414.25738540229
143,17.3825302046953,417.885300915504
143.5,17.7239478631967,421.56335214894
144,18.0735390184171,425.29272889565
144.5,18.4315652327498,429.074659120499
145,18.7982986675034,432.910410514827
145.5,19.1740226048952,436.801292127748
146,19.5590320004092,440.748656078534
146.5,19.9536340675685,444.753899354805
147,20.3581488973174,448.81846570159
147.5,20.7729101143704,452.943847606644
148,21.1982655730993,457.131588387785
148.5,21.6345780956898,461.383284388416
149,22.0822262555453,465.700587287804
149.5,22.5416052091465,470.08520653319
150,23.0131275798207,474.538911901236
150.5,23.4972243971793,479.063536196928
151,23.9943460962596,483.660978098581
151.5,24.5049635807793,488.333205158233
152,25.0295693552331,493.082256967405
152.5,25.568678731013,497.910248498936
153,26.1228311121262,502.81937363638
153.5,26.692591366595,507.811908903351
154,27.2785512901402,512.890217406094
154.5,27.8813311693252,518.056753003636
155,28.5015814519834,523.31406472091
155.5,29.1399845334347,528.664801421498
156,29.7972566677861,534.111716757937
156.5,30.4741500144301,539.657674418922
157,31.1714548308222,545.305653694356
157.5,31.8900018236197,551.058755380825
158,32.6306646714091,556.920208051972
158.5,33.394362733523,562.893374720231
159,34.1820639608105,568.98175991862
159.5,34.9947880257922,575.189017233679
160,35.8336096913369,581.518957323308
160.5,36.6996624388675,587.975556456149
161,37.594142379266,594.562965612332
161.5,38.5183124719417,601.28552018893
162,39.4735070801855,608.147750357271
162.5,40.4611368938177,615.154392123508
163,41.4826942534226,622.310399148512
163.5,42.5397589140831,629.620955388223
164,43.6340042906188,637.09148862137
164.5,44.7672042309053,644.727684937599
165,45.9412403689579,652.53550426606
165.5,47.1581101152704,660.521197032108
166,48.4199353483237,668.691322038276
166.5,49.7289718785744,677.052765675075
167,51.0876197643796,685.612762577648
167.5,52.4984345687544,694.378917855866
168,53.9641396563002,703.359231038474
168.5,55.4876396416922,712.562121886173
169,57.0720351146592,721.996458244734
169.5,58.7206387818326,731.671586127062
170,60.4369931834774,741.597362233292
170.5,62.2248901631455,751.784189140401
171,64.0883922912953,762.243053418085
171.5,66.0318564701836,772.985566955845
172,68.0599599774681,784.024011818092
172.5,70.1777292406498,795.371388979789
173,72.3905716743665,807.041471335495
173.5,74.7043109585994,819.048861420141
174,77.1252261890663,831.409054331272
174.5,79.6600953928063,844.13850640067
175,82.3162439734872,857.254710229097
175.5,85.1015987343592,870.776276772757
176,88.0247482239438,884.723025254926
176.5,91.0950102631009,899.116081772958
177,94.3225076453136,913.977987580876
177.5,97.7182531583285,929.332818153504
178,101.29424525952,945.206314281559
178.5,105.063575954734,961.626026611385
179,109.040552687894,978.621475231058
179.5,113.240836354321,996.224326120344
180,117.681597914667,1014.46858652965
180.5,122.381696521097,1033.39082163792
181,127.361882588033,1053.03039516687
181.5,132.645029865487,1073.42973700642
182,138.256401327422,1094.63464134072
182.5,144.223954600071,1116.69459926546
183,150.578693762869,1139.6631704648
183.5,157.355075704129,1163.59839918255
184,164.591480863579,1188.56328048911
184.5,172.330760219281,1214.62628372836
185,180.620872872375,1241.8619410416
185.5,189.5156316713,1270.3515100244
186,199.075578154812,1300.18372089194
186.5,209.369012882509,1331.4556200206
187,220.473213225809,1364.27352340513
187.5,232.475878254781,1398.75409541641
188,245.476849926762,1435.02557024117
188.5,259.59017195413,1473.22913547515
189,274.946563287087,1513.52049941626
189.5,291.6964031377,1556.07166546845
190,310.013350293433,1601.07293838801
190.5,330.098753004246,1648.73518733052
191,352.187049518272,1699.29238889038
191.5,376.55241684039,1753.00446811554
192,403.51700119745,1810.16044450202
192.5,433.461164447862,1871.08186949724
193,466.83631508334,1936.12650609866
193.5,504.181072629224,2005.69214013478
194,546.141756701479,2080.22031130785
194.5,593.498519250066,2160.19958503681
195,647.198880917212,2246.16771281196
195.5,708.401029841376,2338.7115823794
196,778.530043978046,2438.46312948246
196.5,859.351264484105,2546.08818737277
197,953.066433053505,2662.26328411975
197.5,1062.43992867382,2787.63215103098
198,1190.96439505525,2922.72832547732
198.5,1343.07680755967,3067.84130125032
199,1524.43635704301,3222.78888737934
199.5,1742.27134039766,3386.53415882414
200,2005.78630092433,3556.54643039854
200.5,2326.57676680328,3727.74621804809
201,2718.89273966521,3890.79305433264
201.5,3199.35629341099,4029.39516439833
202,3785.26118533089,4116.34444061527
202.5,4489.74961714381,4108.42667792355
203,5311.14351183666,3941.97783997982
203.5,6213.90168874147,3534.79014680677
204,7104.30114260725,2805.90965177776
204.5,7820.26543124717,1724.30094161493
205,8171.64155556138,371.051850259004
205.5,8040.03871480625,-1047.90241465497
206,7462.51346809569,-2289.35737980566
206.5,6605.86967719015,-3197.07636048364
207,5660.98040438123,-3747.37295747195
207.5,4762.98226756899,-4004.72196335702
208,3976.90630008732,-4058.57050958671
208.5,3318.80444237122,-3986.61018626029
209,2779.970086166,-3844.4477226607
209.5,2342.73945716406,-3667.94706320701
210,1988.38650126729,-3478.77709596341
210.5,1700.27113811807,-3289.37676583123
211,1464.67588384829,-3106.49800992129
211.5,1270.68605927638,-2933.50223803947
212,1109.7570617476,-2771.77997899223
212.5,975.239482636383,-2621.6066405766
213,861.959546415663,-2482.65068052976
213.5,765.878732740974,-2354.27190726163
214,683.828458088627,-2235.69433637409
214.5,613.30721265435,-2126.10445983259
215,552.326749137293,-2024.70534204392
215.5,499.295723933896,-1930.7446937158
216,452.931547084569,-1843.52775686103
216.5,412.193360490998,-1762.42146907768
217,376.230827590928,-1686.85376532632
217.5,344.344779519345,-1616.31031012431
218,315.956785846303,-1550.3300115964
218.5,290.585475911036,-1488.50010160218
219,267.827994736377,-1430.45122456455
219.5,247.345387534301,-1375.85277263731
220,228.851008446404,-1324.40858284732
220.5,212.10127169355,-1275.85304033586
221,196.888228144978,-1229.94759101286
221.5,183.033573001462,-1186.47764472077
222,170.383782077176,-1145.24983895502
222.5,158.806143219917,-1106.08962874398
223,148.185501653963,-1068.83916765449
223.5,138.421577781317,-1033.35544635074
224,129.4267463946,-999.50865765891
224.5,121.12418966052,-967.180760061343
225,113.446354342298,-936.264214601897
225.5,106.333657816325,-906.660873129632
226,99.7333984541084,-878.280998537476
226.5,93.5988345983336,-851.042400121496
227,87.8884032005711,-824.869669383848
227.5,82.5650546155731,-799.693503537812
228,77.5956843749907,-775.450105664117
228.5,72.9506462295465,-752.080651938107
229,68.603333537391,-729.530817621013
229.5,64.5298183290783,-707.750354609517
230,60.7085392070264,-686.692714288176
230.5,57.1200307254848,-666.314710248954
231,53.7466881136404,-646.576216149
231.5,50.5725622027222,-627.439894587585
232,47.5831802399747,-608.870953409274
232.5,44.7653889516347,-590.836926294876
233,42.1072167801981,-573.307474894615
233.5,39.597752689714,-556.254210097872
234,37.227039323745,-539.650530328496
234.5,34.9859786277509,-523.471475010187
235,32.866248322347,-507.693591568472
235.5,30.8602278450818,-492.29481452889
236,28.9609325735913,-477.254355439308
236.5,27.1619553082508,-462.552602490947
237,25.4574141327253,-448.171028841001
237.5,23.8419058901825,-434.092108751897
238,22.3104646147988,-420.299240760469
238.5,20.8585243452949,-406.776677176645
239,19.4818858219334,-393.509459286894
239.5,18.1766866326115,-380.483357704439
240,16.9393744289877,-367.684817366852
240.5,15.7666828813451,-355.100906733496
241,14.6556100822497,-342.719270780959
241.5,13.6033991449276,-330.528087435086
242,12.6075207735076,-318.516027113943
242.5,11.665657609487,-306.672215087753
243,10.7756901825728,-294.986196389927
