"Freq [GHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.0001meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.001meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.0011meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.0021meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.0031meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.0041meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.005meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'"
2,0.360740874578121,0.633304411771445,0.69902370309577,1.73782759171658,3.51228049973066,6.23873282470939,10.0864758398194
2.25,0.519714437740199,0.748900940465707,0.888728771739589,1.95236760441792,3.78795773245259,6.60780619673205,10.7714513985389
2.5,0.732341738662324,0.974313456236405,1.12538908992754,2.2669952581996,4.23261956580756,7.20223841191113,11.5934300146694
2.75,1.0192163023033,1.28939155102565,1.42562881981766,2.68649671772409,4.82490111409324,8.01328249136464,12.5948569098448
3,1.41456680420123,1.69369738491417,1.81205806807788,3.22670905295592,5.56908294414227,9.05383940732922,13.8304681145953
3.25,1.97899364027444,2.20636796495347,2.31717347647517,3.91645669834755,6.49610354312921,10.3573391107814,15.3741611657004
3.5,2.83044389246833,2.87139034181943,2.99002438856202,4.80336974679525,7.66999056344459,11.9828688100705,17.3291249203554
3.75,4.23363095380343,3.7698214904229,3.90856095288732,5.96588503586295,9.19811076547468,14.0286132542935,19.8457779275291
4,6.94445671191399,5.04405464473855,5.20420644253699,7.53719817561686,11.2422473681274,16.6609279355767,23.1604779326452
4.25,14.5568977970893,6.94637862976365,7.11479093223643,9.7547823514616,14.0248496176652,20.1775918941892,27.6692993957897
4.5,184.834255973588,9.94161676745245,10.1100736480704,13.0692288972462,17.8537856530781,25.1410135488211,33.9285689072166
4.75,1.26343776969076,15.0079658197811,15.0702303757388,18.2014916797474,23.3058759410516,32.5012741153768,42.5834055442091
5,15.7455092131806,29.7223033265798,24.2330111918632,26.626869512044,31.7732684278366,43.2139275502581,54.6946738547521
5.25,43.6166319442853,97.7926159792339,88.6191055187416,149.997964550342,73.7025546009238,67.6571940893304,79.4396757160881
5.5,99.8060925293928,129.552494659393,122.546299824247,90.0647087566248,74.5712570003299,87.3190744794929,106.298449465608
5.75,672.147919489688,608.951622749547,591.208144832343,465.328692476195,362.99139483695,239.916915287863,224.795952414445
6,158.773860109092,153.262614929261,152.699042607044,152.261707519737,154.609620192253,147.404773052031,159.242775325994
6.25,80.6073933090344,84.9630107129305,86.543133596388,100.393178303517,116.849399645897,133.704243846825,153.411088928691
6.5,73.9174787306688,77.7122826237566,79.4702757713533,99.3926373160769,121.107392131439,144.370687106343,165.181724230213
6.75,88.6227175773355,86.253618407001,88.7885123431547,112.29191149002,136.802603666382,161.485302556908,180.620041450073
7,123.136378168577,104.738262428979,107.573597532989,133.489246345158,157.664926818296,180.343514426096,196.432715278287
