"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.1,0.627854187449926,-344.877533149184
0.105,0.686532603667408,-322.570525814421
0.11,0.754650635008793,-301.942993036062
0.115,0.832531948333499,-282.763756102439
0.12,0.920579998644854,-264.838867962116
0.125,1.01931781089958,-248.004010880529
0.13,1.12942238111281,-232.11863182984
0.135,1.25175613868305,-217.061352997228
0.14,1.38739889033114,-202.726330963931
0.145,1.5376842134424,-189.020328095953
0.15,1.70424464769673,-175.86031667808
0.155,1.88907059395006,-163.171484265188
0.16,2.09458869466917,-150.885537518624
0.165,2.32376681306277,-138.939222410325
0.17,2.58025467618204,-127.27299391021
0.175,2.86857183696926,-115.829776649744
0.18,3.19435783730551,-104.553762436285
0.185,3.5647031532096,-93.3891904791178
0.19,3.98858325424785,-82.2790494515577
0.195,4.47742129919315,-71.1636236693661
0.2,5.04580727795555,-59.9787699343176
0.205,5.71240449560207,-48.6537369210532
0.21,6.50108735370803,-37.1081873173552
0.215,7.44240716299304,-25.2477735588566
0.22,8.57565697785637,-12.956982250798
0.225,9.95231555736949,-0.0865902322466053
0.23,11.6431122826035,13.5702793600975
0.235,13.7558344502238,28.3301104082974
0.24,16.4982960446891,44.7725774046074
0.245,19.9100096695588,62.7734070265071
0.25,32.7454979164526,98.0890538557722
0.255,33.2354702146083,107.883479088136
0.26,84.5826678386887,203.293227383221
0.265,48.1361845763513,130.532336101122
0.27,327.070978060062,5.24957596247724
0.275,127.45213801633,95.6788400349097
0.28,120.175862481291,264.171188882126
0.285,706.024421740723,398.545080472739
0.29,400.200030321424,-164.574131008868
0.295,237.400623052888,-158.054561890651
0.3,152.844189631158,-121.217239851179
0.305,110.658069832729,-79.5488319682838
0.31,90.511005570407,-43.8573680975413
0.315,81.2901294895349,-14.538453389823
0.32,77.8453981197857,9.98369362825101
0.325,77.7787265117032,31.1390800309029
0.33,79.9533505031256,49.9600866300902
0.335,83.8676246053841,67.1319982278279
0.34,89.3645059089356,83.030825156754
0.345,96.4385569508139,97.7224407268787
0.35,105.039111322102,110.969813390571
0.355,114.848483644387,122.3185361589
0.36,125.085075201741,131.330498638507
0.365,134.463007096959,137.992035249514
0.37,141.494612614257,143.182052482815
0.375,145.199364025513,148.866136962479
0.38,145.893813448235,157.658157407449
0.385,145.4546675349,171.853405545255
0.39,146.822394935389,192.58606093475
0.395,153.211841514972,219.612130119769
0.4,167.608108772185,251.550481422647
0.405,192.649296971874,286.101123854673
0.41,230.594738892796,319.950856932395
0.415,282.977563642671,348.437595099972
0.42,349.680680555414,365.344389211602
0.425,427.477896725864,363.459145498659
0.43,508.776987385866,336.578477206307
0.435,582.112619799544,282.790259290121
0.44,635.544382104929,207.06723716364
0.445,661.571099181957,120.457931783523
0.45,659.935695734186,35.7142963666531
0.455,636.3739612963,-37.3797946951948
0.46,599.085351677315,-93.9799388716965
0.465,555.741427753673,-133.466896262454
0.47,512.144924718948,-157.739061560664
0.475,472.116225512444,-169.76309980684
0.48,437.882945756259,-172.711830022858
0.485,410.542536213693,-169.560697862367
0.49,390.446645826897,-162.957914759425
0.495,377.474373601743,-155.252625228106
0.5,371.179657059726,-148.620941950981
0.505,370.77931296666,-145.244361981272
0.51,374.919601637496,-147.463866441646
0.515,381.154378283515,-157.727610983303
0.52,385.206263639164,-177.946716385586
0.525,380.629798687698,-207.746978888288
0.53,360.477750787891,-241.87877741875
0.535,322.167362430418,-269.631303582422
0.54,271.935595893099,-280.087913484527
0.545,221.928226081285,-269.860024266086
0.55,181.958281531571,-244.072918540432
0.555,155.430174364057,-210.678151189842
0.56,141.203002431485,-175.732867380669
0.565,136.75056010406,-142.436044223843
0.57,139.937916688658,-112.082386557796
0.575,149.522005143797,-85.1676685869072
0.58,165.114153665958,-62.2100598235083
0.585,186.854913335449,-44.465020108194
0.59,214.527703481659,-34.5422103668442
0.595,245.813755765073,-36.0183962523242
0.6,275.715207225317,-50.4392123925659
0.605,302.011868762322,-75.8795672062571
0.61,328.034294154398,-119.942027972052
0.615,326.169232352013,-209.859827893338
0.62,217.99550294762,-284.813139904688
0.625,104.22428171691,-238.507766122264
0.63,63.0397558984493,-162.07991933744
0.635,55.7028240815065,-99.7459790855368
0.64,59.946311374281,-47.2101976691291
0.645,71.0710633097619,5.79330636934547
0.65,97.4165811289799,70.8593525997075
0.655,178.620600259682,157.239665120123
0.66,438.016827648365,109.491206674886
0.665,256.714136857378,-164.78431534612
0.67,173.155679011088,87.1207472173244
0.675,369.024465269399,-43.6312887022347
0.68,245.448456485263,-50.5489940085611
0.685,486.915327256231,107.181608598868
0.69,411.633741216672,-392.437764599178
0.695,159.740594325905,-301.90158893564
0.7,101.146613763884,-195.793967845177
0.705,92.5600353902183,-126.918381509894
0.71,80.3937687823669,-78.143170896799
0.715,65.9366340131056,2.63271678870074
0.72,82.9131534637987,145.120654886175
0.725,384.309694763194,552.269957966047
0.73,659.711365178397,-375.029973656081
0.735,307.359438939811,-377.926806790098
0.74,212.750258017969,-333.778953897371
0.745,90.9028452912135,-304.955405426493
0.75,37.11453312412,-197.333304712138
0.755,32.2577452843947,-103.99336167479
0.76,147.084752283424,-36.1206106587443
0.765,78.1449721370054,-84.1812159640947
0.77,113.717393039808,-24.1096265751185
0.775,51.2471425095339,22.2440210310712
0.78,80.072106905411,184.429105695847
0.785,433.076250382253,608.048659677226
0.79,430.820287051448,-769.287136562683
0.795,72.7013591115867,-314.315145920263
0.8,55.2964615082488,-98.5841020975228
0.805,518.503641645025,-299.731671200044
0.81,43.3713467064649,-237.273375212676
0.815,16.5212056669435,-104.589571928668
0.82,15.420248605215,13.0606758844189
0.825,35.3923393170791,228.68159237923
0.83,932.261308699884,1674.75209926981
0.835,117.448841012951,-766.831137336806
0.84,31.5295403295638,-404.72357214403
0.845,17.3099528167515,-289.656683487402
0.85,12.0621732033991,-228.596306689225
0.855,9.38929836050422,-188.268326640889
0.86,7.77090921908194,-158.168061109619
0.865,6.68582498687779,-133.881931625269
0.87,5.91411480113988,-113.203304048858
0.875,5.35050344749508,-94.8876327577606
0.88,4.94117368306881,-78.1656438236958
0.885,4.65876631384758,-62.5245468814845
0.89,4.49148440026114,-47.5988204257985
0.895,4.43819963841762,-33.1108694623573
0.9,4.50648372855833,-18.8363092979993
0.905,4.71231093132735,-4.58216598080421
0.91,5.08094018106369,9.82788180563267
0.915,5.64886417355791,24.5643827953888
0.92,6.46694451178793,39.8009377350182
0.925,7.6050335141181,55.7221080049842
0.93,9.15858260810487,72.5312205124735
0.935,11.2580307185411,90.4587743963484
0.94,14.0822571206886,109.772209075799
0.945,17.8782516655931,130.78799610009
0.95,22.9907668710423,153.88736608154
0.955,29.9087938422002,179.537384484819
0.96,39.3416447063639,208.319228963744
0.965,52.3493199355903,240.964643349655
0.97,70.5781208200916,278.396930197571
0.975,96.7165919147469,321.749024112555
0.98,135.434319936598,372.209739428264
0.985,195.271010062658,430.047636808082
0.99,291.584951165456,490.729064164317
0.995,447.760825198676,533.966729255971
1,684.273142931153,499.450892983483
