"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) []"
100,0.999494141877859
100.5,0.999485967817787
101,0.999477439935428
101.5,0.999468551466972
102,0.999459295517796
102.5,0.999449665058811
103,0.999439652922711
103.5,0.999429251800085
104,0.999418454235431
104.5,0.999407252623027
105,0.999395639202689
105.5,0.99938360605538
106,0.9993711450987
106.5,0.99935824808222
107,0.999344906582676
107.5,0.999331111999015
108,0.999316855547274
108.5,0.999302128255308
109,0.999286920957347
109.5,0.999271224288378
110,0.999255028678354
110.5,0.999238324346211
111,0.999221101293696
111.5,0.999203349299006
112,0.999185057910204
112.5,0.999166216438444
113,0.99914681395096
113.5,0.999126839263837
114,0.999106280934548
114.5,0.999085127254238
115,0.99906336623977
115.5,0.999040985625498
116,0.99901797285478
116.5,0.998994315071202
117,0.998969999109521
117.5,0.998945011486303
118,0.998919338390246
118.5,0.998892965672194
119,0.998865878834802
119.5,0.998838063021861
120,0.99880950300727
120.5,0.998780183183625
121,0.998750087550431
121.5,0.998719199701905
122,0.998687502814378
122.5,0.998654979633247
123,0.9986216124595
123.5,0.998587383135765
124,0.998552273031881
124.5,0.998516263029972
125,0.998479333509003
125.5,0.998441464328796
126,0.998402634813485
126.5,0.998362823734404
127,0.998322009292354
127.5,0.998280169099261
128,0.998237280159178
128.5,0.998193318848608
129,0.998148260896136
129.5,0.998102081361321
130,0.998054754612844
130.5,0.998006254305853
131,0.997956553358503
131.5,0.997905623927639
132,0.997853437383599
132.5,0.997799964284086
133,0.9977451743471
133.5,0.997689036422859
134,0.99763151846469
134.5,0.997572587498848
135,0.997512209593205
135.5,0.997450349824771
136,0.997386972246011
136.5,0.997322039849885
137,0.997255514533572
137.5,0.997187357060831
138,0.997117527022923
138.5,0.997045982798051
139,0.996972681509244
139.5,0.996897578980631
140,0.996820629692025
140.5,0.99674178673176
141,0.996661001747688
141.5,0.996578224896282
142,0.996493404789737
142.5,0.996406488441008
143,0.996317421206681
143.5,0.996226146727586
144,0.996132606867065
144.5,0.996036741646772
145,0.995938489179925
145.5,0.995837785601872
146,0.995734564997878
146.5,0.995628759327984
147,0.995520298348841
147.5,0.995409109532353
148,0.995295117981017
148.5,0.995178246339784
149,0.995058414704318
149.5,0.994935540525463
150,0.994809538509763
150.5,0.994680320515864
151,0.994547795446587
151.5,0.994411869136512
152,0.994272444234834
152.5,0.994129420083307
153,0.993982692589028
153.5,0.993832154091842
154,0.993677693226117
154.5,0.993519194776626
155,0.993356539528272
155.5,0.993189604109371
156,0.993018260828195
156.5,0.992842377502464
157,0.992661817281457
157.5,0.992476438460409
158,0.992286094286828
158.5,0.992090632758359
159,0.991889896411799
159.5,0.991683722102858
160,0.991471940776223
160.5,0.991254377225486
161,0.991030849842452
161.5,0.990801170355331
162,0.990565143555302
162.5,0.990322567010904
163,0.990073230769674
163.5,0.989816917046458
164,0.989553399897745
164.5,0.989282444881405
165,0.989003808701122
165.5,0.98871723883483
166,0.988422473146406
166.5,0.988119239479837
167,0.98780725523507
167.5,0.987486226924685
168,0.987155849710527
168.5,0.986815806919377
169,0.986465769536713
169.5,0.986105395677578
170,0.985734330033517
170.5,0.985352203294541
171,0.984958631544991
171.5,0.984553215632183
172,0.98413554050665
172.5,0.983705174532756
173,0.983261668768451
173.5,0.982804556212869
174,0.982333351020459
174.5,0.9818475476803
175,0.981346620159232
175.5,0.980830021007414
176,0.980297180424883
176.5,0.979747505287725
177,0.979180378132403
177.5,0.978595156096852
178,0.977991169816929
178.5,0.977367722276854
179,0.976724087612314
179.5,0.976059509864963
180,0.975373201687131
180.5,0.974664342995657
181,0.973932079573884
181.5,0.973175521621025
182,0.972393742248269
182.5,0.971585775921257
183,0.970750616848817
183.5,0.969887217318157
184,0.968994485977122
184.5,0.968071286064537
185,0.967116433590182
185.5,0.966128695466567
186,0.965106787595314
186.5,0.964049372911803
187,0.962955059392622
187.5,0.961822398031393
188,0.960649880789775
188.5,0.959435938531759
189,0.958178938950931
189.5,0.956877184502119
190,0.955528910350795
190.5,0.954132282355833
191,0.952685395103715
191.5,0.951186270015085
192,0.949632853547663
192.5,0.948023015523072
193,0.946354547608993
193.5,0.944625161992435
194,0.94283249028469
194.5,0.940974082703882
195,0.93904740758686
195.5,0.937049851288615
196,0.934978718534478
196.5,0.932831233297981
197,0.930604540285651
197.5,0.92829570711898
198,0.925901727313506
198.5,0.923419524165279
199,0.920845955665962
199.5,0.918177820579362
200,0.915411865824225
200.5,0.912544795320546
201,0.909573280469304
201.5,0.906493972448131
202,0.903303516517839
202.5,0.899998568546464
203,0.896575813968274
203.5,0.893031989404318
204,0.889363907178211
204.5,0.885568482964935
205,0.881642766810867
205.5,0.87758397775886
206,0.873389542301983
206.5,0.869057136872061
207,0.864584734543184
207.5,0.859970656094087
208,0.855213625525334
208.5,0.850312830065523
209,0.845267984623717
209.5,0.840079400551064
210,0.834748058461461
210.5,0.829275684727804
211,0.82366483111556
211.5,0.817918956838744
212,0.812042512124817
212.5,0.806041022155717
213,0.799921170014361
213.5,0.793690877013173
214,0.787359378518809
214.5,0.780937293122681
215,0.774436682749439
215.5,0.767871101057341
216,0.761255627279578
216.5,0.754606882501006
217,0.747943025279269
217.5,0.741283723523706
218,0.734650099661375
218.5,0.728064646368645
219,0.72155111054897
219.5,0.715134343809318
220,0.708840118439723
220.5,0.702694908835174
221,0.696725639407562
221.5,0.69095940129538
222,0.685423141552039
222.5,0.680143329924955
223,0.675145609755135
223.5,0.670454440844582
224,0.666092743260403
224.5,0.662081551870483
225,0.658439691842736
225.5,0.655185410589227
226,0.652329345549525
226.5,0.649882295156311
227,0.647851962577442
