"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) []"
100,0.999219700636782
100.5,0.999210321985483
101,0.999200689143079
101.5,0.999190797573464
102,0.999180642663556
102.5,0.999170219721619
103,0.99915952397552
103.5,0.999148550570955
104,0.999137294569623
104.5,0.999125750947358
105,0.999113914592204
105.5,0.999101780302451
106,0.999089342784611
106.5,0.999076596651342
107,0.999063536419329
107.5,0.999050156507095
108,0.99903645123276
108.5,0.999022414811749
109,0.999008041354427
109.5,0.998993324863684
110,0.998978259232445
110.5,0.998962838241125
111,0.99894705555501
111.5,0.99893090472157
112,0.998914379167705
112.5,0.998897472196909
113,0.99888017698637
113.5,0.998862486583983
114,0.99884439390529
114.5,0.998825891730334
115,0.998806972700428
115.5,0.998787629314846
116,0.998767853927413
116.5,0.998747638743012
117,0.99872697581399
117.5,0.998705857036478
118,0.998684274146597
118.5,0.99866221871657
119,0.99863968215073
119.5,0.998616655681411
120,0.998593130364735
120.5,0.998569097076281
121,0.998544546506633
121.5,0.998519469156809
122,0.998493855333566
122.5,0.998467695144567
123,0.998440978493428
123.5,0.998413695074615
124,0.99838583436821
124.5,0.998357385634523
125,0.998328337908562
125.5,0.998298679994342
126,0.998268400459042
126.5,0.99823748762699
127,0.998205929573488
127.5,0.99817371411846
128,0.998140828819915
128.5,0.998107260967239
129,0.998072997574284
129.5,0.998038025372269
130,0.998002330802476
130.5,0.997965900008742
131,0.997928718829731
131.5,0.997890772790991
132,0.997852047096779
132.5,0.997812526621656
133,0.997772195901837
133.5,0.997731039126289
134,0.997689040127579
134.5,0.997646182372456
135,0.997602448952151
135.5,0.997557822572405
136,0.997512285543201
136.5,0.997465819768202
137,0.997418406733872
137.5,0.997370027498284
138,0.997320662679594
138.5,0.997270292444185
139,0.997218896494447
139.5,0.99716645405621
140,0.997112943865795
140.5,0.997058344156679
141,0.997002632645773
141.5,0.996945786519284
142,0.996887782418148
142.5,0.996828596423039
143,0.996768204038922
143.5,0.996706580179133
144,0.996643699148996
144.5,0.996579534628928
145,0.996514059657042
145.5,0.996447246611213
146,0.996379067190612
146.5,0.996309492396662
147,0.996238492513417
147.5,0.996166037087347
148,0.996092094906489
148.5,0.996016633978967
149,0.995939621510847
149.5,0.995861023883305
150,0.995780806629088
150.5,0.995698934408252
151,0.995615370983131
151.5,0.995530079192543
152,0.995443020925175
152.5,0.995354157092146
153,0.995263447598702
153.5,0.995170851315027
154,0.995076326046133
154.5,0.994979828500796
155,0.994881314259516
155.5,0.99478073774146
156,0.99467805217035
156.5,0.994573209539277
157,0.994466160574383
157.5,0.994356854697391
158,0.99424523998693
158.5,0.994131263138627
159,0.994014869423915
159.5,0.993896002647515
160,0.993774605103546
160.5,0.993650617530229
161,0.993523979063112
161.5,0.993394627186791
