"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) []"
100,0.999459580318468
100.5,0.999448028894014
101,0.999436209979974
101.5,0.999424117096482
102,0.999411743603358
102.5,0.999399082695933
103,0.999386127400736
103.5,0.99937287057108
104,0.999359304882498
104.5,0.999345422828057
105,0.999331216713533
105.5,0.999316678652444
106,0.999301800560934
106.5,0.999286574152508
107,0.999270990932613
107.5,0.999255042193051
108,0.99923871900623
108.5,0.999222012219246
109,0.999204912447778
109.5,0.999187410069803
110,0.999169495219126
110.5,0.999151157778706
111,0.999132387373779
111.5,0.999113173364776
112,0.999093504840023
112.5,0.999073370608206
113,0.999052759190619
113.5,0.999031658813161
114,0.999010057398086
114.5,0.998987942555498
115,0.998965301574577
115.5,0.998942121414531
116,0.998918388695263
116.5,0.99889408968774
117,0.998869210304061
117.5,0.998843736087202
118,0.99881765220044
118.5,0.998790943416434
119,0.998763594105953
119.5,0.998735588226244
120,0.998706909309023
120.5,0.998677540448067
121,0.998647464286412
121.5,0.998616663003129
122,0.998585118299656
122.5,0.99855281138569
123,0.99851972296461
123.5,0.99848583321841
124,0.998451121792134
124.5,0.998415567777792
125,0.998379149697729
125.5,0.998341845487439
126,0.998303632477797
126.5,0.998264487376687
127,0.998224386250003
127.5,0.998183304501998
128,0.998141216854971
128.5,0.998098097328233
129,0.998053919216367
129.5,0.998008655066722
130,0.997962276656123
130.5,0.997914754966773
131,0.997866060161304
131.5,0.997816161556955
132,0.997765027598832
132.5,0.997712625832221
133,0.997658922873919
133.5,0.997603884382537
134,0.997547475027736
134.5,0.997489658458365
135,0.997430397269433
135.5,0.997369652967897
136,0.997307385937199
136.5,0.997243555400505
137,0.997178119382599
137.5,0.997111034670377
138,0.997042256771873
138.5,0.996971739873778
139,0.996899436797365
139.5,0.996825298952774
140,0.996749276291588
140.5,0.996671317257608
141,0.99659136873579
141.5,0.996509375999227
142,0.996425282654121
142.5,0.996339030582658
143,0.996250559883682
143.5,0.996159808811095
144,0.99606671370987
144.5,0.995971208949595
145,0.995873226855416
145.5,0.995772697636295
146,0.995669549310453
146.5,0.995563707627877
147,0.995455095989769
147.5,0.995343635364807
148,0.995229244202073
148.5,0.995111838340502
149,0.99499133091471
149.5,0.99486763225704
150,0.994740649795645
150.5,0.994610287948455
151,0.994476448012838
151.5,0.994339028050756
152,0.994197922769231
152.5,0.994053023395904
153,0.993904217549465
153.5,0.993751389104737
154,0.993594418052165
154.5,0.99343318035146
155,0.993267547779136
155.5,0.993097387769673
156,0.992922563250007
156.5,0.992742932467043
157,0.992558348807897
157.5,0.992368660612511
158,0.992173710978308
158.5,0.991973337556529
159,0.991767372339857
159.5,0.991555641440956
160,0.991337964861486
160.5,0.991114156251171
161,0.990884022656473
161.5,0.990647364258381
