Freq [MHz],"mag(St(Rectangle3_T1,Rectangle3_T1)) [] - h='0.05meter' rad='0.005meter' W='0.12meter'"
100,0.999293106
100.5,0.999278344
101,0.999262842
101.5,0.999246592
102,0.999229585
102.5,0.999211814
103,0.999193268
103.5,0.99917394
104,0.999153821
104.5,0.999132902
105,0.999111173
105.5,0.999088625
106,0.99906525
106.5,0.999041036
107,0.999015974
107.5,0.998990054
108,0.998963267
108.5,0.9989356
109,0.998907044
109.5,0.998877587
110,0.998847219
110.5,0.998815927
111,0.998783701
111.5,0.998750527
112,0.998716394
112.5,0.998681288
113,0.998645197
113.5,0.998608108
114,0.998570006
114.5,0.998530877
115,0.998490707
115.5,0.99844948
116,0.998407183
116.5,0.998363797
117,0.998319308
117.5,0.998273698
118,0.99822695
118.5,0.998179046
119,0.998129968
119.5,0.998079696
120,0.998028211
120.5,0.997975493
121,0.99792152
121.5,0.997866271
122,0.997809724
122.5,0.997751855
123,0.997692641
123.5,0.997632057
124,0.997570078
124.5,0.997506676
125,0.997441825
125.5,0.997375496
126,0.99730766
126.5,0.997238287
127,0.997167345
127.5,0.997094802
128,0.997020624
128.5,0.996944776
129,0.996867222
129.5,0.996787925
130,0.996706846
130.5,0.996623944
131,0.996539178
131.5,0.996452504
132,0.996363878
132.5,0.996273253
133,0.996180581
133.5,0.996085812
134,0.995988893
134.5,0.995889771
135,0.99578839
135.5,0.995684691
136,0.995578615
136.5,0.995470099
137,0.995359078
137.5,0.995245484
138,0.995129247
138.5,0.995010294
139,0.994888551
139.5,0.994763937
140,0.994636372
140.5,0.99450577
141,0.994372044
141.5,0.994235101
142,0.994094847
142.5,0.993951183
143,0.993804005
143.5,0.993653206
144,0.993498675
144.5,0.993340296
145,0.993177949
145.5,0.993011508
146,0.992840843
146.5,0.992665817
147,0.992486291
147.5,0.992302116
148,0.992113139
148.5,0.991919202
149,0.991720138
149.5,0.991515773
150,0.991305929
150.5,0.991090418
151,0.990869043
151.5,0.990641601
152,0.990407881
152.5,0.99016766
153,0.989920708
153.5,0.989666785
154,0.989405639
154.5,0.989137009
155,0.988860622
155.5,0.988576193
156,0.988283425
156.5,0.987982008
157,0.987671617
157.5,0.987351916
158,0.98702255
158.5,0.986683152
159,0.986333335
159.5,0.985972698
160,0.98560082
160.5,0.985217262
161,0.984821564
161.5,0.984413246
162,0.983991805
162.5,0.983556717
