Freq [MHz],"mag(St(Rectangle3_T1,Rectangle3_T1)) [] - h='0.05meter' rad='0.005meter' W='0.1meter'"
100,0.999277141
100.5,0.999228849
101,0.999180434
101.5,0.999131883
102,0.999083187
102.5,0.999034333
103,0.99898531
103.5,0.998936106
104,0.99888671
104.5,0.99883711
105,0.998787293
105.5,0.998737247
106,0.99868696
106.5,0.998636418
107,0.998585609
107.5,0.99853452
108,0.998483137
108.5,0.998431445
109,0.998379433
109.5,0.998327083
110,0.998274384
110.5,0.998221318
111,0.998167872
111.5,0.998114029
112,0.998059773
112.5,0.998005089
113,0.99794996
113.5,0.997894367
114,0.997838295
114.5,0.997781724
115,0.997724637
115.5,0.997667014
116,0.997608836
116.5,0.997550084
117,0.997490737
117.5,0.997430773
118,0.997370172
118.5,0.997308912
119,0.997246969
119.5,0.99718432
120,0.997120941
120.5,0.997056809
121,0.996991896
121.5,0.996926177
122,0.996859626
122.5,0.996792214
123,0.996723914
123.5,0.996654695
124,0.996584527
124.5,0.99651338
125,0.996441222
125.5,0.996368019
126,0.996293738
126.5,0.996218342
127,0.996141797
127.5,0.996064065
128,0.995985107
128.5,0.995904885
129,0.995823356
129.5,0.995740478
130,0.995656209
130.5,0.995570503
131,0.995483313
131.5,0.995394593
132,0.995304291
132.5,0.995212358
133,0.995118741
133.5,0.995023385
134,0.994926233
134.5,0.994827228
135,0.994726309
135.5,0.994623415
136,0.994518481
136.5,0.99441144
137,0.994302225
137.5,0.994190764
138,0.994076984
138.5,0.993960808
139,0.99384216
139.5,0.993720956
140,0.993597114
140.5,0.993470546
141,0.993341163
141.5,0.993208871
142,0.993073574
142.5,0.992935172
143,0.992793562
143.5,0.992648637
144,0.992500286
144.5,0.992348395
145,0.992192844
145.5,0.992033511
146,0.991870268
146.5,0.991702983
147,0.991531518
147.5,0.991355733
148,0.991175479
148.5,0.990990605
149,0.990800952
149.5,0.990606357
150,0.990406648
150.5,0.990201651
151,0.989991181
151.5,0.98977505
152,0.98955306
152.5,0.989325007
153,0.989090679
153.5,0.988849857
154,0.988602311
154.5,0.988347806
155,0.988086094
155.5,0.987816921
156,0.987540022
156.5,0.98725512
157,0.98696193
157.5,0.986660155
158,0.986349487
158.5,0.986029604
159,0.985700174
159.5,0.98536085
160,0.985011274
160.5,0.984651071
161,0.984279853
161.5,0.983897216
162,0.983502742
162.5,0.983095993
163,0.982676517
163.5,0.982243843
164,0.981797479
164.5,0.981336917
165,0.980861628
165.5,0.980371059
166,0.979864638
166.5,0.97934177
167,0.978801834
167.5,0.978244187
168,0.977668159
168.5,0.977073052
169,0.976458142
169.5,0.975822676
170,0.975165869
170.5,0.974486906
